nm;arb.u
387.12;43.0
387.44;47.0
387.76;50.0
388.08;53.0
388.39;55.0
388.71;57.0
389.03;56.0
389.35;58.0
389.67;58.0
389.99;60.0
390.31;63.0
390.63;66.0
390.95;69.0
391.28;72.0
391.60;74.0
391.92;76.0
392.24;79.0
392.56;79.0
392.88;81.0
393.21;82.0
393.53;83.0
393.85;84.0
394.18;86.0
394.50;86.0
394.82;88.0
395.15;89.0
395.47;91.0
395.80;92.0
396.12;93.0
396.45;93.0
396.77;95.0
397.10;96.0
397.43;97.0
397.75;99.0
398.08;100.0
398.41;101.0
398.73;104.0
399.06;106.0
399.39;108.0
399.72;110.0
400.04;111.0
400.37;113.0
400.70;116.0
401.03;118.0
401.36;121.0
401.69;123.0
402.02;126.0
402.35;130.0
402.68;133.0
403.01;137.0
403.34;141.0
403.67;145.0
404.00;150.0
404.34;155.0
404.67;160.0
405.00;166.0
405.33;171.0
405.67;179.0
406.00;186.0
406.33;194.0
406.66;216.0
407.00;240.0
407.33;254.0
407.67;265.0
408.00;274.0
408.34;280.0
408.67;290.0
409.01;297.0
409.34;302.0
409.68;308.0
410.01;304.0
410.35;302.0
410.69;299.0
411.02;294.0
411.36;291.0
411.70;273.0
412.04;259.0
412.38;243.0
412.71;223.0
413.05;203.0
413.39;185.0
413.73;170.0
414.07;161.0
414.41;153.0
414.75;146.0
415.09;140.0
415.43;135.0
415.77;129.0
416.11;125.0
416.45;121.0
416.79;118.0
417.14;114.0
417.48;111.0
417.82;107.0
418.16;104.0
418.50;100.0
418.85;97.0
419.19;93.0
419.53;91.0
419.88;88.0
420.22;86.0
420.57;84.0
420.91;81.0
421.26;80.0
421.60;78.0
421.95;76.0
422.29;74.0
422.64;73.0
422.98;71.0
423.33;70.0
423.68;68.0
424.02;67.0
424.37;66.0
424.72;66.0
425.07;64.0
425.42;63.0
425.76;62.0
426.11;61.0
426.46;60.0
426.81;59.0
427.16;59.0
427.51;58.0
427.86;57.0
428.21;56.0
428.56;54.0
428.91;54.0
429.26;54.0
429.61;52.0
429.96;52.0
430.32;51.0
430.67;50.0
431.02;50.0
431.37;50.0
431.73;50.0
432.08;49.0
432.43;49.0
432.79;49.0
433.14;49.0
433.49;49.0
433.85;49.0
434.20;49.0
434.56;50.0
434.91;52.0
435.27;54.0
435.62;57.0
435.98;60.0
436.34;64.0
436.69;67.0
437.05;72.0
437.41;76.0
437.76;80.0
438.12;84.0
438.48;89.0
438.84;93.0
439.20;97.0
439.55;100.0
439.91;104.0
440.27;110.0
440.63;116.0
440.99;121.0
441.35;129.0
441.71;134.0
442.07;140.0
442.43;146.0
442.79;151.0
443.15;157.0
443.52;164.0
443.88;172.0
444.24;180.0
444.60;186.0
444.97;189.0
445.33;192.0
445.69;193.0
446.05;195.0
446.42;196.0
446.78;196.0
447.15;196.0
447.51;196.0
447.88;196.0
448.24;195.0
448.61;195.0
448.97;193.0
449.34;193.0
449.70;191.0
450.07;190.0
450.44;188.0
450.80;187.0
451.17;187.0
451.54;185.0
451.90;183.0
452.27;183.0
452.64;181.0
453.01;180.0
453.38;180.0
453.75;180.0
454.12;180.0
454.49;178.0
454.85;178.0
455.22;177.0
455.60;176.0
455.97;174.0
456.34;173.0
456.71;171.0
457.08;168.0
457.45;167.0
457.82;165.0
458.19;165.0
458.57;165.0
458.94;164.0
459.31;163.0
459.69;162.0
460.06;161.0
460.43;161.0
460.81;159.0
461.18;157.0
461.56;157.0
461.93;155.0
462.30;153.0
462.68;152.0
463.06;150.0
463.43;149.0
463.81;148.0
464.18;146.0
464.56;144.0
464.94;142.0
465.31;139.0
465.69;137.0
466.07;135.0
466.45;133.0
466.83;131.0
467.20;129.0
467.58;126.0
467.96;124.0
468.34;121.0
468.72;119.0
469.10;118.0
469.48;116.0
469.86;114.0
470.24;112.0
470.62;109.0
471.00;106.0
471.38;103.0
471.77;101.0
472.15;99.0
472.53;97.0
472.91;94.0
473.29;92.0
473.68;90.0
474.06;88.0
474.44;86.0
474.83;84.0
475.21;83.0
475.60;82.0
475.98;81.0
476.37;79.0
476.75;77.0
477.14;77.0
477.52;75.0
477.91;74.0
478.29;72.0
478.68;72.0
479.07;70.0
479.45;68.0
479.84;67.0
480.23;65.0
480.62;63.0
481.00;62.0
481.39;61.0
481.78;60.0
482.17;58.0
482.56;57.0
482.95;56.0
483.34;55.0
483.73;54.0
484.12;54.0
484.51;53.0
484.90;51.0
485.29;51.0
485.68;50.0
486.07;49.0
486.46;49.0
486.85;48.0
487.25;47.0
487.64;47.0
488.03;46.0
488.43;46.0
488.82;46.0
489.21;45.0
489.61;45.0
490.00;44.0
490.39;44.0
490.79;44.0
491.18;44.0
491.58;43.0
491.97;42.0
492.37;43.0
492.77;43.0
493.16;42.0
493.56;42.0
493.95;43.0
494.35;43.0
494.75;43.0
495.15;43.0
495.54;44.0
495.94;44.0
496.34;44.0
496.74;44.0
497.14;44.0
497.54;45.0
497.94;46.0
498.34;46.0
498.74;46.0
499.14;46.0
499.54;48.0
499.94;48.0
500.34;48.0
500.74;49.0
501.14;50.0
501.54;51.0
501.94;51.0
502.35;51.0
502.75;53.0
503.15;53.0
503.55;54.0
503.96;55.0
504.36;56.0
504.76;57.0
505.17;58.0
505.57;59.0
505.98;60.0
506.38;61.0
506.79;61.0
507.19;62.0
507.60;64.0
508.00;64.0
