nm;arb.u
387.12;18.0
387.44;20.0
387.76;23.0
388.08;25.0
388.39;25.0
388.71;26.0
389.03;27.0
389.35;27.0
389.67;27.0
389.99;27.0
390.31;28.0
390.63;29.0
390.95;29.0
391.28;31.0
391.60;32.0
391.92;34.0
392.24;36.0
392.56;38.0
392.88;39.0
393.21;40.0
393.53;41.0
393.85;42.0
394.18;43.0
394.50;43.0
394.82;44.0
395.15;45.0
395.47;47.0
395.80;47.0
396.12;49.0
396.45;49.0
396.77;50.0
397.10;51.0
397.43;51.0
397.75;53.0
398.08;53.0
398.41;55.0
398.73;55.0
399.06;57.0
399.39;57.0
399.72;59.0
400.04;60.0
400.37;62.0
400.70;64.0
401.03;64.0
401.36;66.0
401.69;68.0
402.02;70.0
402.35;72.0
402.68;74.0
403.01;77.0
403.34;79.0
403.67;83.0
404.00;86.0
404.34;90.0
404.67;94.0
405.00;100.0
405.33;105.0
405.67;111.0
406.00;115.0
406.33;122.0
406.66;126.0
407.00;138.0
407.33;158.0
407.67;186.0
408.00;219.0
408.34;244.0
408.67;259.0
409.01;268.0
409.34;272.0
409.68;272.0
410.01;273.0
410.35;270.0
410.69;270.0
411.02;264.0
411.36;262.0
411.70;249.0
412.04;238.0
412.38;225.0
412.71;197.0
413.05;167.0
413.39;151.0
413.73;137.0
414.07;123.0
414.41;114.0
414.75;106.0
415.09;100.0
415.43;93.0
415.77;87.0
416.11;82.0
416.45;78.0
416.79;73.0
417.14;70.0
417.48;67.0
417.82;66.0
418.16;62.0
418.50;60.0
418.85;58.0
419.19;56.0
419.53;55.0
419.88;53.0
420.22;51.0
420.57;50.0
420.91;48.0
421.26;48.0
421.60;47.0
421.95;46.0
422.29;44.0
422.64;43.0
422.98;42.0
423.33;41.0
423.68;40.0
424.02;38.0
424.37;38.0
424.72;37.0
425.07;36.0
425.42;35.0
425.76;35.0
426.11;34.0
426.46;34.0
426.81;33.0
427.16;32.0
427.51;32.0
427.86;31.0
428.21;30.0
428.56;30.0
428.91;30.0
429.26;28.0
429.61;28.0
429.96;28.0
430.32;28.0
430.67;27.0
431.02;27.0
431.37;26.0
431.73;25.0
432.08;25.0
432.43;25.0
432.79;24.0
433.14;23.0
433.49;25.0
433.85;25.0
434.20;24.0
434.56;25.0
434.91;25.0
435.27;25.0
