nm;arb.u
387.12;19.0
387.44;21.0
387.76;22.0
388.08;24.0
388.39;25.0
388.71;25.0
389.03;26.0
389.35;27.0
389.67;28.0
389.99;30.0
390.31;31.0
390.63;32.0
390.95;34.0
391.28;34.0
391.60;36.0
391.92;37.0
392.24;38.0
392.56;40.0
392.88;41.0
393.21;41.0
393.53;42.0
393.85;44.0
394.18;44.0
394.50;45.0
394.82;46.0
395.15;47.0
395.47;48.0
395.80;49.0
396.12;50.0
396.45;51.0
396.77;52.0
397.10;53.0
397.43;54.0
397.75;55.0
398.08;57.0
398.41;59.0
398.73;61.0
399.06;63.0
399.39;64.0
399.72;67.0
400.04;69.0
400.37;71.0
400.70;73.0
401.03;74.0
401.36;77.0
401.69;80.0
402.02;83.0
402.35;87.0
402.68;91.0
403.01;95.0
403.34;99.0
403.67;104.0
404.00;107.0
404.34;114.0
404.67;133.0
405.00;157.0
405.33;190.0
405.67;219.0
406.00;252.0
406.33;266.0
406.66;275.0
407.00;290.0
407.33;292.0
407.67;300.0
408.00;301.0
408.34;299.0
408.67;297.0
409.01;275.0
409.34;261.0
409.68;253.0
410.01;228.0
410.35;195.0
410.69;173.0
411.02;144.0
411.36;125.0
411.70;118.0
412.04;113.0
412.38;105.0
412.71;100.0
413.05;96.0
413.39;91.0
413.73;86.0
414.07;81.0
414.41;78.0
414.75;74.0
415.09;71.0
415.43;69.0
415.77;67.0
416.11;64.0
416.45;62.0
416.79;61.0
417.14;58.0
417.48;56.0
417.82;55.0
418.16;52.0
418.50;51.0
418.85;50.0
419.19;48.0
419.53;47.0
419.88;45.0
420.22;45.0
420.57;43.0
420.91;42.0
421.26;41.0
421.60;41.0
421.95;39.0
422.29;38.0
422.64;37.0
422.98;36.0
423.33;35.0
423.68;35.0
424.02;34.0
424.37;33.0
424.72;33.0
425.07;32.0
425.42;32.0
425.76;31.0
426.11;31.0
426.46;30.0
426.81;29.0
427.16;29.0
427.51;28.0
427.86;28.0
428.21;28.0
428.56;27.0
428.91;26.0
429.26;25.0
429.61;25.0
429.96;25.0
430.32;24.0
430.67;24.0
431.02;24.0
431.37;24.0
431.73;23.0
432.08;23.0
432.43;23.0
432.79;23.0
433.14;23.0
433.49;23.0
433.85;23.0
434.20;23.0
434.56;23.0
434.91;23.0
435.27;23.0
435.62;23.0
435.98;24.0
436.34;24.0
436.69;24.0
437.05;24.0
437.41;26.0
437.76;26.0
438.12;26.0
438.48;27.0
438.84;28.0
439.20;29.0
439.55;30.0
439.91;32.0
440.27;34.0
440.63;36.0
440.99;37.0
441.35;39.0
441.71;41.0
442.07;43.0
442.43;46.0
442.79;47.0
443.15;48.0
443.52;51.0
443.88;52.0
444.24;53.0
444.60;55.0
444.97;55.0
445.33;56.0
445.69;55.0
446.05;54.0
446.42;50.0
446.78;47.0
447.15;44.0
447.51;43.0
447.88;42.0
448.24;42.0
448.61;41.0
448.97;41.0
449.34;41.0
449.70;40.0
450.07;39.0
450.44;39.0
450.80;39.0
451.17;38.0
451.54;38.0
451.90;38.0
452.27;36.0
452.64;36.0
453.01;36.0
453.38;36.0
453.75;35.0
454.12;34.0
454.49;34.0
454.85;34.0
455.22;33.0
455.60;32.0
455.97;32.0
456.34;31.0
456.71;31.0
457.08;30.0
457.45;30.0
457.82;29.0
458.19;29.0
458.57;29.0
458.94;28.0
459.31;27.0
459.69;28.0
460.06;27.0
460.43;27.0
460.81;26.0
461.18;26.0
461.56;26.0
461.93;25.0
462.30;25.0
462.68;24.0
463.06;24.0
463.43;23.0
463.81;23.0
464.18;23.0
464.56;23.0
464.94;21.0
465.31;21.0
465.69;21.0
466.07;21.0
466.45;20.0
466.83;20.0
467.20;18.0
467.58;18.0
467.96;18.0
468.34;17.0
468.72;17.0
469.10;17.0
469.48;17.0
469.86;16.0
470.24;16.0
470.62;15.0
471.00;15.0
471.38;15.0
471.77;15.0
472.15;15.0
472.53;14.0
472.91;13.0
473.29;13.0
473.68;14.0
474.06;14.0
474.44;14.0
474.83;14.0
475.21;13.0
475.60;12.0
475.98;12.0
476.37;12.0
476.75;12.0
477.14;12.0
477.52;12.0
477.91;12.0
478.29;11.0
478.68;12.0
479.07;12.0
479.45;12.0
479.84;12.0
480.23;11.0
480.62;12.0
481.00;11.0
481.39;11.0
481.78;11.0
482.17;11.0
482.56;11.0
482.95;11.0
483.34;11.0
483.73;11.0
484.12;11.0
484.51;12.0
484.90;12.0
485.29;12.0
485.68;12.0
486.07;12.0
486.46;13.0
486.85;13.0
487.25;13.0
487.64;13.0
488.03;14.0
488.43;14.0
488.82;15.0
489.21;15.0
489.61;16.0
490.00;16.0
490.39;16.0
490.79;18.0
491.18;18.0
491.58;18.0
491.97;20.0
492.37;20.0
492.77;21.0
493.16;21.0
493.56;21.0
493.95;23.0
494.35;23.0
494.75;24.0
495.15;25.0
495.54;26.0
495.94;27.0
496.34;28.0
496.74;29.0
497.14;29.0
497.54;30.0
497.94;32.0
498.34;32.0
498.74;34.0
499.14;34.0
499.54;35.0
499.94;36.0
500.34;37.0
500.74;38.0
501.14;39.0
501.54;40.0
501.94;42.0
502.35;43.0
502.75;44.0
503.15;45.0
503.55;47.0
503.96;48.0
504.36;50.0
504.76;50.0
505.17;53.0
505.57;54.0
505.98;55.0
506.38;57.0
506.79;59.0
507.19;60.0
507.60;61.0
508.00;63.0
508.41;65.0
508.82;66.0
509.22;68.0
509.63;69.0
510.04;71.0
510.45;73.0
510.85;74.0
511.26;76.0
511.67;77.0
512.08;79.0
512.49;81.0
512.90;81.0
513.31;83.0
513.72;84.0
514.12;86.0
514.54;87.0
514.95;88.0
515.36;89.0
515.77;91.0
516.18;91.0
516.59;93.0
517.00;94.0
517.41;95.0
517.83;96.0
518.24;96.0
518.65;98.0
519.06;98.0
519.48;99.0
519.89;100.0
520.30;100.0
520.72;101.0
521.13;102.0
521.55;102.0
521.96;102.0
522.38;103.0
522.79;103.0
523.21;103.0
523.63;104.0
524.04;104.0
524.46;105.0
524.87;105.0
525.29;105.0
525.71;105.0
526.13;106.0
526.54;106.0
526.96;106.0
527.38;106.0
527.80;106.0
528.22;106.0
528.64;106.0
529.06;106.0
529.48;106.0
529.90;108.0
530.32;106.0
530.74;108.0
531.16;107.0
531.58;108.0
532.00;108.0
532.42;108.0
532.84;108.0
533.27;108.0
533.69;108.0
534.11;108.0
534.53;108.0
534.96;108.0
535.38;108.0
535.80;108.0
536.23;108.0
536.65;108.0
537.08;108.0
537.50;108.0
537.93;107.0
538.35;108.0
538.78;108.0
539.20;108.0
539.63;107.0
540.05;107.0
540.48;108.0
540.91;108.0
541.33;108.0
541.76;108.0
542.19;108.0
542.62;108.0
543.05;109.0
543.47;109.0
543.90;109.0
544.33;108.0
544.76;106.0
545.19;106.0
545.62;105.0
546.05;103.0
546.48;102.0
546.91;100.0
547.34;99.0
547.77;98.0
548.20;97.0
548.63;97.0
549.07;96.0
549.50;95.0
549.93;94.0
550.36;93.0
550.80;92.0
551.23;92.0
551.66;91.0
552.10;90.0
552.53;89.0
552.96;89.0
553.40;88.0
553.83;87.0
554.27;85.0
554.70;85.0
555.14;85.0
555.58;84.0
556.01;83.0
556.45;82.0
556.88;82.0
557.32;80.0
557.76;80.0
558.20;79.0
558.63;79.0
559.07;77.0
559.51;77.0
559.95;75.0
560.39;75.0
560.83;74.0
561.26;74.0
561.70;73.0
562.14;72.0
562.58;72.0
563.02;72.0
563.46;70.0
563.91;70.0
564.35;70.0
564.79;69.0
565.23;69.0
565.67;69.0
566.11;69.0
566.56;69.0
567.00;69.0
567.44;69.0
567.88;69.0
568.33;69.0
568.77;69.0
569.22;70.0
569.66;71.0
570.10;71.0
570.55;72.0
570.99;73.0
571.44;74.0
571.89;74.0
572.33;74.0
572.78;75.0
573.22;76.0
573.67;76.0
574.12;76.0
574.56;76.0
575.01;76.0
575.46;76.0
575.91;77.0
576.36;78.0
576.80;78.0
577.25;78.0
577.70;78.0
578.15;78.0
578.60;77.0
579.05;76.0
579.50;76.0
579.95;76.0
580.40;76.0
580.85;76.0
581.30;76.0
581.75;76.0
582.21;75.0
582.66;75.0
583.11;74.0
583.56;73.0
584.02;73.0
584.47;73.0
584.92;73.0
585.37;73.0
585.83;71.0
586.28;71.0
586.74;71.0
587.19;70.0
587.65;69.0
588.10;69.0
588.56;68.0
589.01;68.0
589.47;66.0
589.92;66.0
590.38;66.0
590.84;65.0
591.29;63.0
591.75;63.0
592.21;62.0
592.67;62.0
593.12;61.0
593.58;60.0
594.04;60.0
594.50;58.0
594.96;58.0
595.42;57.0
595.88;56.0
596.34;56.0
596.80;55.0
597.26;54.0
597.72;53.0
598.18;53.0
598.64;52.0
599.10;52.0
599.56;51.0
600.03;50.0
600.49;48.0
600.95;48.0
601.41;48.0
601.88;47.0
602.34;46.0
602.80;46.0
603.27;45.0
603.73;45.0
604.20;44.0
604.66;43.0
605.12;43.0
605.59;42.0
606.06;41.0
606.52;40.0
606.99;40.0
607.45;40.0
607.92;38.0
608.39;38.0
608.85;38.0
609.32;36.0
609.79;36.0
610.26;36.0
610.72;35.0
611.19;34.0
611.66;34.0
612.13;34.0
612.60;33.0
613.07;32.0
613.54;31.0
614.01;31.0
614.48;31.0
614.95;29.0
615.42;29.0
615.89;28.0
616.36;27.0
616.83;27.0
617.30;27.0
617.78;27.0
618.25;25.0
618.72;25.0
619.19;25.0
619.67;24.0
620.14;23.0
620.61;23.0
621.09;23.0
621.56;22.0
622.04;21.0
622.51;21.0
622.98;21.0
623.46;21.0
623.94;20.0
624.41;20.0
624.89;20.0
625.36;19.0
625.84;18.0
626.32;18.0
626.79;18.0
627.27;17.0
627.75;17.0
628.23;17.0
628.70;16.0
629.18;16.0
629.66;15.0
630.14;15.0
630.62;14.0
631.10;14.0
631.58;15.0
632.06;15.0
632.54;14.0
633.02;14.0
633.50;14.0
633.98;14.0
634.46;14.0
634.94;14.0
635.42;14.0
635.91;13.0
636.39;13.0
636.87;13.0
637.35;13.0
637.84;13.0
638.32;12.0
638.80;14.0
639.29;14.0
639.77;13.0
640.26;14.0
640.74;13.0
641.23;14.0
641.71;14.0
642.20;14.0
642.68;14.0
643.17;14.0
643.65;14.0
644.14;14.0
644.63;16.0
645.12;16.0
645.60;16.0
646.09;16.0
646.58;16.0
647.07;17.0
647.55;17.0
648.04;17.0
648.53;18.0
649.02;18.0
649.51;19.0
650.00;19.0
650.49;19.0
650.98;19.0
651.47;19.0
651.96;19.0
652.45;19.0
652.94;19.0
653.44;20.0
653.93;21.0
654.42;21.0
654.91;21.0
655.40;21.0
655.90;21.0
656.39;21.0
656.88;21.0
657.38;21.0
657.87;22.0
658.37;22.0
658.86;23.0
659.35;23.0
659.85;23.0
660.34;24.0
660.84;24.0
661.34;24.0
661.83;24.0
662.33;24.0
662.82;24.0
663.32;24.0
663.82;24.0
664.32;25.0
664.81;26.0
665.31;26.0
665.81;26.0
666.31;26.0
666.81;26.0
667.31;26.0
667.80;26.0
668.30;27.0
668.80;27.0
669.30;27.0
669.80;27.0
670.30;28.0
670.81;27.0
671.31;27.0
671.81;28.0
672.31;28.0
672.81;28.0
673.31;28.0
673.82;28.0
674.32;28.0
674.82;30.0
675.32;30.0
675.83;30.0
676.33;30.0
676.84;30.0
677.34;29.0
677.84;30.0
678.35;30.0
678.85;30.0
679.36;30.0
679.86;30.0
680.37;30.0
680.88;31.0
681.38;31.0
681.89;30.0
682.40;30.0
682.90;30.0
683.41;30.0
