N,t
289383, 601
733279, 1558
460057, 794
997808, 2219
198635, 105
143884, 17
220060, 60
968831, 1953
339509, 97
271458, 73
799983, 284
974666, 378
571835, 185
661450, 319
276786, 77
205674, 38
24734, 7
633037, 260
914142, 311
327047, 96
96301, 11
542765, 210
359637, 133
306659, 96
904144, 287
295844, 83
87081, 25
891082, 250
124191, 36
459812, 156
272602, 88
628398, 246
959852, 315
931587, 266
282181, 77
147814, 22
417144, 119
90005, 24
576414, 193
598199, 224
275013, 77
28586, 5
622352, 226
985244, 370
2963, 2
274130, 89
113155, 11
256727, 77
328466, 84
912688, 247
492884, 215
682766, 309
819630, 240
568038, 215
256792, 74
6253, 2
10124, 2
633634, 246
218892, 59
685335, 283
269304, 73
906884, 252
13402, 4
223597, 56
90919, 9
151387, 17
30728, 3
740293, 323
140752, 39
851984, 227
698433, 292
707603, 304
469782, 152
937748, 273
536561, 173
272235, 80
373949, 108
426369, 120
864347, 261
872819, 223
394506, 106
100032, 13
58816, 6
459596, 137
21427, 5
537396, 170
323897, 72
323247, 91
455002, 142
711194, 331
357193, 90
296013, 55
242319, 61
697300, 287
232079, 65
236338, 78
289893, 47
900873, 285
891560, 209
508036, 166
