N,bookva,ravnomerno,t
89583,A,1,469
831,B,1,2
8251,C,1,25
9988,A,0,67
59280,B,0,159
18811,C,0,57
81443,A,1,404
82271,B,1,174
23657,C,1,69
84832,A,0,379
33897,B,0,86
65347,C,0,158
55324,A,1,296
82982,B,1,175
91361,C,1,203
9626,A,0,64
85423,B,0,176
60176,C,0,148
28943,A,1,174
82642,B,1,215
91913,C,1,196
2652,A,0,17
44606,B,0,111
52357,C,0,140
14066,A,1,93
45898,B,1,129
52859,C,1,135
93397,A,0,410
86346,B,0,181
53437,C,0,135
33951,A,1,207
43223,B,1,122
26101,C,1,76
51901,A,0,294
77523,B,0,171
50273,C,0,131
26736,A,1,166
60060,B,1,141
95531,C,1,204
36827,A,0,218
97752,B,0,189
50245,C,0,129
94052,A,1,426
26352,B,1,70
35701,C,1,99
97665,A,0,441
79070,B,0,172
29421,C,0,86
97533,A,1,431
22120,B,1,61
49810,C,1,130
60830,A,0,329
30948,B,0,80
51283,C,0,131
24539,A,1,168
13684,B,1,39
75347,C,1,177
61657,A,0,323
73080,B,0,163
56318,C,0,143
30399,A,1,185
10233,B,1,29
55193,C,1,142
28171,A,0,172
72118,B,0,158
96001,C,0,207
95256,A,1,433
85369,B,1,182
35597,C,1,99
26932,A,0,162
72032,B,0,193
93138,C,0,193
52782,A,1,312
37389,B,1,95
1596,C,1,4
46449,A,0,253
46596,B,0,112
33883,C,0,94
47472,A,1,265
71325,B,1,161
91017,C,1,197
17541,A,0,112
34021,B,0,88
82938,C,0,183
6802,A,1,46
58626,B,1,136
49093,C,1,130
35895,A,0,203
58377,B,0,134
28556,C,0,82
28521,A,1,175
66072,B,1,149
66132,C,1,159
54809,A,0,298
27371,B,0,75
48650,C,0,126
287,A,1,2
59135,B,1,138
57450,C,1,148
21381,A,0,135
55108,B,0,133
52824,C,0,138
52675,A,1,285
96702,B,1,193
42902,C,1,115
59212,A,0,308
89140,B,0,182
92495,C,0,206
57584,A,1,301
29399,B,1,79
9021,C,1,28
55788,A,0,298
31381,B,0,82
95715,C,0,206
2448,A,1,16
29308,B,1,78
26186,C,1,76
28875,A,0,172
53670,B,0,127
59195,C,0,147
