N,t
9383, 2600683
6263, 1079115
19786, 6793268
5842, 441363
16457, 3547622
11164, 1651547
10333, 1402255
1567, 32012
12291, 1998109
16824, 3757977
16415, 3553999
18998, 4780686
42, 12
14068, 2616777
6600, 573957
2633, 91251
6520, 560308
2774, 101134
730, 6855
942, 11140
10194, 1374297
16067, 3416944
9915, 1295815
6545, 563035
2112, 58252
2066, 55553
16566, 3556491
18591, 4467463
3944, 202911
3056, 121246
15668, 3253475
18027, 4319369
18537, 4526234
1967, 50661
1284, 21111
17150, 3902218
18427, 4508096
9846, 1280980
15956, 3365933
8808, 1017516
4930, 319698
5863, 449269
7320, 707389
19019, 4795656
974, 11868
3687, 181997
850, 8995
19183, 4894390
9921, 1302177
9980, 1310050
3326, 145731
17491, 4049929
6776, 598122
15135, 3040255
14741, 2890097
2414, 77348
15220, 3073415
11685, 1820123
8880, 1049827
4392, 258174
2117, 59958
3988, 212798
12116, 1963522
19675, 5135948
1474, 28201
9498, 1186484
3416, 152955
19823, 5195081
4561, 274717
1483, 28340
18370, 4476911
11723, 1812422
12294, 2003305
15832, 3304895
11571, 1682897
6971, 640092
10686, 1514450
3292, 144970
3166, 134352
9285, 1140788
9088, 1098515
3545, 168110
15695, 3273169
10220, 1387188
10661, 1509242
12133, 1947712
1431, 26449
16015, 3368965
10647, 1490521
2300, 68841
6501, 563033
1627, 34682
529, 3265
18583, 4559872
17898, 4240653
17933, 4265098
2047, 54537
6952, 643395
17182, 3917718
16780, 3736565
