N,t
89383, 4802
29282, 1351
52932, 2410
49810, 2153
80035, 3577
16789, 745
26788, 1246
27949, 1217
1509, 63
34808, 1612
6591, 296
76920, 3542
6986, 314
42801, 2126
55181, 2436
93668, 4455
20566, 891
77205, 3544
23336, 1012
76168, 3385
35522, 1559
19863, 874
69761, 3087
23880, 1027
78769, 3427
98250, 4571
45240, 2039
87541, 3852
64933, 2874
84633, 3659
17202, 745
55898, 2541
90865, 4038
65424, 2847
15209, 656
61388, 2740
88284, 3889
7340, 310
27427, 1186
27964, 1205
79611, 3503
70380, 3022
31411, 1363
59059, 2558
14871, 647
54246, 2398
49624, 2156
75065, 3237
9871, 158
56640, 2424
90831, 3904
57264, 2454
65627, 2830
89465, 3877
48035, 2069
62850, 2766
82197, 3539
10763, 259
64066, 2739
13368, 586
7544, 72
56249, 2432
93177, 4045
26192, 1130
30780, 1344
65275, 2816
67143, 2886
39830, 1726
23784, 1047
33301, 1424
80799, 3486
89661, 3885
29354, 1278
92543, 3942
18367, 793
30164, 1296
40757, 1759
7033, 127
70508, 3021
20527, 889
15405, 668
65660, 2798
4832, 115
1779, 73
14952, 634
72685, 3142
87004, 3733
29756, 1271
67956, 2907
57079, 2428
58707, 2506
37268, 1590
65296, 1055
3180, 59
63259, 1425
94292, 2049
1931, 60
26041, 582
70859, 1429
26366, 695
