t (s),V (mV)
0,17.0359
0.995,17.0112
1.995,16.9954
2.995,16.9805
3.995,16.9657
4.995,16.9504
5.995,16.9366
6.995,16.9237
7.995,16.9124
8.995,16.9007
9.995,16.8892
10.995,16.8788
11.995,16.866
12.995,16.8564
13.995,16.8451
14.995,16.8349
15.995,16.8249
16.996,16.8134
17.995,16.8042
18.995,16.7937
19.995,16.7849
20.995,16.7747
21.995,16.7655
22.995,16.7552
23.995,16.7455
24.995,16.7349
25.995,16.7247
26.995,16.7148
27.995,16.7059
28.995,16.6976
29.995,16.6866
30.995,16.6754
31.995,16.6659
32.996,16.6567
33.995,16.646
34.996,16.634
35.995,16.6266
36.995,16.6172
37.995,16.6044
38.995,16.593
39.995,16.5833
40.995,16.5712
41.995,16.5612
42.995,16.5519
43.995,16.5407
44.995,16.5321
45.995,16.5195
46.995,16.5113
47.995,16.5009
48.995,16.491
49.996,16.4794
50.995,16.4705
51.995,16.4621
52.996,16.4516
53.995,16.4404
54.995,16.4306
55.995,16.421
56.995,16.4103
57.996,16.4004
58.995,16.3904
59.995,16.3811
60.995,16.3708
61.995,16.3613
62.996,16.3519
63.995,16.3409
64.995,16.3315
65.995,16.3204
66.996,16.3104
67.999,16.3013
68.995,16.2896
69.995,16.2801
70.995,16.2688
71.995,16.2593
72.995,16.2478
73.995,16.2362
74.995,16.2256
75.996,16.2159
76.995,16.206
77.995,16.1966
78.995,16.1851
79.995,16.1744
80.995,16.1643
81.995,16.1548
82.995,16.1456
83.995,16.1351
84.995,16.1257
85.995,16.1154
86.995,16.1052
87.995,16.0952
88.995,16.0855
89.995,16.0753
90.995,16.0652
91.995,16.0553
92.995,16.0458
93.995,16.0356
94.995,16.0262
95.995,16.016
96.995,16.0065
97.995,15.9963
98.996,15.9873
99.995,15.9777
100.994,15.9679
101.995,15.957
102.995,15.9486
103.995,15.9392
104.995,15.929
105.995,15.9192
106.995,15.9104
107.995,15.9015
108.995,15.8928
109.995,15.8847
110.995,15.8757
111.995,15.8668
112.995,15.8574
113.996,15.8462
114.995,15.8383
115.995,15.8301
116.995,15.8211
117.995,15.8136
118.995,15.8049
119.995,15.7981
120.995,15.7841
121.995,15.7725
122.995,15.7629
123.995,15.7534
124.995,15.7453
125.995,15.7366
126.996,15.7248
127.995,15.7168
128.995,15.7081
129.995,15.698
130.995,15.6901
131.995,15.6809
132.995,15.6723
133.995,15.6634
134.995,15.6534
135.995,15.6447
136.995,15.6348
137.995,15.6264
138.995,15.6181
139.995,15.6091
140.995,15.5986
141.995,15.5912
142.995,15.5831
143.995,15.5725
144.995,15.5644
145.995,15.5559
146.995,15.5455
147.995,15.538
148.995,15.529
149.995,15.5191
150.995,15.5104
151.995,15.502
152.995,15.4934
153.995,15.4866
154.995,15.4784
155.995,15.4691
156.995,15.4591
157.995,15.4469
158.995,15.4384
159.995,15.4301
160.995,15.4209
161.995,15.411
162.995,15.4021
163.995,15.3933
164.995,15.3835
165.995,15.3737
166.995,15.3641
167.995,15.3556
168.995,15.3466
169.995,15.3375
170.995,15.3283
171.995,15.3189
172.995,15.3111
173.995,15.3023
174.995,15.2917
175.995,15.284
176.995,15.275
177.995,15.2653
178.995,15.255
179.995,15.2456
180.995,15.2367
181.995,15.2283
182.995,15.2189
183.995,15.2094
184.995,15.1997
185.995,15.1908
186.995,15.1828
187.995,15.1732
188.996,15.1637
189.995,15.1537
190.995,15.1448
191.995,15.136
192.995,15.1273
193.995,15.121
194.995,15.1109
195.995,15.101
196.995,15.0951
197.995,15.0852
198.996,15.076
199.995,15.0679
200.996,15.0578
201.995,15.0521
202.995,15.0434
203.995,15.0355
204.995,15.0266
205.995,15.0189
206.995,15.0194
207.995,15.0047
208.995,14.9934
209.995,14.9837
210.995,14.9765
211.995,14.9673
212.995,14.9599
213.995,14.9532
214.996,14.9429
215.995,14.9358
216.995,14.9281
217.995,14.9179
218.995,14.9108
219.995,14.9012
220.995,14.8928
221.996,14.8863
222.995,14.8773
223.995,14.8862
224.996,14.8706
225.995,14.8563
226.995,14.8453
227.995,14.8361
228.995,14.8265
229.995,14.818
230.995,14.8088
231.996,14.8006
232.995,14.7912
233.995,14.7825
234.995,14.7745
235.995,14.7691
236.995,14.7608
237.995,14.7509
238.995,14.7403
239.995,14.7316
240.995,14.7288
241.995,14.7181
242.995,14.7071
243.995,14.6971
244.995,14.689
245.995,14.6802
246.995,14.6718
247.995,14.6644
248.996,14.6573
249.995,14.6486
250.995,14.6418
251.995,14.6317
252.995,14.6239
253.995,14.6151
254.995,14.6062
255.995,14.5976
256.995,14.5876
257.995,14.58
258.995,14.5713
259.995,14.5629
260.995,14.5543
261.996,14.546
