Time,Object Name,Status,Value,Units,Alert ID,Priority
13.02.2024 9:44:07,TIC Turbo Speed,,1.6,,0,0
13.02.2024 9:44:07,TIC Turbo Power,,6.1,,0,0
13.02.2024 9:44:07,TIC Gauge 1,11,4.1138e+03,59,0,0
13.02.2024 9:44:07,TIC Gauge 2,5,9.9000e+09,59,0,0
13.02.2024 9:44:07,TIC Gauge 3,5,9.9000e+09,59,0,0
13.02.2024 9:44:09,TIC Turbo Speed,,1.6,,0,0
13.02.2024 9:44:09,TIC Turbo Power,,6.1,,0,0
13.02.2024 9:44:09,TIC Gauge 1,11,5.1854e+03,59,0,0
13.02.2024 9:44:09,TIC Gauge 2,5,9.9000e+09,59,0,0
13.02.2024 9:44:09,TIC Gauge 3,5,9.9000e+09,59,0,0
13.02.2024 9:44:11,TIC Turbo Speed,,1.6,,0,0
13.02.2024 9:44:11,TIC Turbo Power,,6.3,,0,0
13.02.2024 9:44:11,TIC Gauge 1,11,6.8947e+03,59,0,0
13.02.2024 9:44:11,TIC Gauge 2,5,9.9000e+09,59,0,0
13.02.2024 9:44:11,TIC Gauge 3,5,9.9000e+09,59,0,0
13.02.2024 9:44:13,TIC Turbo Speed,,1.6,,0,0
13.02.2024 9:44:13,TIC Turbo Power,,6.5,,0,0
13.02.2024 9:44:13,TIC Gauge 1,11,8.5665e+03,59,0,0
13.02.2024 9:44:13,TIC Gauge 2,5,9.9000e+09,59,0,0
13.02.2024 9:44:14,TIC Gauge 3,5,9.9000e+09,59,0,0
13.02.2024 9:44:15,TIC Turbo Speed,,1.6,,0,0
13.02.2024 9:44:15,TIC Turbo Power,,8.0,,0,0
13.02.2024 9:44:15,TIC Gauge 1,11,1.1037e+04,59,0,0
13.02.2024 9:44:15,TIC Gauge 2,5,9.9000e+09,59,0,0
13.02.2024 9:44:16,TIC Gauge 3,5,9.9000e+09,59,0,0
13.02.2024 9:44:17,TIC Turbo Speed,,1.6,,0,0
13.02.2024 9:44:17,TIC Turbo Power,,7.0,,0,0
13.02.2024 9:44:18,TIC Gauge 1,11,1.3312e+04,59,0,0
13.02.2024 9:44:18,TIC Gauge 2,5,9.9000e+09,59,0,0
13.02.2024 9:44:18,TIC Gauge 3,5,9.9000e+09,59,0,0
13.02.2024 9:44:19,TIC Turbo Speed,,1.6,,0,0
13.02.2024 9:44:19,TIC Turbo Power,,7.5,,0,0
13.02.2024 9:44:20,TIC Gauge 1,11,1.6026e+04,59,0,0
13.02.2024 9:44:20,TIC Gauge 2,5,9.9000e+09,59,0,0
13.02.2024 9:44:20,TIC Gauge 3,5,9.9000e+09,59,0,0
13.02.2024 9:44:21,TIC Turbo Speed,,1.6,,0,0
13.02.2024 9:44:22,TIC Turbo Power,,6.5,,0,0
13.02.2024 9:44:22,TIC Gauge 1,11,1.7916e+04,59,0,0
13.02.2024 9:44:22,TIC Gauge 2,5,9.9000e+09,59,0,0
13.02.2024 9:44:22,TIC Gauge 3,5,9.9000e+09,59,0,0
13.02.2024 9:44:24,TIC Gauge 2,5,9.9000e+09,59,0,0
13.02.2024 9:44:24,TIC Turbo Speed,,1.6,,0,0
13.02.2024 9:44:24,TIC Turbo Power,,6.1,,0,0
13.02.2024 9:44:24,TIC Gauge 3,5,9.9000e+09,59,0,0
13.02.2024 9:44:24,TIC Gauge 1,11,2.0730e+04,59,0,0
13.02.2024 9:44:26,TIC Turbo Speed,,1.6,,0,0
13.02.2024 9:44:26,TIC Turbo Power,,8.0,,0,0
13.02.2024 9:44:26,TIC Gauge 1,11,2.4430e+04,59,0,0
13.02.2024 9:44:26,TIC Gauge 2,5,9.9000e+09,59,0,0
13.02.2024 9:44:26,TIC Gauge 3,5,9.9000e+09,59,0,0
13.02.2024 9:44:28,TIC Gauge 3,5,9.9000e+09,59,0,0
13.02.2024 9:44:28,TIC Turbo Speed,,1.6,,0,0
13.02.2024 9:44:28,TIC Turbo Power,,6.1,,0,0
13.02.2024 9:44:28,TIC Gauge 1,11,2.8083e+04,59,0,0
13.02.2024 9:44:28,TIC Gauge 2,5,9.9000e+09,59,0,0
13.02.2024 9:44:30,TIC Gauge 3,5,9.9000e+09,59,0,0
13.02.2024 9:44:30,TIC Turbo Speed,,1.6,,0,0
13.02.2024 9:44:30,TIC Turbo Power,,6.5,,0,0
13.02.2024 9:44:30,TIC Gauge 1,11,3.1597e+04,59,0,0
13.02.2024 9:44:30,TIC Gauge 2,5,9.9000e+09,59,0,0
13.02.2024 9:44:32,TIC Turbo Speed,,1.6,,0,0
13.02.2024 9:44:32,TIC Turbo Power,,8.0,,0,0
13.02.2024 9:44:32,TIC Gauge 1,11,3.4996e+04,59,0,0
13.02.2024 9:44:32,TIC Gauge 2,5,9.9000e+09,59,0,0
