nm;arb.u
373.20;0.0
373.62;0.0
374.05;0.0
374.48;0.0
374.90;0.0
375.33;0.0
375.75;0.0
376.18;0.0
376.60;0.0
377.03;0.0
377.46;0.0
377.88;0.0
378.31;0.0
378.73;0.0
379.16;0.0
379.58;0.0
380.01;0.0
380.43;0.0
380.86;0.0
381.28;0.0
381.71;0.0
382.13;0.0
382.56;0.0
382.98;0.0
383.41;0.0
383.83;0.0
384.26;0.0
384.68;0.0
385.11;0.0
385.53;0.0
385.95;0.0
386.38;0.0
386.80;0.0
387.23;0.0
387.65;0.0
388.08;0.0
388.50;0.0
388.92;0.0
389.35;0.0
389.77;0.0
390.20;0.0
390.62;0.0
391.04;0.0
391.47;0.0
391.89;0.0
392.32;0.0
392.74;0.0
393.16;0.0
393.59;0.0
394.01;0.0
394.43;0.0
394.86;0.0
395.28;0.0
395.70;0.0
396.13;0.0
396.55;0.0
396.97;0.0
397.40;0.0
397.82;0.0
398.24;0.0
398.66;0.0
399.09;0.0
399.51;0.0
399.93;0.0
400.35;0.0
400.78;0.0
401.20;0.0
401.62;0.0
402.04;0.0
402.47;0.0
402.89;0.0
403.31;0.0
403.73;0.0
404.16;0.0
404.58;0.0
405.00;0.0
405.42;0.0
405.84;0.0
406.27;0.0
406.69;0.0
407.11;0.0
407.53;0.0
407.95;0.0
408.37;0.0
408.80;0.0
409.22;0.0
409.64;0.0
410.06;0.0
410.48;0.0
410.90;0.0
411.32;0.0
411.75;0.0
412.17;0.0
412.59;0.0
413.01;0.0
413.43;0.0
413.85;0.0
414.27;0.0
414.69;0.0
415.11;0.0
415.53;0.0
415.95;0.0
416.37;0.0
416.79;0.0
417.22;0.0
417.64;0.0
418.06;0.0
418.48;0.0
418.90;0.0
419.32;0.0
419.74;0.0
420.16;0.0
420.58;0.0
421.00;0.0
421.42;0.0
421.84;0.0
422.26;0.0
422.68;0.0
423.10;0.0
423.52;0.0
423.94;0.0
424.35;0.0
424.77;0.0
425.19;0.0
425.61;0.0
426.03;0.0
426.45;0.0
426.87;0.0
427.29;0.0
427.71;0.0
428.13;0.0
428.55;0.0
428.97;0.0
429.39;0.0
429.80;0.0
430.22;0.0
430.64;0.0
431.06;0.0
431.48;0.0
431.90;0.0
432.32;0.0
432.73;0.0
433.15;0.0
433.57;0.0
433.99;0.0
434.41;0.0
434.83;0.0
435.24;0.0
435.66;0.0
436.08;0.0
436.50;0.0
436.92;0.0
437.33;0.0
437.75;0.0
438.17;0.0
438.59;0.0
439.00;0.0
439.42;0.0
439.84;0.0
440.26;0.0
440.67;0.0
441.09;0.0
441.51;0.0
441.93;0.0
442.34;0.0
442.76;0.0
443.18;0.0
443.59;0.0
444.01;0.0
444.43;0.0
444.85;0.0
445.26;0.0
445.68;0.0
446.10;0.0
446.51;0.0
446.93;0.0
447.35;0.0
447.76;0.0
448.18;0.0
448.60;0.0
449.01;0.0
449.43;0.0
449.84;0.0
450.26;0.0
450.68;0.0
451.09;0.0
451.51;0.0
451.92;0.0
452.34;0.0
452.76;0.0
453.17;0.0
453.59;0.0
454.00;0.0
454.42;0.0
454.83;0.0
455.25;0.0
455.67;0.0
456.08;0.0
456.50;0.0
456.91;0.0
457.33;0.0
457.74;0.0
458.16;0.0
458.57;0.0
458.99;0.0
459.40;0.0
459.82;0.0
460.23;0.0
460.65;0.0
461.06;0.0
461.48;0.0
461.89;0.0
462.31;0.0
462.72;0.0
463.13;0.0
463.55;0.0
463.96;0.0
464.38;0.0
464.79;0.0
465.21;0.0
465.62;0.0
466.03;0.0
466.45;0.0
466.86;0.0
467.28;0.0
467.69;0.0
468.10;0.0
468.52;0.0
468.93;0.0
469.35;0.0
469.76;0.0
470.17;0.0
470.59;0.0
471.00;0.0
471.41;0.0
471.83;0.0
472.24;0.0
472.65;1.0
473.07;1.0
473.48;1.0
473.89;1.0
474.31;1.0
474.72;0.0
475.13;0.0
475.54;1.0
475.96;1.0
476.37;0.0
476.78;0.0
477.20;0.0
477.61;0.0
478.02;1.0
478.43;1.0
478.85;1.0
479.26;1.0
479.67;1.0
480.08;1.0
480.49;1.0
480.91;1.0
481.32;1.0
481.73;1.0
482.14;1.0
482.55;1.0
482.97;0.0
483.38;0.0
483.79;1.0
484.20;1.0
484.61;1.0
485.03;1.0
485.44;1.0
485.85;1.0
486.26;2.0
486.67;1.0
487.08;2.0
487.49;2.0
487.91;2.0
488.32;2.0
488.73;2.0
489.14;2.0
489.55;2.0
489.96;2.0
490.37;2.0
490.78;2.0
491.19;2.0
491.60;2.0
492.01;2.0
492.43;2.0
492.84;2.0
493.25;2.0
493.66;2.0
494.07;2.0
494.48;2.0
494.89;2.0
495.30;3.0
495.71;3.0
496.12;3.0
496.53;3.0
496.94;3.0
497.35;3.0
497.76;3.0
498.17;3.0
498.58;3.0
498.99;4.0
499.40;4.0
499.81;4.0
500.22;4.0
500.63;4.0
501.04;4.0
501.45;4.0
501.86;4.0
502.26;4.0
502.67;4.0
503.08;4.0
503.49;4.0
503.90;4.0
504.31;4.0
504.72;4.0
505.13;4.0
505.54;4.0
505.95;4.0
506.35;4.0
506.76;4.0
507.17;4.0
507.58;4.0
507.99;4.0
508.40;4.0
508.81;5.0
509.21;5.0
509.62;4.0
510.03;5.0
510.44;5.0
510.85;5.0
511.26;5.0
511.66;5.0
512.07;7.0
512.48;7.0
512.89;7.0
513.30;8.0
513.70;8.0
514.11;8.0
514.52;9.0
514.93;9.0
515.33;9.0
515.74;10.0
516.15;10.0
516.56;12.0
516.96;12.0
517.37;12.0
517.78;14.0
518.19;14.0
518.59;15.0
519.00;15.0
519.41;16.0
519.81;18.0
520.22;18.0
520.63;19.0
521.04;20.0
521.44;21.0
521.85;23.0
522.26;24.0
522.66;25.0
523.07;28.0
523.48;34.0
523.88;40.0
524.29;43.0
524.69;45.0
525.10;45.0
525.51;44.0
525.91;42.0
526.32;42.0
526.73;42.0
527.13;42.0
527.54;42.0
527.94;42.0
528.35;42.0
528.76;43.0
529.16;44.0
529.57;45.0
529.97;46.0
530.38;47.0
530.78;47.0
531.19;49.0
531.59;50.0
532.00;51.0
532.41;53.0
532.81;54.0
533.22;54.0
533.62;55.0
534.03;57.0
534.43;58.0
534.84;58.0
535.24;60.0
535.65;60.0
536.05;61.0
536.46;62.0
536.86;64.0
537.27;64.0
537.67;64.0
538.07;65.0
538.48;65.0
538.88;67.0
539.29;67.0
539.69;68.0
540.10;68.0
540.50;70.0
540.90;70.0
541.31;70.0
541.71;71.0
542.12;71.0
542.52;71.0
542.92;72.0
543.33;73.0
543.73;73.0
544.14;73.0
544.54;73.0
544.94;73.0
545.35;74.0
545.75;73.0
546.15;73.0
546.56;73.0
546.96;73.0
547.36;73.0
547.77;73.0
548.17;73.0
548.57;73.0
548.98;73.0
549.38;73.0
549.78;73.0
550.19;72.0
550.59;72.0
550.99;72.0
551.39;71.0
551.80;71.0
552.20;71.0
552.60;71.0
553.01;70.0
553.41;69.0
553.81;69.0
554.21;69.0
554.62;69.0
555.02;68.0
555.42;68.0
555.82;67.0
556.22;67.0
556.63;66.0
557.03;65.0
557.43;65.0
557.83;64.0
558.23;64.0
558.64;63.0
559.04;63.0
559.44;61.0
559.84;61.0
560.24;60.0
560.64;60.0
561.05;59.0
561.45;59.0
561.85;57.0
562.25;57.0
562.65;57.0
563.05;56.0
563.45;56.0
563.85;56.0
564.26;55.0
564.66;55.0
565.06;54.0
565.46;54.0
565.86;54.0
566.26;54.0
566.66;53.0
567.06;54.0
567.46;53.0
567.86;53.0
568.26;53.0
568.66;53.0
569.06;53.0
569.46;53.0
569.86;53.0
570.26;53.0
570.66;53.0
571.06;53.0
571.46;54.0
571.86;53.0
572.26;52.0
572.66;53.0
573.06;52.0
573.46;52.0
573.86;52.0
574.26;52.0
574.66;51.0
575.06;51.0
575.46;51.0
575.86;50.0
576.26;50.0
576.66;50.0
577.06;49.0
577.46;48.0
577.86;47.0
578.26;47.0
578.66;46.0
579.06;46.0
579.45;46.0
579.85;45.0
580.25;45.0
580.65;44.0
581.05;43.0
581.45;43.0
581.85;42.0
582.25;42.0
582.64;41.0
583.04;41.0
583.44;41.0
583.84;40.0
584.24;39.0
584.64;39.0
585.03;38.0
585.43;38.0
585.83;38.0
586.23;38.0
586.63;38.0
587.03;37.0
587.42;37.0
587.82;37.0
