nm;arb.u
373.20;48.0
373.62;50.0
374.05;54.0
374.48;56.0
374.90;56.0
375.33;56.0
375.75;56.0
376.18;58.0
376.60;57.0
377.03;57.0
377.46;57.0
377.88;57.0
378.31;56.0
378.73;57.0
379.16;57.0
379.58;57.0
380.01;58.0
380.43;58.0
380.86;57.0
381.28;57.0
381.71;58.0
382.13;57.0
382.56;56.0
382.98;57.0
383.41;58.0
383.83;58.0
384.26;57.0
384.68;58.0
385.11;57.0
385.53;57.0
385.95;57.0
386.38;58.0
386.80;58.0
387.23;58.0
387.65;58.0
388.08;58.0
388.50;58.0
388.92;58.0
389.35;58.0
389.77;58.0
390.20;58.0
390.62;58.0
391.04;58.0
391.47;58.0
391.89;60.0
392.32;60.0
392.74;59.0
393.16;59.0
393.59;60.0
394.01;59.0
394.43;60.0
394.86;60.0
395.28;60.0
395.70;60.0
396.13;61.0
396.55;61.0
396.97;61.0
397.40;62.0
397.82;63.0
398.24;62.0
398.66;62.0
399.09;63.0
399.51;62.0
399.93;65.0
400.35;64.0
400.78;64.0
401.20;65.0
401.62;66.0
402.04;67.0
402.47;67.0
402.89;67.0
403.31;68.0
403.73;68.0
404.16;69.0
404.58;71.0
405.00;72.0
405.42;71.0
405.84;72.0
406.27;75.0
406.69;75.0
407.11;77.0
407.53;78.0
407.95;79.0
408.37;81.0
408.80;83.0
409.22;85.0
409.64;87.0
410.06;88.0
410.48;91.0
410.90;94.0
411.32;96.0
411.75;99.0
412.17;102.0
412.59;106.0
413.01;108.0
413.43;112.0
413.85;116.0
414.27;121.0
414.69;124.0
415.11;129.0
415.53;133.0
415.95;137.0
416.37;141.0
416.79;146.0
417.22;151.0
417.64;156.0
418.06;160.0
418.48;167.0
418.90;171.0
419.32;177.0
419.74;180.0
420.16;186.0
420.58;192.0
421.00;196.0
421.42;202.0
421.84;207.0
422.26;212.0
422.68;217.0
423.10;221.0
423.52;228.0
423.94;231.0
424.35;238.0
424.77;243.0
425.19;249.0
425.61;255.0
426.03;262.0
426.45;266.0
426.87;272.0
427.29;278.0
427.71;282.0
428.13;288.0
428.55;295.0
428.97;300.0
429.39;306.0
429.80;312.0
430.22;320.0
430.64;326.0
431.06;332.0
431.48;338.0
431.90;341.0
432.32;346.0
432.73;351.0
433.15;356.0
433.57;362.0
433.99;365.0
434.41;368.0
434.83;371.0
435.24;374.0
435.66;377.0
436.08;378.0
436.50;380.0
436.92;383.0
437.33;386.0
437.75;389.0
438.17;390.0
438.59;393.0
439.00;395.0
439.42;398.0
439.84;398.0
440.26;401.0
440.67;403.0
441.09;404.0
441.51;407.0
441.93;410.0
442.34;413.0
442.76;415.0
443.18;416.0
443.59;418.0
444.01;419.0
444.43;422.0
444.85;423.0
445.26;426.0
445.68;429.0
446.10;429.0
446.51;433.0
446.93;434.0
447.35;436.0
447.76;438.0
448.18;439.0
448.60;442.0
449.01;443.0
449.43;444.0
449.84;447.0
450.26;447.0
450.68;448.0
451.09;449.0
451.51;449.0
451.92;452.0
452.34;450.0
452.76;450.0
453.17;449.0
453.59;448.0
454.00;449.0
454.42;446.0
454.83;446.0
455.25;445.0
455.67;443.0
456.08;441.0
456.50;440.0
456.91;438.0
457.33;436.0
457.74;433.0
458.16;432.0
458.57;429.0
458.99;427.0
459.40;424.0
459.82;424.0
460.23;421.0
460.65;421.0
461.06;418.0
461.48;418.0
461.89;416.0
462.31;415.0
462.72;415.0
463.13;415.0
463.55;415.0
463.96;416.0
