N,t
289214, 238
160, 97
1691525, 277
22914, 206
2343338, 285
82, 99
51, 87
30782, 190
157160, 230
695493, 263
3371, 164
2, 9
1708465, 282
319976, 246
94670, 227
23321, 191
15, 62
65579, 212
7, 49
40, 93
807426, 261
745537, 260
148, 99
23, 61
181540, 241
1806565, 279
4, 35
50734, 211
13, 48
174270, 220
841, 139
80, 88
1, 3
472464, 253
4554, 173
2400724, 277
156401, 214
1434564, 271
2, 9
38, 74
3, 24
4, 24
22430, 199
97, 88
1043, 140
37, 75
2, 9
38, 75
3, 24
4, 23
22430, 196
97, 87
1043, 139
37, 75
2, 9
38, 75
3, 23
4, 23
22430, 203
97, 88
1043, 139
37, 75
2, 9
38, 75
3, 23
4, 23
22430, 194
97, 88
1043, 141
37, 76
2, 9
38, 75
3, 24
4, 23
22430, 196
97, 88
1043, 140
37, 75
2, 9
38, 75
3, 24
4, 24
22430, 198
97, 88
1043, 140
37, 75
2, 10
38, 75
3, 23
4, 23
22430, 193
97, 88
1043, 142
37, 77
2, 9
38, 76
3, 23
4, 24
22430, 201
97, 88
1043, 142
37, 77
2, 9
38, 75
3, 24
4, 24
22430, 193
97, 88
1043, 139
37, 75
2, 9
38, 74
3, 24
4, 23
22430, 195
97, 88
1043, 143
37, 77
2, 9
38, 76
3, 26
4, 26
22430, 206
97, 91
1043, 142
37, 78
2, 10
38, 76
3, 24
4, 24
22430, 196
97, 88
1043, 141
37, 76
2, 9
38, 78
3, 23
4, 24
22430, 197
97, 87
1043, 139
37, 75
2, 9
4843, 154
754, 136
229879, 217
222477, 212
758, 137
4681, 155
112973, 224
571, 125
410962, 233
74, 87
1576876, 267
862399, 270
12, 61
77, 87
53984, 205
111, 99
1779228, 272
308618, 225
50340, 216
18, 61
23121, 188
4, 35
5, 36
187472, 239
2930496, 281
86, 99
301, 112
11004, 178
1, 3
329, 113
1783, 155
2, 9
37805, 210
3711, 166
34583, 194
31, 62
544, 127
14391, 186
223878, 228
14594, 183
232, 113
12176, 173
45217, 210
338, 126
330, 107
8, 48
891, 139
470, 126
155, 110
1536459, 277
5, 35
3060, 154
1959321, 282
98, 99
225, 112
164160, 229
737, 138
83356, 213
1, 3
1642, 147
160, 102
298, 114
1171072, 265
1346, 137
1486965, 255
235979, 234
185, 111
61863, 210
28579, 205
283, 116
204172, 234
16696, 191
625216, 255
17, 61
2, 9
18748, 195
1971906, 285
36, 73
764, 139
3, 23
13675, 192
21611, 201
314700, 251
106, 99
4, 35
42880, 206
109, 98
2, 9
1352, 144
365004, 243
10, 61
57, 86
28, 74
2413, 164
425615, 257
41, 73
905, 121
82474, 216
11705, 168
8843, 170
6, 35
90188, 221
1, 3
4, 35
42880, 210
109, 96
2, 9
171766, 244
270, 112
262395, 232
33863, 195
102, 100
91797, 209
6848, 181
34413, 203
1, 3
736254, 268
2, 9
171766, 244
270, 111
262395, 234
33863, 208
102, 100
91797, 210
6848, 175
34413, 203
1, 3
736254, 265
2, 9
6, 47
192, 112
171, 100
55312, 205
1824, 152
2190402, 280
248492, 238
1532, 151
2928, 164
16, 61
7, 48
915984, 251
1679, 141
285621, 228
152075, 242
1224617, 273
2, 9
751, 125
2, 9
751, 126
2, 9
751, 127
2, 9
751, 128
2, 9
751, 127
2, 9
751, 128
2, 9
751, 129
2, 9
751, 127
2, 9
751, 127
2, 9
751, 128
2, 9
751, 127
2, 9
751, 128
2, 9
751, 127
2, 9
751, 127
2, 9
751, 127
2, 9
751, 127
2, 9
751, 128
2, 9
751, 128
2, 9
751, 127
2, 9
751, 127
2, 9
751, 128
2, 9
751, 127
2, 9
751, 127
2, 9
751, 126
2, 9
751, 128
2, 10
50, 88
5, 34
4271, 155
8265, 173
4979, 165
9, 49
832308, 263
310790, 247
93096, 225
124524, 203
83, 100
13218, 180
103200, 208
2924470, 292
1768, 150
8, 48
6, 48
60038, 229
1980, 155
1204, 156
1018455, 259
339600, 239
10, 61
5418, 181
4552, 173
1256, 156
396, 128
12732, 187
5, 37
121577, 229
1, 3
870936, 266
1690802, 273
351719, 242
2238497, 280
69, 87
14843, 191
7619, 178
1909, 139
46, 87
4121, 165
11, 62
45779, 198
28, 74
34215, 192
540, 123
4474, 162
7096, 166
82108, 220
1, 4
23, 74
2000490, 281
886680, 271
19, 61
27865, 211
1517450, 268
1869, 133
15924, 187
69191, 223
6, 35
970655, 262
455, 125
871416, 256
6, 35
970655, 260
455, 114
194, 113
12213, 192
432, 126
4662, 165
118, 100
353047, 242
99, 87
79, 87
124, 100
1010922, 264
385, 124
146869, 228
304047, 242
422762, 242
5, 35
31, 74
9186, 185
2410296, 277
40, 86
23633, 208
327, 114
1901, 135
4285, 167
82081, 211
7299, 174
1086199, 256
5, 35
1402198, 273
1292752, 271
1772269, 282
303483, 231
17, 61
74, 87
8, 48
91, 88
49, 88
382959, 241
3, 23
64, 86
74725, 222
3, 24
64, 87
74725, 214
3, 24
64, 87
74725, 219
3, 24
64, 87
74725, 215
3, 24
64, 87
74725, 213
3, 24
64, 88
74725, 222
3, 24
64, 87
74725, 219
163, 113
14, 48
31047, 203
261408, 248
1, 3
266949, 233
6, 35
651669, 267
227865, 226
51, 89
17369, 189
1188, 140
12970, 193
30, 75
24406, 197
2089, 153
4, 24
168226, 227
312037, 251
5462, 167
4, 23
168226, 223
312037, 260
5462, 168
3725, 151
26742, 190
31149, 197
415615, 254
4599, 166
31033, 186
3, 23
9, 49
1, 3
7, 49
344, 128
22, 77
30226, 202
