t (s),V (mV)
0,16.8779
0.968,16.8574
1.934,16.8463
2.906,16.8169
3.906,16.7974
4.906,16.777
5.906,16.7567
6.906,16.7388
7.906,16.7189
8.906,16.7005
9.906,16.6821
10.906,16.6619
11.906,16.6464
12.906,16.6272
13.906,16.6117
14.907,16.5943
15.907,16.5734
16.906,16.5523
17.906,16.5338
18.906,16.5145
19.906,16.4954
20.906,16.4757
21.906,16.4569
22.906,16.4385
23.906,16.4204
24.906,16.401
25.907,16.3841
26.907,16.3654
27.906,16.3466
28.906,16.3285
29.906,16.3106
30.906,16.2922
31.906,16.2742
32.906,16.2542
33.906,16.2369
34.906,16.2195
35.906,16.2008
36.906,16.1826
37.906,16.1646
38.906,16.147
39.906,16.1295
40.906,16.1103
41.906,16.0927
42.907,16.0739
43.906,16.0566
44.906,16.0381
45.906,16.0208
46.906,16.0009
47.906,15.9842
48.906,15.9649
49.906,15.9484
50.906,15.9307
51.907,15.912
52.906,15.8946
53.906,15.877
54.906,15.8588
55.906,15.8431
56.906,15.8248
57.906,15.8071
58.906,15.7902
59.907,15.7724
60.906,15.7571
61.906,15.7385
62.906,15.7218
63.907,15.7043
64.906,15.6879
65.907,15.6704
66.906,15.6546
67.907,15.6368
68.906,15.6205
69.906,15.603
70.906,15.587
71.906,15.5697
72.906,15.5527
73.906,15.5364
74.907,15.52
75.906,15.5034
76.906,15.4872
77.906,15.4707
78.906,15.4544
79.906,15.4393
80.906,15.4226
81.907,15.4057
82.906,15.3892
83.906,15.3726
84.906,15.3573
85.906,15.3418
86.906,15.3255
87.906,15.309
88.906,15.2923
89.906,15.2779
90.906,15.2611
91.906,15.2451
92.906,15.2284
93.906,15.2124
94.906,15.1959
95.906,15.18
96.906,15.1642
97.906,15.1488
98.906,15.1327
99.906,15.1171
100.906,15.1009
101.906,15.086
102.906,15.0697
103.906,15.0547
104.906,15.0387
105.906,15.0234
106.906,15.0071
107.906,14.9908
108.907,14.9761
109.906,14.9605
110.906,14.9453
111.906,14.9298
112.906,14.9144
113.906,14.8993
114.906,14.8838
115.906,14.8695
116.906,14.8533
117.906,14.8384
118.906,14.8228
119.906,14.8083
120.906,14.7926
121.906,14.7786
122.906,14.7631
123.906,14.7495
124.906,14.7358
125.906,14.7201
126.906,14.7059
127.906,14.6913
128.906,14.6766
129.906,14.6612
130.906,14.6466
131.907,14.6291
132.906,14.6153
133.906,14.6013
134.906,14.586
135.906,14.5701
136.906,14.5552
137.906,14.5404
138.906,14.5241
139.906,14.5077
140.906,14.4915
141.906,14.4755
142.907,14.4588
143.906,14.4444
144.907,14.4293
145.906,14.4143
146.906,14.3982
147.906,14.3838
148.906,14.3686
149.906,14.3539
150.906,14.3391
151.907,14.3237
152.906,14.3092
153.906,14.2947
154.906,14.2796
155.906,14.2642
156.906,14.2501
157.906,14.2357
158.906,14.2206
159.906,14.2058
160.906,14.192
161.906,14.1772
162.906,14.1627
163.906,14.1476
164.906,14.1338
165.906,14.118
166.906,14.1038
167.906,14.089
168.906,14.0756
169.906,14.0604
170.907,14.0469
171.906,14.0319
172.906,14.0167
173.906,14.0037
174.906,13.988
175.906,13.9746
176.906,13.96
177.906,13.9447
178.906,13.9311
179.906,13.9176
180.906,13.9045
181.906,13.8897
182.906,13.8757
183.906,13.8602
