t (s),V (mV)
0,19.8414
0.968,19.8177
1.9,19.7832
2.897,19.7555
3.897,19.7259
4.897,19.6949
5.897,19.6662
6.897,19.6344
7.897,19.6035
8.898,19.5719
9.897,19.5431
10.897,19.512
11.897,19.4814
12.897,19.4505
13.897,19.4204
14.897,19.3892
15.897,19.3593
16.897,19.3295
17.897,19.2997
18.898,19.2705
19.897,19.24
20.898,19.209
21.897,19.1798
22.897,19.1495
23.897,19.1197
24.897,19.0901
25.897,19.0597
26.898,19.0304
27.897,19.0007
28.897,18.9721
29.897,18.9429
30.898,18.9137
31.897,18.8843
32.897,18.8546
33.897,18.8262
34.897,18.7969
35.897,18.7677
36.897,18.7388
37.897,18.7108
38.897,18.6819
39.897,18.6525
40.897,18.6253
41.897,18.5958
42.898,18.5674
43.897,18.5389
44.898,18.5102
45.897,18.4822
46.897,18.4541
47.897,18.4266
48.897,18.3978
49.897,18.3698
50.897,18.3415
51.897,18.3134
52.898,18.2855
53.897,18.2586
54.897,18.2291
55.897,18.1968
56.897,18.1715
57.897,18.1445
58.897,18.1174
59.897,18.0907
60.897,18.0625
61.898,18.0363
62.897,18.0086
63.898,17.9823
64.897,17.9542
65.897,17.9268
66.897,17.8988
67.897,17.8713
68.897,17.8448
69.897,17.817
70.897,17.789
71.898,17.7638
72.897,17.7364
73.897,17.7089
74.897,17.681
75.897,17.6549
76.897,17.6261
77.897,17.6002
78.897,17.5689
79.897,17.5427
80.897,17.5176
81.897,17.4933
82.897,17.4675
83.897,17.4407
84.897,17.4144
85.897,17.3876
86.897,17.3617
87.897,17.336
88.897,17.3094
89.897,17.2835
90.897,17.2592
91.897,17.233
92.897,17.2066
93.897,17.1809
94.897,17.1563
95.897,17.1297
96.897,17.1052
97.897,17.0795
98.898,17.0551
99.897,17.0293
100.897,17.003
101.897,16.9799
102.897,16.9554
103.897,16.9298
104.897,16.9035
105.898,16.8806
106.897,16.8557
107.897,16.8296
108.898,16.8067
109.897,16.7817
110.897,16.7562
111.897,16.7323
112.897,16.7088
113.897,16.6848
114.897,16.659
115.897,16.636
116.897,16.6116
117.897,16.5863
118.897,16.5622
119.897,16.5027
120.897,16.3676
121.897,16.3996
122.897,16.4358
123.897,16.4309
124.897,16.4109
125.897,16.3891
126.897,16.3648
127.897,16.3416
128.898,16.3173
129.897,16.2945
130.897,16.2696
131.898,16.2454
132.897,16.2219
133.898,16.1981
134.897,16.1746
135.898,16.1499
136.897,16.1264
137.897,16.1041
138.897,16.0799
139.897,16.0568
140.897,16.0327
141.897,16.0093
142.897,15.9846
143.899,15.9583
144.897,15.9381
145.897,15.9151
146.897,15.89
147.897,15.868
148.897,15.8428
149.897,15.8201
150.897,15.7973
151.897,15.7733
152.897,15.7502
153.897,15.7275
154.897,15.7064
155.897,15.6826
156.897,15.6603
157.898,15.6371
158.897,15.6143
159.897,15.5911
160.897,15.5683
161.897,15.5454
162.897,15.5231
163.897,15.5001
164.897,15.4778
165.897,15.4567
166.898,15.4337
167.897,15.4118
168.897,15.3906
169.897,15.3666
170.897,15.3452
171.898,15.3221
172.897,15.3011
173.897,15.2794
174.898,15.2573
175.897,15.2352
176.897,15.2121
177.897,15.1907
178.897,15.1685
179.897,15.1474
180.897,15.1244
181.897,15.102
182.897,15.0811
183.898,15.0592
184.897,15.0371
185.897,15.0153
186.897,14.9937
187.897,14.9723
188.897,14.9494
189.897,14.9291
190.897,14.9067
191.897,14.8864
192.897,14.8645
193.897,14.8439
194.897,14.8218
195.897,14.8016
196.897,14.7797
197.897,14.7589
198.897,14.7374
199.897,14.716
200.897,14.6952
201.897,14.6756
202.897,14.6545
203.897,14.6334
204.899,14.617
205.897,14.5925
206.897,14.5732
207.897,14.5511
208.897,14.5302
209.897,14.509
210.897,14.489
211.897,14.4687
212.897,14.4491
213.897,14.4272
214.897,14.406
215.897,14.385
216.897,14.3654
217.897,14.3449
218.898,14.3246
219.897,14.3022
220.898,14.2827
221.897,14.2615
222.897,14.2415
223.897,14.2186
224.897,14.1993
