Time;Sec;Object Name;Status;Value
9:44:07;0;TIC Turbo Speed;;1.6
9:44:07;0;TIC Turbo Power;;6.1
9:44:07;0;TIC Gauge 1;11;4113.8
9:44:07;0;TIC Gauge 2;5;9900000000
9:44:07;0;TIC Gauge 3;5;9900000000
9:44:09;2;TIC Turbo Speed;;1.6
9:44:09;2;TIC Turbo Power;;6.1
9:44:09;2;TIC Gauge 1;11;5185.4
9:44:09;2;TIC Gauge 2;5;9900000000
9:44:09;2;TIC Gauge 3;5;9900000000
9:44:11;4;TIC Turbo Speed;;1.6
9:44:11;4;TIC Turbo Power;;6.3
9:44:11;4;TIC Gauge 1;11;6894.7
9:44:11;4;TIC Gauge 2;5;9900000000
9:44:11;4;TIC Gauge 3;5;9900000000
9:44:13;6;TIC Turbo Speed;;1.6
9:44:13;6;TIC Turbo Power;;6.5
9:44:13;6;TIC Gauge 1;11;8566.5
9:44:13;6;TIC Gauge 2;5;9900000000
9:44:14;7;TIC Gauge 3;5;9900000000
9:44:15;8;TIC Turbo Speed;;1.6
9:44:15;8;TIC Turbo Power;;8
9:44:15;8;TIC Gauge 1;11;11037
9:44:15;8;TIC Gauge 2;5;9900000000
9:44:16;9;TIC Gauge 3;5;9900000000
9:44:17;10;TIC Turbo Speed;;1.6
9:44:17;10;TIC Turbo Power;;7
9:44:18;11;TIC Gauge 1;11;13312
9:44:18;11;TIC Gauge 2;5;9900000000
9:44:18;11;TIC Gauge 3;5;9900000000
9:44:19;12;TIC Turbo Speed;;1.6
9:44:19;12;TIC Turbo Power;;7.5
9:44:20;13;TIC Gauge 1;11;16026
9:44:20;13;TIC Gauge 2;5;9900000000
9:44:20;13;TIC Gauge 3;5;9900000000
9:44:21;14;TIC Turbo Speed;;1.6
9:44:22;15;TIC Turbo Power;;6.5
9:44:22;15;TIC Gauge 1;11;17916
9:44:22;15;TIC Gauge 2;5;9900000000
9:44:22;15;TIC Gauge 3;5;9900000000
9:44:24;17;TIC Gauge 2;5;9900000000
9:44:24;17;TIC Turbo Speed;;1.6
9:44:24;17;TIC Turbo Power;;6.1
9:44:24;17;TIC Gauge 3;5;9900000000
9:44:24;17;TIC Gauge 1;11;20730
9:44:26;19;TIC Turbo Speed;;1.6
9:44:26;19;TIC Turbo Power;;8
9:44:26;19;TIC Gauge 1;11;24430
9:44:26;19;TIC Gauge 2;5;9900000000
9:44:26;19;TIC Gauge 3;5;9900000000
9:44:28;21;TIC Gauge 3;5;9900000000
9:44:28;21;TIC Turbo Speed;;1.6
9:44:28;21;TIC Turbo Power;;6.1
9:44:28;21;TIC Gauge 1;11;28083
9:44:28;21;TIC Gauge 2;5;9900000000
9:44:30;23;TIC Gauge 3;5;9900000000
9:44:30;23;TIC Turbo Speed;;1.6
9:44:30;23;TIC Turbo Power;;6.5
9:44:30;23;TIC Gauge 1;11;31597
9:44:30;23;TIC Gauge 2;5;9900000000
9:44:32;25;TIC Turbo Speed;;1.6
9:44:32;25;TIC Turbo Power;;8
9:44:32;25;TIC Gauge 1;11;34996
9:44:32;25;TIC Gauge 2;5;9900000000
9:44:32;25;TIC Gauge 3;5;9900000000
9:44:34;27;TIC Gauge 1;11;37035
9:44:34;27;TIC Turbo Speed;;1.6
9:44:34;27;TIC Turbo Power;;6.1
9:44:34;27;TIC Gauge 2;5;9900000000
