I,U34,U0,I0
0.19,32,17,0.3
0.56,68,17,0.3
0.93,102,17,0.3
1.30,128,17,0.3
1.66,146,17,0.3
2.02,157,17,0.3
0.19,42,18,0.4
0.56,90,18,0.4
0.93,135,18,0.4
1.30,170,18,0.4
1.66,195,18,0.4
2.02,210,18,0.4
0.19,53,23,0.5
0.56,115,23,0.5
0.93,168,23,0.5
1.30,215,23,0.5
1.66,244,23,0.5
2.02,262,23,0.5
0.19,60,27,0.6
0.56,135,27,0.6
0.93,202,27,0.6
1.30,259,27,0.6
1.66,292,27,0.6
2.02,314,27,0.6
0.19,68,31,0.7
0.56,156,31,0.7
0.93,239,31,0.7
1.30,302,31,0.7
1.66,340,31,0.7
2.02,366,31,0.7
0.19,81,35,0.8
0.56,180,35,0.8
0.93,270,35,0.8
1.30,343,35,0.8
1.66,387,35,0.8
2.02,417,35,0.8
0.19,90,39,0.9
0.56,198,39,0.9
0.93,303,39,0.9
1.30,387,39,0.9
1.66,438,39,0.9
2.02,467,39,0.9
0.19,103,44,1.0
0.56,214,44,1.0
0.93,334,44,1.0
1.30,427,44,1.0
1.66,472,44,1.0
2.02,515,44,1.0
