Частота	Канал A
(kГц)	(В)

0.00000000	2.87524700
0.02384186	1.99740000
0.04768372	1.36301900
0.07152557	0.43452800
0.09536743	0.04093702
0.11920929	0.00057689
0.14305115	0.00056016
0.16689301	0.00059072
0.19073486	0.00041285
0.21457672	0.00021208
0.23841858	0.00035080
0.26226044	0.00028140
0.28610229	0.00059195
0.30994415	0.00047319
0.33378601	0.00079682
0.35762787	0.00078805
0.38146973	0.00062270
0.40531158	0.00039430
0.42915344	0.00035854
0.45299530	0.00117656
0.47683716	0.00142135
0.50067902	0.00175182
0.52452087	0.00154048
0.54836273	0.00119335
0.57220459	0.00033152
0.59604645	0.00016992
0.61988831	0.00015536
0.64373016	0.00013021
0.66757202	0.00022061
0.69141388	0.00007777
0.71525574	0.00006367
0.73909760	0.00029185
0.76293945	0.00032270
0.78678131	0.00047231
0.81062317	0.00021608
0.83446503	0.00032054
0.85830688	0.00030091
0.88214874	0.00018095
0.90599060	0.00028702
0.92983246	0.00056843
0.95367432	0.00166946
0.97751617	0.00267002
1.00135803	0.00275254
1.02519989	0.00278889
1.04904175	0.00174328
1.07288361	0.00052684
1.09672546	0.00017167
1.12056732	0.00040935
1.14440918	0.00078066
1.16825104	0.00082679
1.19209290	0.00076344
1.21593475	0.00064613
1.23977661	0.00038449
1.26361847	0.00009675
1.28746033	0.00034670
1.31130219	0.00043030
1.33514404	0.00043605
1.35898590	0.00041577
1.38282776	0.00028809
1.40666962	0.00039344
1.43051147	0.00113831
1.45435333	0.00269200
1.47819519	0.00364337
1.50203705	0.00374638
1.52587891	0.00358284
1.54972076	0.00247328
1.57356262	0.00096815
1.59740448	0.00032281
1.62124634	0.00032981
1.64508820	0.00034723
1.66893005	0.00034611
1.69277191	0.00031271
1.71661377	0.00034429
1.74045563	0.00049097
1.76429749	0.00044295
1.78813934	0.00048521
1.81198120	0.00037691
1.83582306	0.00038174
1.85966492	0.00034102
1.88350677	0.00036745
1.90734863	0.00041006
1.93119049	0.00111451
1.95503235	0.00294588
1.97887421	0.00381699
2.00271606	0.00382955
2.02655792	0.00355411
2.05039978	0.00216083
2.07424164	0.00034917
2.09808350	0.00022480
2.12192535	0.00049268
2.14576721	0.00058660
2.16960907	0.00055120
2.19345093	0.00045271
2.21729279	0.00056903
2.24113464	0.00042998
2.26497650	0.00033695
2.28881836	0.00031259
2.31266022	0.00037994
2.33650208	0.00038126
2.36034393	0.00048272
2.38418579	0.00045894
2.40802765	0.00042327
2.43186951	0.00160223
2.45571136	0.00381182
2.47955322	0.00522135
2.50339508	0.00543995
2.52723694	0.00526865
2.55107880	0.00342648
2.57492065	0.00120559
2.59876251	0.00026751
2.62260437	0.00015804
2.64644623	0.00009212
2.67028809	0.00026484
2.69412994	0.00030140
2.71797180	0.00026884
2.74181366	0.00027248
2.76565552	0.00029737
2.78949738	0.00023981
2.81333923	0.00025917
2.83718109	0.00031182
2.86102295	0.00027690
2.88486481	0.00010642
2.90870667	0.00023075
2.93254852	0.00146001
2.95639038	0.00391101
2.98023224	0.00525760
3.00407410	0.00542473
3.02791595	0.00512697
3.05175781	0.00310191
3.07559967	0.00090309
3.09944153	0.00055536
3.12328339	0.00052445
3.14712524	0.00049643
3.17096710	0.00060534
3.19480896	0.00068641
3.21865082	0.00060955
3.24249268	0.00042391
3.26633453	0.00003989
3.29017639	0.00043249
3.31401825	0.00056568
3.33786011	0.00058053
3.36170197	0.00049635
3.38554382	0.00017600
3.40938568	0.00023503
3.43322754	0.00172217
3.45706940	0.00462463
3.48091125	0.00612452
3.50475311	0.00625483
3.52859497	0.00573152
3.55243683	0.00319655
3.57627869	0.00039215
3.60012054	0.00050277
3.62396240	0.00049955
3.64780426	0.00042945
3.67164612	0.00033497
3.69548798	0.00031048
3.71932983	0.00046670
3.74317169	0.00050719
3.76701355	0.00037183
3.79085541	0.00021162
3.81469727	0.00023154
3.83853912	0.00031605
3.86238098	0.00035681
3.88622284	0.00039970
3.91006470	0.00058113
3.93390656	0.00230474
3.95774841	0.00533909
3.98159027	0.00681354
4.00543213	0.00683308
4.02927399	0.00639206
4.05311584	0.00385604
4.07695770	0.00107183
4.10079956	0.00023849
4.12464142	0.00007061
4.14848328	0.00008023
4.17232513	0.00016980
4.19616699	0.00023338
4.22000885	0.00013022
4.24385071	0.00014277
4.26769257	0.00012355
4.29153442	0.00011690
4.31537628	0.00023382
4.33921814	0.00036862
4.36306000	0.00046386
4.38690186	0.00039977
4.41074371	0.00039980
4.43458557	0.00216742
4.45842743	0.00536233
4.48226929	0.00683336
4.50611115	0.00691055
4.52995300	0.00637788
4.55379486	0.00370661
4.57763672	0.00098890
4.60147858	0.00027872
4.62532043	0.00014645
4.64916229	0.00004388
4.67300415	0.00008463
4.69684601	0.00007533
4.72068787	0.00011234
4.74452972	0.00020125
4.76837158	0.00023691
4.79221344	0.00025284
4.81605530	0.00014157
4.83989716	0.00006826
4.86373901	0.00015541
4.88758087	0.00016330
4.91142273	0.00032796
4.93526459	0.00207594
4.95910645	0.00515178
4.98294830	0.00663683
5.00679016	0.00675274
5.03063202	0.00630239
5.05447388	0.00381005
5.07831573	0.00128782
5.10215759	0.00060405
5.12599945	0.00055284
5.14984131	0.00037743
5.17368317	0.00014936
5.19752502	0.00012689
5.22136688	0.00017740
5.24520874	0.00025361
5.26905060	0.00030773
5.29289246	0.00036734
5.31673431	0.00050001
5.34057617	0.00062102
5.36441803	0.00048014
5.38825989	0.00032633
5.41210175	0.00020798
5.43594360	0.00233753
5.45978546	0.00555455
5.48362732	0.00681337
5.50746918	0.00675923
5.53131104	0.00606858
5.55515289	0.00336125
5.57899475	0.00080897
5.60283661	0.00028951
5.62667847	0.00034129
5.65052032	0.00030245
5.67436218	0.00028923
5.69820404	0.00032402
5.72204590	0.00041835
5.74588776	0.00044395
5.76972961	0.00037664
5.79357147	0.00024554
5.81741333	0.00020082
5.84125519	0.00028756
5.86509705	0.00040864
5.88893890	0.00038118
5.91278076	0.00063756
5.93662262	0.00240420
5.96046448	0.00523554
5.98430634	0.00647516
6.00814819	0.00651470
6.03199005	0.00587738
6.05583191	0.00323635
6.07967377	0.00079924
6.10351563	0.00043330
6.12735748	0.00042003
6.15119934	0.00036286
6.17504120	0.00033112
6.19888306	0.00024075
6.22272491	0.00023284
6.24656677	0.00040015
6.27040863	0.00067624
6.29425049	0.00080647
6.31809235	0.00085369
6.34193420	0.00081744
6.36577606	0.00059442
6.38961792	0.00040029
6.41345978	0.00022562
6.43730164	0.00216456
6.46114349	0.00505539
6.48498535	0.00608183
6.50882721	0.00587939
6.53266907	0.00512086
6.55651093	0.00250776
6.58035278	0.00029839
6.60419464	0.00031893
6.62803650	0.00029064
6.65187836	0.00025726
6.67572021	0.00005342
6.69956207	0.00028284
6.72340393	0.00044437
6.74724579	0.00055021
6.77108765	0.00053547
6.79492950	0.00043792
6.81877136	0.00036844
6.84261322	0.00027650
6.86645508	0.00025932
6.89029694	0.00029890
6.91413879	0.00061448
6.93798065	0.00221739
6.96182251	0.00467475
6.98566437	0.00557982
7.00950623	0.00543854
7.03334808	0.00469593
7.05718994	0.00247239
7.08103180	0.00056992
7.10487366	0.00037258
7.12871552	0.00028633
7.15255737	0.00005181
7.17639923	0.00018646
7.20024109	0.00022847
7.22408295	0.00029743
7.24792480	0.00018569
7.27176666	0.00010124
7.29560852	0.00026381
7.31945038	0.00030997
7.34329224	0.00023757
7.36713409	0.00010796
7.39097595	0.00006956
7.41481781	0.00036993
7.43865967	0.00173690
7.46250153	0.00380458
7.48634338	0.00469060
7.51018524	0.00471838
7.53402710	0.00412003
7.55786896	0.00209811
7.58171082	0.00036161
7.60555267	0.00013071
7.62939453	0.00027266
7.65323639	0.00030069
7.67707825	0.00022474
7.70092010	0.00018096
7.72476196	0.00018694
7.74860382	0.00028422
7.77244568	0.00041462
7.79628754	0.00051736
7.82012939	0.00062446
7.84397125	0.00059314
7.86781311	0.00044669
7.89165497	0.00022659
7.91549683	0.00029015
7.93933868	0.00171344
7.96318054	0.00354200
7.98702240	0.00410479
8.01086426	0.00402342
8.03470612	0.00352135
8.05854797	0.00179944
8.08238983	0.00047424
8.10623169	0.00041852
8.13007355	0.00058297
8.15391541	0.00055075
8.17775726	0.00045896
8.20159912	0.00029235
8.22544098	0.00007486
8.24928284	0.00042186
8.27312469	0.00083817
8.29696655	0.00100754
8.32080841	0.00081345
8.34465027	0.00059484
8.36849213	0.00041794
8.39233398	0.00062506
8.41617584	0.00082145
8.44001770	0.00164313
8.46385956	0.00309838
8.48770142	0.00365518
8.51154327	0.00372844
8.53538513	0.00335583
8.55922699	0.00195689
8.58306885	0.00081146
8.60691071	0.00052982
8.63075256	0.00047078
8.65459442	0.00058720
8.67843628	0.00057213
8.70227814	0.00054238
8.72612000	0.00044343
8.74996185	0.00016888
8.77380371	0.00035849
8.79764557	0.00046180
8.82148743	0.00054120
8.84532928	0.00058662
8.86917114	0.00046011
8.89301300	0.00029745
8.91685486	0.00019586
8.94069672	0.00088197
8.96453857	0.00186989
8.98838043	0.00214729
9.01222229	0.00212058
9.03606415	0.00177488
9.05990601	0.00060825
9.08374786	0.00034471
9.10758972	0.00054113
9.13143158	0.00049942
9.15527344	0.00033749
9.17911530	0.00017316
9.20295715	0.00004439
9.22679901	0.00013833
9.25064087	0.00021781
9.27448273	0.00064946
9.29832458	0.00081834
9.32216644	0.00093228
9.34600830	0.00103739
9.36985016	0.00081665
9.39369202	0.00053923
9.41753387	0.00039517
9.44137573	0.00035159
9.46521759	0.00077134
9.48905945	0.00086731
9.51290131	0.00078303
9.53674316	0.00067374
9.56058502	0.00049577
9.58442688	0.00061913
9.60826874	0.00065267
9.63211060	0.00056707
9.65595245	0.00041198
9.67979431	0.00030319
9.70363617	0.00021455
9.72747803	0.00025418
9.75131989	0.00055023
9.77516174	0.00077835
9.79900360	0.00072439
9.82284546	0.00069227
9.84668732	0.00052124
9.87052917	0.00013251
9.89437103	0.00028591
9.91821289	0.00048245
9.94205475	0.00061189
9.96589661	0.00069497
9.98973846	0.00060967
10.01358032	0.00050227
10.03742218	0.00038383
10.06126404	0.00022735
10.08510590	0.00018319
10.10894775	0.00023753
10.13278961	0.00038356
10.15663147	0.00030271
10.18047333	0.00018844
10.20431519	0.00014428
10.22815704	0.00022290
10.25199890	0.00054037
10.27584076	0.00094484
10.29968262	0.00108124
10.32352448	0.00106172
10.34736633	0.00093270
10.37120819	0.00055875
10.39505005	0.00024417
10.41889191	0.00027729
10.44273376	0.00068615
10.46657562	0.00115482
10.49041748	0.00131722
10.51425934	0.00133749
10.53810120	0.00109183
10.56194305	0.00056312
10.58578491	0.00025134
10.60962677	0.00013835
10.63346863	0.00025620
10.65731049	0.00036299
10.68115234	0.00035596
10.70499420	0.00031795
10.72883606	0.00012739
10.75267792	0.00037225
10.77651978	0.00066429
10.80036163	0.00073584
10.82420349	0.00076149
10.84804535	0.00071145
10.87188721	0.00038574
10.89572906	0.00019007
10.91957092	0.00017130
10.94341278	0.00082141
10.96725464	0.00162051
10.99109650	0.00190365
11.01493835	0.00194919
11.03878021	0.00156799
11.06262207	0.00057797
11.08646393	0.00009243
11.11030579	0.00009494
11.13414764	0.00017376
11.15798950	0.00022332
11.18183136	0.00008739
11.20567322	0.00008317
11.22951508	0.00007884
11.25335693	0.00037098
11.27719879	0.00071737
11.30104065	0.00070906
11.32488251	0.00064753
11.34872437	0.00052085
11.37256622	0.00037849
11.39640808	0.00060785
11.42024994	0.00088899
11.44409180	0.00183827
11.46793365	0.00300300
11.49177551	0.00317370
11.51561737	0.00316685
11.53945923	0.00257215
11.56330109	0.00111815
11.58714294	0.00017752
11.61098480	0.00008307
11.63482666	0.00030662
11.65866852	0.00046005
11.68251038	0.00048734
11.70635223	0.00047597
11.73019409	0.00047281
11.75403595	0.00051545
11.77787781	0.00078363
11.80171967	0.00092812
11.82556152	0.00086723
11.84940338	0.00074043
11.87324524	0.00041930
11.89708710	0.00023599
11.92092896	0.00079877
11.94477081	0.00251654
11.96861267	0.00415842
11.99245453	0.00456593
12.01629639	0.00463667
12.04013824	0.00382279
12.06398010	0.00189108
12.08782196	0.00075380
12.11166382	0.00052525
12.13550568	0.00048405
12.15934753	0.00047654
12.18318939	0.00048809
12.20703125	0.00049863
12.23087311	0.00041741
12.25471497	0.00033362
12.27855682	0.00030430
12.30239868	0.00029219
12.32624054	0.00038308
12.35008240	0.00030440
12.37392426	0.00007094
12.39776611	0.00017704
12.42160797	0.00045926
12.44544983	0.00238513
12.46929169	0.00437879
12.49313354	0.00489453
12.51697540	0.00479946
12.54081726	0.00363927
12.56465912	0.00143239
12.58850098	0.00033389
12.61234283	0.00023155
12.63618469	0.00017015
12.66002655	0.00016332
12.68386841	0.00026305
12.70771027	0.00034231
12.73155212	0.00024655
12.75539398	0.00018697
12.77923584	0.00027396
12.80307770	0.00039992
12.82691956	0.00054649
12.85076141	0.00051668
12.87460327	0.00045541
12.89844513	0.00051545
12.92228699	0.00111615
12.94612885	0.00323525
12.96997070	0.00521796
12.99381256	0.00548697
13.01765442	0.00545138
13.04149628	0.00427255
13.06533813	0.00179189
13.08917999	0.00049229
13.11302185	0.00039344
13.13686371	0.00041893
13.16070557	0.00045477
13.18454742	0.00061626
13.20838928	0.00077060
13.23223114	0.00074898
13.25607300	0.00051424
13.27991486	0.00022164
13.30375671	0.00007140
13.32759857	0.00028553
13.35144043	0.00033010
13.37528229	0.00030040
13.39912415	0.00040241
13.42296600	0.00112667
13.44680786	0.00374681
13.47064972	0.00624887
13.49449158	0.00676712
13.51833344	0.00665294
13.54217529	0.00510589
13.56601715	0.00212859
13.58985901	0.00057881
13.61370087	0.00044076
13.63754272	0.00053339
13.66138458	0.00061944
13.68522644	0.00061529
13.70906830	0.00051487
13.73291016	0.00049870
13.75675201	0.00055220
13.78059387	0.00054054
13.80443573	0.00047067
13.82827759	0.00042905
