v	A
0.00000000	0.55093810
0.01192093	0.38291990
0.02384186	0.26164760
0.03576279	0.08356599
0.04768372	0.00858097
0.05960464	0.00340332
0.07152557	0.00234777
0.08344650	0.00232932
0.09536743	0.00193527
0.10728836	0.00139814
0.11920929	0.00148115
0.13113022	0.00166106
0.14305115	0.00213649
0.15497208	0.00256304
0.16689301	0.00241186
0.17881393	0.00208258
0.19073486	0.00218189
0.20265579	0.00194498
0.21457672	0.00208612
0.22649765	0.00185091
0.23841858	0.00127877
0.25033951	0.00119981
0.26226044	0.00164780
0.27418137	0.00258218
0.28610229	0.00543282
0.29802322	0.00717847
0.30994415	0.00656855
0.32186508	0.00680217
0.33378601	0.00742085
0.34570694	0.00741439
0.35762787	0.00737989
0.36954880	0.00475256
0.38146973	0.00194091
0.39339066	0.00197735
0.40531158	0.00224240
0.41723251	0.00212931
0.42915344	0.00216207
0.44107437	0.00163849
0.45299530	0.00129314
0.46491623	0.00130711
0.47683716	0.00100593
0.48875809	0.00098514
0.50067902	0.00112063
0.51259995	0.00105509
0.52452087	0.00171805
0.53644180	0.00227700
0.54836273	0.00202497
0.56028366	0.00204427
0.57220459	0.00239831
0.58412552	0.00187950
0.59604645	0.00129470
0.60796738	0.00085456
0.61988831	0.00266532
0.63180923	0.00737818
0.64373016	0.01064175
0.65565109	0.01083518
0.66757202	0.01055822
0.67949295	0.00803845
0.69141388	0.00630106
0.70333481	0.00624834
0.71525574	0.00416865
0.72717667	0.00178525
0.73909760	0.00136877
0.75101852	0.00137724
0.76293945	0.00189219
0.77486038	0.00264931
0.78678131	0.00271105
0.79870224	0.00246769
0.81062317	0.00242487
0.82254410	0.00173084
0.83446503	0.00147778
0.84638596	0.00092891
0.85830688	0.00035600
0.87022781	0.00026029
0.88214874	0.00107850
0.89406967	0.00140554
0.90599060	0.00244643
0.91791153	0.00287742
0.92983246	0.00307782
0.94175339	0.00369407
0.95367432	0.01123359
0.96559525	0.10413400
0.97751617	0.29477180
0.98943710	0.40595750
1.00135803	0.41484380
1.01327896	0.39519550
1.02519989	0.25297410
1.03712082	0.07276622
1.04904175	0.00743329
1.06096268	0.00360963
1.07288361	0.00234101
1.08480453	0.00203989
1.09672546	0.00122072
1.10864639	0.00062317
1.12056732	0.00053146
1.13248825	0.00077277
1.14440918	0.00106590
1.15633011	0.00101721
1.16825104	0.00080945
1.18017197	0.00127339
1.19209290	0.00161232
1.20401382	0.00148887
1.21593475	0.00125081
1.22785568	0.00089830
1.23977661	0.00088638
1.25169754	0.00179040
1.26361847	0.00249186
1.27553940	0.00294921
1.28746033	0.00517537
1.29938126	0.00631559
1.31130219	0.00578727
1.32322311	0.00549181
1.33514404	0.00452324
1.34706497	0.00369306
1.35898590	0.00407757
1.37090683	0.00329935
1.38282776	0.00298835
1.39474869	0.00356788
1.40666962	0.00348677
1.41859055	0.00331609
1.43051147	0.00325004
1.44243240	0.00245463
1.45435333	0.00173679
1.46627426	0.00112430
1.47819519	0.00057326
1.49011612	0.00056907
1.50203705	0.00119254
1.51395798	0.00147673
1.52587891	0.00184026
1.53779984	0.00180231
1.54972076	0.00110068
1.56164169	0.00074786
1.57356262	0.00074029
1.58548355	0.00058619
1.59740448	0.00046035
1.60932541	0.00111611
1.62124634	0.00418015
1.63316727	0.01024656
1.64508820	0.01347438
1.65700912	0.01310693
1.66893005	0.01211858
1.68085098	0.00824551
1.69277191	0.00577144
1.70469284	0.00566257
1.71661377	0.00363000
1.72853470	0.00153531
1.74045563	0.00103731
1.75237656	0.00091337
1.76429749	0.00116070
1.77621841	0.00163740
1.78813934	0.00154911
1.80006027	0.00150899
1.81198120	0.00140050
1.82390213	0.00060466
1.83582306	0.00050581
1.84774399	0.00022742
1.85966492	0.00024434
1.87158585	0.00090011
1.88350677	0.00180876
1.89542770	0.00188214
1.90734863	0.00236438
1.91926956	0.00239262
1.93119049	0.00245419
1.94311142	0.00258297
1.95503235	0.01488647
1.96695328	0.11703730
1.97887421	0.29914000
1.99079514	0.38940790
2.00271606	0.39442060
2.01463699	0.36716090
2.02655792	0.21860590
2.03847885	0.05627092
2.05039978	0.00614667
2.06232071	0.00344684
2.07424164	0.00203570
2.08616257	0.00165969
2.09808350	0.00111895
2.11000443	0.00097947
2.12192535	0.00112579
2.13384628	0.00137125
2.14576721	0.00172463
2.15768814	0.00188914
2.16960907	0.00147920
2.18153000	0.00124974
2.19345093	0.00098099
2.20537186	0.00060817
2.21729279	0.00082746
2.22921371	0.00124773
2.24113464	0.00156219
2.25305557	0.00215904
2.26497650	0.00258533
2.27689743	0.00328191
2.28881836	0.00549238
2.30073929	0.00627659
2.31266022	0.00578194
2.32458115	0.00530576
2.33650208	0.00327495
2.34842300	0.00038532
2.36034393	0.00129562
2.37226486	0.00175355
2.38418579	0.00235011
2.39610672	0.00305763
2.40802765	0.00275411
2.41994858	0.00255216
2.43186951	0.00251059
2.44379044	0.00189845
2.45571136	0.00145626
2.46763229	0.00127580
2.47955322	0.00120694
2.49147415	0.00145892
2.50339508	0.00176930
2.51531601	0.00167060
2.52723694	0.00176075
2.53915787	0.00168356
2.55107880	0.00147169
2.56299973	0.00173210
2.57492065	0.00181349
2.58684158	0.00171398
2.59876251	0.00253566
2.61068344	0.00335512
2.62260437	0.00601700
2.63452530	0.01158591
2.64644623	0.01391727
2.65836716	0.01322147
2.67028809	0.01189707
2.68220901	0.00733977
2.69412994	0.00427168
2.70605087	0.00359810
2.71797180	0.00169073
2.72989273	0.00090609
2.74181366	0.00136817
2.75373459	0.00164671
2.76565552	0.00207451
2.77757645	0.00248087
2.78949738	0.00220164
2.80141830	0.00182779
2.81333923	0.00166425
2.82526016	0.00106708
2.83718109	0.00077482
2.84910202	0.00079017
2.86102295	0.00113116
2.87294388	0.00161046
2.88486481	0.00200577
2.89678574	0.00200417
2.90870667	0.00267583
2.92062759	0.00223270
2.93254852	0.00173074
2.94446945	0.00094514
2.95639038	0.01858356
2.96831131	0.12496090
2.98023224	0.29034180
2.99215317	0.35949580
3.00407410	0.36232330
3.01599503	0.32836130
3.02791595	0.18150490
3.03983688	0.04206711
3.05175781	0.00531615
