v	A
0.00000000	0.07566825
0.01192093	0.05295692
0.02384186	0.03650260
0.03576279	0.01187825
0.04768372	0.00146728
0.05960464	0.00009141
0.07152557	0.00071543
0.08344650	0.00066568
0.09536743	0.00065591
0.10728836	0.00108631
0.11920929	0.00145002
0.13113022	0.00193315
0.14305115	0.00215386
0.15497208	0.00179556
0.16689301	0.00130846
0.17881393	0.00063028
0.19073486	0.00073195
0.20265579	0.00147865
0.21457672	0.00127551
0.22649765	0.00058139
0.23841858	0.00078806
0.25033951	0.00178551
0.26226044	0.00230189
0.27418137	0.00193762
0.28610229	0.00109008
0.29802322	0.00058724
0.30994415	0.00077317
0.32186508	0.00064618
0.33378601	0.00056674
0.34570694	0.00106365
0.35762787	0.00141786
0.36954880	0.00137201
0.38146973	0.00176000
0.39339066	0.00185190
0.40531158	0.00166138
0.41723251	0.00123079
0.42915344	0.00045941
0.44107437	0.00064190
0.45299530	0.00137329
0.46491623	0.00136779
0.47683716	0.00095389
0.48875809	0.00037610
0.50067902	0.00091327
0.51259995	0.00158061
0.52452087	0.00132928
0.53644180	0.00117071
0.54836273	0.00155077
0.56028366	0.00140490
0.57220459	0.00105694
0.58412552	0.00069751
0.59604645	0.00097360
0.60796738	0.00183911
0.61988831	0.00179554
0.63180923	0.00101548
0.64373016	0.00037706
0.65565109	0.00075065
0.66757202	0.00103569
0.67949295	0.00089269
0.69141388	0.00025212
0.70333481	0.00047895
0.71525574	0.00095127
0.72717667	0.00127388
0.73909760	0.00094936
0.75101852	0.00072087
0.76293945	0.00126485
0.77486038	0.00103854
0.78678131	0.00079619
0.79870224	0.00070948
0.81062317	0.00039276
0.82254410	0.00122242
0.83446503	0.00162080
0.84638596	0.00164308
0.85830688	0.00127293
0.87022781	0.00098528
0.88214874	0.00153327
0.89406967	0.00171969
0.90599060	0.00099527
0.91791153	0.00070070
0.92983246	0.00136921
0.94175339	0.00118610
0.95367432	0.00354935
0.96559525	0.02304078
0.97751617	0.06240772
0.98943710	0.08493331
1.00135803	0.08609203
1.01327896	0.08171295
1.02519989	0.05242992
1.03712082	0.01552542
1.04904175	0.00189132
1.06096268	0.00091657
1.07288361	0.00096577
1.08480453	0.00080770
1.09672546	0.00081762
1.10864639	0.00099890
1.12056732	0.00069998
1.13248825	0.00073458
1.14440918	0.00063818
1.15633011	0.00027558
1.16825104	0.00127172
1.18017197	0.00149427
1.19209290	0.00126380
1.20401382	0.00090188
1.21593475	0.00054995
1.22785568	0.00107759
1.23977661	0.00110785
1.25169754	0.00070501
1.26361847	0.00147213
1.27553940	0.00153888
1.28746033	0.00083183
1.29938126	0.00059660
1.31130219	0.00101524
1.32322311	0.00132490
1.33514404	0.00087716
1.34706497	0.00043642
1.35898590	0.00109394
1.37090683	0.00111894
1.38282776	0.00070448
1.39474869	0.00038680
1.40666962	0.00012385
1.41859055	0.00033620
1.43051147	0.00038020
1.44243240	0.00086129
1.45435333	0.00082138
1.46627426	0.00018710
1.47819519	0.00102916
1.49011612	0.00128852
1.50203705	0.00117508
1.51395798	0.00119578
1.52587891	0.00068707
1.53779984	0.00085791
1.54972076	0.00164652
1.56164169	0.00148498
1.57356262	0.00102185
1.58548355	0.00050332
1.59740448	0.00042780
1.60932541	0.00107472
1.62124634	0.00077847
1.63316727	0.00104143
1.64508820	0.00156592
1.65700912	0.00147314
1.66893005	0.00129140
1.68085098	0.00062849
1.69277191	0.00095110
1.70469284	0.00110204
1.71661377	0.00047005
1.72853470	0.00029640
1.74045563	0.00072737
1.75237656	0.00067576
1.76429749	0.00059337
1.77621841	0.00035545
1.78813934	0.00021494
1.80006027	0.00056587
1.81198120	0.00110379
1.82390213	0.00148931
1.83582306	0.00110511
1.84774399	0.00002657
1.85966492	0.00058997
1.87158585	0.00068450
1.88350677	0.00119422
1.89542770	0.00115391
1.90734863	0.00061636
1.91926956	0.00123825
1.93119049	0.00147576
1.94311142	0.00143062
1.95503235	0.00491116
1.96695328	0.02697071
1.97887421	0.06619456
1.99079514	0.08509564
2.00271606	0.08541635
2.01463699	0.07911390
2.02655792	0.04681788
2.03847885	0.01181475
2.05039978	0.00138258
2.06232071	0.00135356
2.07424164	0.00107368
2.08616257	0.00053857
2.09808350	0.00039832
2.11000443	0.00102781
2.12192535	0.00113189
2.13384628	0.00146528
2.14576721	0.00143372
2.15768814	0.00086446
2.16960907	0.00070264
2.18153000	0.00034796
2.19345093	0.00043001
2.20537186	0.00096618
2.21729279	0.00099128
2.22921371	0.00096562
2.24113464	0.00088882
2.25305557	0.00078466
2.26497650	0.00110217
2.27689743	0.00060256
2.28881836	0.00108621
2.30073929	0.00204562
2.31266022	0.00278919
2.32458115	0.00334053
2.33650208	0.00274454
2.34842300	0.00150157
2.36034393	0.00080655
2.37226486	0.00059700
2.38418579	0.00049921
2.39610672	0.00036460
2.40802765	0.00066631
2.41994858	0.00113468
2.43186951	0.00077282
2.44379044	0.00055537
2.45571136	0.00070597
2.46763229	0.00044691
2.47955322	0.00079990
2.49147415	0.00117035
2.50339508	0.00139143
2.51531601	0.00121726
2.52723694	0.00062919
2.53915787	0.00127504
2.55107880	0.00184216
2.56299973	0.00147987
2.57492065	0.00138832
2.58684158	0.00118566
2.59876251	0.00038512
2.61068344	0.00100873
2.62260437	0.00080215
2.63452530	0.00190469
2.64644623	0.00293087
2.65836716	0.00358191
2.67028809	0.00377810
2.68220901	0.00230572
2.69412994	0.00064955
2.70605087	0.00042718
2.71797180	0.00046224
2.72989273	0.00057812
2.74181366	0.00093577
2.75373459	0.00143132
2.76565552	0.00167339
2.77757645	0.00131858
2.78949738	0.00115711
2.80141830	0.00099952
2.81333923	0.00032674
2.82526016	0.00022364
2.83718109	0.00052873
2.84910202	0.00078360
2.86102295	0.00084038
2.87294388	0.00029014
2.88486481	0.00061151
2.89678574	0.00096683
2.90870667	0.00125052
2.92062759	0.00158914
2.93254852	0.00130090
2.94446945	0.00123915
2.95639038	0.00630147
2.96831131	0.03119610
2.98023224	0.06955132
2.99215317	0.08507273
3.00407410	0.08509973
3.01599503	0.07687322
3.02791595	0.04239494
3.03983688	0.00978353
3.05175781	0.00054122
3.06367874	0.00067740
3.07559967	0.00106283
3.08752060	0.00108586
3.09944153	0.00082691
3.11136246	0.00068819
3.12328339	0.00063814
3.13520432	0.00101408
3.14712524	0.00108732
3.15904617	0.00050590
3.17096710	0.00034973
3.18288803	0.00015158
3.19480896	0.00101090
3.20672989	0.00138008
3.21865082	0.00122399
3.23057175	0.00126102
3.24249268	0.00090036
3.25441360	0.00069991
3.26633453	0.00117196
3.27825546	0.00084519
3.29017639	0.00144095
3.30209732	0.00224267
3.31401825	0.00290474
3.32593918	0.00334578
3.33786011	0.00245517
3.34978104	0.00178135
3.36170197	0.00206608
3.37362289	0.00192208
3.38554382	0.00155391
