Частота	Канал A
(kГц)	(В)

0.00000000	0.25164650
0.01192093	0.17392830
0.02384186	0.11702030
0.03576279	0.03447741
0.04768372	0.00082895
0.05960464	0.00333076
0.07152557	0.00203179
0.08344650	0.00191130
0.09536743	0.00175966
0.10728836	0.00104541
0.11920929	0.00091117
0.13113022	0.00086655
0.14305115	0.00129336
0.15497208	0.00192995
0.16689301	0.00189291
0.17881393	0.00204362
0.19073486	0.00210836
0.20265579	0.00131371
0.21457672	0.00019325
0.22649765	0.00081147
0.23841858	0.00193785
0.25033951	0.00324723
0.26226044	0.00382222
0.27418137	0.00406136
0.28610229	0.00550439
0.29802322	0.00601809
0.30994415	0.00558851
0.32186508	0.00671376
0.33378601	0.00677939
0.34570694	0.00588122
0.35762787	0.00676144
0.36954880	0.00637713
0.38146973	0.00513733
0.39339066	0.00493568
0.40531158	0.00402525
0.41723251	0.00255284
0.42915344	0.00181377
0.44107437	0.00103514
0.45299530	0.00027336
0.46491623	0.00117443
0.47683716	0.00137427
0.48875809	0.00201416
0.50067902	0.00268656
0.51259995	0.00247560
0.52452087	0.00210793
0.53644180	0.00195546
0.54836273	0.00105954
0.56028366	0.00037706
0.57220459	0.00109261
0.58412552	0.00191323
0.59604645	0.00349608
0.60796738	0.00439810
0.61988831	0.00496606
0.63180923	0.00713189
0.64373016	0.00808280
0.65565109	0.00758868
0.66757202	0.00851559
0.67949295	0.00770059
0.69141388	0.00603657
0.70333481	0.00614661
0.71525574	0.00544779
0.72717667	0.00410537
0.73909760	0.00363688
0.75101852	0.00253948
0.76293945	0.00111262
0.77486038	0.00044354
0.78678131	0.00011977
0.79870224	0.00083252
0.81062317	0.00136734
0.82254410	0.00154883
0.83446503	0.00168559
0.84638596	0.00189874
0.85830688	0.00150513
0.87022781	0.00106305
0.88214874	0.00048481
0.89406967	0.00031602
0.90599060	0.00155132
0.91791153	0.00233545
0.92983246	0.00348049
0.94175339	0.00548619
0.95367432	0.00097315
0.96559525	0.04718326
0.97751617	0.14455710
0.98943710	0.20258680
1.00135803	0.20846980
1.01327896	0.19769880
1.02519989	0.12458140
1.03712082	0.03245136
1.04904175	0.00216407
1.06096268	0.00453570
1.07288361	0.00365901
1.08480453	0.00324413
1.09672546	0.00202284
1.10864639	0.00047739
1.12056732	0.00054748
1.13248825	0.00119669
1.14440918	0.00199265
1.15633011	0.00241195
1.16825104	0.00234334
1.18017197	0.00241652
1.19209290	0.00242407
1.20401382	0.00175839
1.21593475	0.00090990
1.22785568	0.00067410
1.23977661	0.00100280
1.25169754	0.00219998
1.26361847	0.00273717
1.27553940	0.00326787
1.28746033	0.00525377
1.29938126	0.00591797
1.31130219	0.00536990
1.32322311	0.00570502
1.33514404	0.00479096
1.34706497	0.00355782
1.35898590	0.00394584
1.37090683	0.00369884
1.38282776	0.00357741
1.39474869	0.00392157
1.40666962	0.00326623
1.41859055	0.00260197
1.43051147	0.00245540
1.44243240	0.00169419
1.45435333	0.00052923
1.46627426	0.00046704
1.47819519	0.00116523
1.49011612	0.00224874
1.50203705	0.00286589
1.51395798	0.00274249
1.52587891	0.00250441
1.53779984	0.00202454
1.54972076	0.00071902
1.56164169	0.00050919
1.57356262	0.00123269
1.58548355	0.00225916
1.59740448	0.00394400
1.60932541	0.00474851
1.62124634	0.00596131
1.63316727	0.00906800
1.64508820	0.01005202
1.65700912	0.00911209
1.66893005	0.00927494
1.68085098	0.00729049
1.69277191	0.00488604
1.70469284	0.00480895
1.71661377	0.00441779
1.72853470	0.00387210
1.74045563	0.00392840
1.75237656	0.00301885
1.76429749	0.00190706
1.77621841	0.00125359
1.78813934	0.00036305
1.80006027	0.00104141
1.81198120	0.00167905
1.82390213	0.00179263
1.83582306	0.00192358
1.84774399	0.00178813
1.85966492	0.00115684
1.87158585	0.00103070
1.88350677	0.00086516
1.89542770	0.00014063
1.90734863	0.00099454
1.91926956	0.00162341
1.93119049	0.00292549
1.94311142	0.00450627
1.95503235	0.00298234
1.96695328	0.05742518
1.97887421	0.15401660
1.99079514	0.20310510
2.00271606	0.20677290
2.01463699	0.19165170
2.02655792	0.11281880
2.03847885	0.02663622
2.05039978	0.00139967
2.06232071	0.00273675
2.07424164	0.00229182
2.08616257	0.00245255
2.09808350	0.00175165
2.11000443	0.00078860
2.12192535	0.00037393
2.13384628	0.00103969
2.14576721	0.00196443
2.15768814	0.00223943
2.16960907	0.00191563
2.18153000	0.00168991
2.19345093	0.00154094
2.20537186	0.00095780
2.21729279	0.00048315
2.22921371	0.00044504
2.24113464	0.00105806
2.25305557	0.00220036
2.26497650	0.00280045
2.27689743	0.00385169
2.28881836	0.00628838
2.30073929	0.00699078
2.31266022	0.00588989
2.32458115	0.00504899
2.33650208	0.00313960
2.34842300	0.00148170
2.36034393	0.00183046
2.37226486	0.00259141
2.38418579	0.00375447
2.39610672	0.00463511
2.40802765	0.00405860
2.41994858	0.00332283
2.43186951	0.00283013
2.44379044	0.00168645
2.45571136	0.00065835
2.46763229	0.00026324
2.47955322	0.00039963
2.49147415	0.00103290
2.50339508	0.00144829
2.51531601	0.00141114
2.52723694	0.00143144
2.53915787	0.00137676
2.55107880	0.00055455
2.56299973	0.00022295
2.57492065	0.00071672
2.58684158	0.00178883
2.59876251	0.00344929
2.61068344	0.00435959
2.62260437	0.00659689
2.63452530	0.01073721
2.64644623	0.01182673
2.65836716	0.01099526
2.67028809	0.01059701
2.68220901	0.00724815
2.69412994	0.00409879
2.70605087	0.00362050
2.71797180	0.00324058
2.72989273	0.00315651
2.74181366	0.00348628
2.75373459	0.00294440
2.76565552	0.00247779
2.77757645	0.00201752
2.78949738	0.00113916
2.80141830	0.00042836
2.81333923	0.00078141
2.82526016	0.00126135
2.83718109	0.00179943
2.84910202	0.00214844
2.86102295	0.00183184
2.87294388	0.00176802
2.88486481	0.00141895
2.89678574	0.00063514
2.90870667	0.00115127
2.92062759	0.00175524
2.93254852	0.00327453
2.94446945	0.00479244
2.95639038	0.00529473
2.96831131	0.06572837
2.98023224	0.15963010
2.99215317	0.20012780
3.00407410	0.20244760
3.01599503	0.18230270
3.02791595	0.09868996
3.03983688	0.01909701
3.05175781	0.00326743
3.06367874	0.00386685
3.07559967	0.00307037
3.08752060	0.00262009
3.09944153	0.00124286
3.11136246	0.00025949
3.12328339	0.00017484
3.13520432	0.00065183
3.14712524	0.00139843
3.15904617	0.00151623
3.17096710	0.00149989
3.18288803	0.00189157
3.19480896	0.00196694
3.20672989	0.00134877
3.21865082	0.00096393
3.23057175	0.00047547
3.24249268	0.00099121
3.25441360	0.00232820
3.26633453	0.00334073
3.27825546	0.00526301
3.29017639	0.00792133
3.30209732	0.00814306
3.31401825	0.00619175
3.32593918	0.00377476
3.33786011	0.00087981
3.34978104	0.00133739
3.36170197	0.00091974
3.37362289	0.00059466
3.38554382	0.00246703
3.39746475	0.00315814
3.40938568	0.00239739
3.42130661	0.00208158
3.43322754	0.00202403
3.44514847	0.00116207
3.45706940	0.00050910
3.46899033	0.00032894
3.48091125	0.00090754
3.49283218	0.00183398
3.50475311	0.00214749
3.51667404	0.00226501
3.52859497	0.00256500
3.54051590	0.00241089
3.55243683	0.00156007
3.56435776	0.00073108
3.57627869	0.00031403
3.58819962	0.00178672
3.60012054	0.00363653
3.61204147	0.00486742
3.62396240	0.00797386
3.63588333	0.01257737
3.64780426	0.01322307
3.65972519	0.01190105
3.67164612	0.01043930
3.68356705	0.00599206
3.69548798	0.00285269
3.70740891	0.00252456
3.71932983	0.00251465
3.73125076	0.00294444
3.74317169	0.00303775
3.75509262	0.00192148
3.76701355	0.00109447
3.77893448	0.00051728
3.79085541	0.00075058
3.80277634	0.00153672
3.81469727	0.00166646
3.82661819	0.00186623
3.83853912	0.00225287
3.85046005	0.00224879
3.86238098	0.00170814
3.87430191	0.00152882
3.88622284	0.00094115
3.89814377	0.00050521
3.91006470	0.00137732
3.92198563	0.00190629
3.93390656	0.00342444
3.94582748	0.00448751
3.95774841	0.00867755
3.96966934	0.07385632
3.98159027	0.16236890
3.99351120	0.19434320
4.00543213	0.19568180
4.01735306	0.17054740
4.02927399	0.08532742
4.04119492	0.01463686
4.05311584	0.00217150
4.06503677	0.00238981
4.07695770	0.00217934
4.08887863	0.00210881
4.10079956	0.00110603
4.11272049	0.00060722
4.12464142	0.00032960
4.13656235	0.00041814
4.14848328	0.00114462
4.16040421	0.00131885
4.17232513	0.00174660
4.18424606	0.00255227
4.19616699	0.00281213
4.20808792	0.00237765
4.22000885	0.00206966
4.23192978	0.00123887
4.24385071	0.00026313
4.25577164	0.00154980
4.26769257	0.00238836
4.27961349	0.00456554
4.29153442	0.00724010
4.30345535	0.00695636
4.31537628	0.00434024
4.32729721	0.00123241
4.33921814	0.00228209
4.35113907	0.00406640
4.36306000	0.00308541
4.37498093	0.00061135
4.38690186	0.00177653
4.39882278	0.00243060
4.41074371	0.00191116
4.42266464	0.00185083
4.43458557	0.00179637
4.44650650	0.00118179
4.45842743	0.00079288
4.47034836	0.00080239
4.48226929	0.00109178
4.49419022	0.00156593
4.50611115	0.00176378
4.51803207	0.00175706
4.52995300	0.00198171
4.54187393	0.00184332
4.55379486	0.00127416
4.56571579	0.00104890
4.57763672	0.00062312
4.58955765	0.00083562
4.60147858	0.00246093
4.61339951	0.00416444
4.62532043	0.00840491
4.63724136	0.01356322
4.64916229	0.01417582
4.66108322	0.01288449
4.67300415	0.01076347
4.68492508	0.00568120
4.69684601	0.00242907
4.70876694	0.00226986
4.72068787	0.00273535
4.73260880	0.00344388
4.74452972	0.00337880
4.75645065	0.00240434
4.76837158	0.00186717
4.78029251	0.00138047
4.79221344	0.00041223
4.80413437	0.00047501
4.81605530	0.00078457
4.82797623	0.00111740
4.83989716	0.00159315
4.85181808	0.00155512
4.86373901	0.00122065
4.87565994	0.00143943
4.88758087	0.00129772
4.89950180	0.00090330
4.91142273	0.00073047
4.92334366	0.00096153
4.93526459	0.00279031
4.94718552	0.00423084
4.95910645	0.01161666
4.97102737	0.08024416
4.98294830	0.16232760
4.99486923	0.18768350
5.00679016	0.18893920
5.01871109	0.15895930
5.03063202	0.07392474
5.04255295	0.01183522
5.05447388	0.00116223
5.06639481	0.00150562
5.07831573	0.00184775
5.09023666	0.00216628
5.10215759	0.00131079
5.11407852	0.00098044
5.12599945	0.00067271
5.13792038	0.00053351
5.14984131	0.00087600
5.16176224	0.00099510
5.17368317	0.00121816
5.18560410	0.00164445
5.19752502	0.00182558
5.20944595	0.00173666
5.22136688	0.00190919
5.23328781	0.00128071
5.24520874	0.00021626
5.25712967	0.00146849
5.26905060	0.00269661
5.28097153	0.00532451
5.29289246	0.00785030
5.30481339	0.00720453
5.31673431	0.00406231
5.32865524	0.00144055
5.34057617	0.00373959
5.35249710	0.00497582
5.36441803	0.00369627
5.37633896	0.00051780
5.38825989	0.00235560
5.40018082	0.00303234
5.41210175	0.00259043
5.42402267	0.00263818
5.43594360	0.00240435
5.44786453	0.00166324
5.45978546	0.00107518
5.47170639	0.00061410
5.48362732	0.00016010
5.49554825	0.00111700
5.50746918	0.00166149
5.51939011	0.00195866
5.53131104	0.00231190
5.54323196	0.00217698
5.55515289	0.00170876
5.56707382	0.00131350
5.57899475	0.00031620
5.59091568	0.00160314
5.60283661	0.00328337
5.61475754	0.00504601
5.62667847	0.00977151
5.63859940	0.01443500
5.65052032	0.01418555
5.66244125	0.01271219
5.67436218	0.00985038
5.68628311	0.00390359
5.69820404	0.00068118
5.71012497	0.00089264
5.72204590	0.00156944
5.73396683	0.00235139
5.74588776	0.00235521
5.75780869	0.00171009
5.76972961	0.00165980
5.78165054	0.00156174
5.79357147	0.00094734
5.80549240	0.00035490
5.81741333	0.00014578
5.82933426	0.00112899
5.84125519	0.00199154
5.85317612	0.00199017
5.86509705	0.00186161
5.87701797	0.00207990
5.88893890	0.00161409
5.90085983	0.00097694
5.91278076	0.00064908
5.92470169	0.00016163
5.93662262	0.00188420
5.94854355	0.00257496
5.96046448	0.01682452
5.97238541	0.08765896
5.98430634	0.16127260
5.99622726	0.17962440
6.00814819	0.17950440
6.02006912	0.14377580
6.03199005	0.06008106
6.04391098	0.00699980
6.05583191	0.00311022
6.06775284	0.00353349
6.07967377	0.00374672
6.09159470	0.00354014
6.10351563	0.00259728
6.11543655	0.00219624
6.12735748	0.00141820
6.13927841	0.00033881
6.15119934	0.00068195
6.16312027	0.00102743
6.17504120	0.00157511
6.18696213	0.00202751
6.19888306	0.00197412
6.21080399	0.00182683
6.22272491	0.00193698
6.23464584	0.00126216
6.24656677	0.00074216
6.25848770	0.00105055
6.27040863	0.00181763
6.28232956	0.00433960
6.29425049	0.00678501
6.30617142	0.00614065
6.31809235	0.00272074
6.33001328	0.00158662
6.34193420	0.00528349
6.35385513	0.00720053
6.36577606	0.00563221
6.37769699	0.00147044
6.38961792	0.00194050
6.40153885	0.00325218
6.41345978	0.00367266
6.42538071	0.00400487
6.43730164	0.00351270
6.44922256	0.00239515
6.46114349	0.00166669
6.47306442	0.00114822
6.48498535	0.00056097
6.49690628	0.00112376
6.50882721	0.00146495
6.52074814	0.00209743
6.53266907	0.00279092
6.54459000	0.00259678
6.55651093	0.00234029
6.56843185	0.00234773
6.58035278	0.00135322
6.59227371	0.00054899
6.60419464	0.00209995
6.61611557	0.00441343
6.62803650	0.01022844
6.63995743	0.01519774
6.65187836	0.01466844
6.66379929	0.01271560
6.67572021	0.00893411
6.68764114	0.00288433
6.69956207	0.00120092
6.71148300	0.00132667
6.72340393	0.00248145
6.73532486	0.00380188
6.74724579	0.00372676
6.75916672	0.00286894
6.77108765	0.00239700
6.78300858	0.00164405
6.79492950	0.00063842
6.80685043	0.00028229
6.81877136	0.00054466
6.83069229	0.00143021
6.84261322	0.00219970
6.85453415	0.00253878
6.86645508	0.00283408
6.87837601	0.00311851
6.89029694	0.00275137
6.90221786	0.00202182
6.91413879	0.00127282
