Частота	Канал A
(kГц)	(В)

0.00000000	0.07906344
0.01192093	0.05508346
0.02384186	0.03749900
0.03576279	0.01167348
0.04768372	0.00250607
0.05960464	0.00288275
0.07152557	0.00310286
0.08344650	0.00326560
0.09536743	0.00333132
0.10728836	0.00306682
0.11920929	0.00267909
0.13113022	0.00255252
0.14305115	0.00262777
0.15497208	0.00231629
0.16689301	0.02342617
0.17881393	0.06305822
0.19073486	0.08279905
0.20265579	0.08391935
0.21457672	0.07826734
0.22649765	0.04606904
0.23841858	0.01070185
0.25033951	0.00196092
0.26226044	0.00216503
0.27418137	0.00182859
0.28610229	0.00140847
0.29802322	0.00136025
0.30994415	0.00149290
0.32186508	0.00164498
0.33378601	0.00201830
0.34570694	0.00196975
0.35762787	0.00453500
0.36954880	0.03205431
0.38146973	0.07019164
0.39339066	0.08355296
0.40531158	0.08362340
0.41723251	0.07310670
0.42915344	0.03644879
0.44107437	0.00606060
0.45299530	0.00175114
0.46491623	0.00180849
0.47683716	0.00181193
0.48875809	0.00199943
0.50067902	0.00207904
0.51259995	0.00207864
0.52452087	0.00203751
0.53644180	0.00185416
0.54836273	0.00148895
0.56028366	0.00882461
0.57220459	0.04171991
0.58412552	0.07635563
0.59604645	0.08450050
0.60796738	0.08378989
0.61988831	0.06685247
0.63180923	0.02719374
0.64373016	0.00225060
0.65565109	0.00256159
0.66757202	0.00223120
0.67949295	0.00148996
0.69141388	0.00139192
0.70333481	0.00170196
0.71525574	0.00186118
0.72717667	0.00202666
0.73909760	0.00201002
0.75101852	0.00136776
0.76293945	0.01346192
0.77486038	0.05017715
0.78678131	0.07916994
0.79870224	0.08291798
0.81062317	0.08094414
0.82254410	0.05797567
0.83446503	0.01898231
0.84638596	0.00279387
0.85830688	0.00338240
0.87022781	0.00328964
0.88214874	0.00304734
0.89406967	0.00271960
0.90599060	0.00243310
0.91791153	0.00221930
0.92983246	0.00194286
0.94175339	0.00174379
0.95367432	0.00204800
0.96559525	0.02018685
0.97751617	0.05850299
0.98943710	0.08090337
1.00135803	0.08256644
1.01327896	0.07848440
1.02519989	0.04946695
1.03712082	0.01285170
1.04904175	0.00193668
1.06096268	0.00225290
1.07288361	0.00201985
1.08480453	0.00190527
1.09672546	0.00192448
1.10864639	0.00186571
1.12056732	0.00167208
1.13248825	0.00126355
1.14440918	0.00107382
1.15633011	0.00346666
1.16825104	0.02743596
1.18017197	0.06540626
1.19209290	0.08158652
1.20401382	0.08240603
1.21593475	0.07459336
1.22785568	0.04048824
1.23977661	0.00809301
1.25169754	0.00203380
1.26361847	0.00256358
1.27553940	0.00266827
1.28746033	0.00259333
1.29938126	0.00251596
1.31130219	0.00216723
1.32322311	0.00174410
1.33514404	0.00157794
1.34706497	0.00133052
1.35898590	0.00618437
1.37090683	0.03552414
1.38282776	0.07087838
1.39474869	0.08101185
1.40666962	0.08076032
1.41859055	0.06761638
1.43051147	0.03027281
1.44243240	0.00391947
1.45435333	0.00291146
1.46627426	0.00288167
1.47819519	0.00256693
1.49011612	0.00231830
1.50203705	0.00222712
1.51395798	0.00205852
1.52587891	0.00203895
1.53779984	0.00218550
1.54972076	0.00183919
1.56164169	0.01026211
1.57356262	0.04389138
1.58548355	0.07458898
1.59740448	0.08011061
1.60932541	0.07911953
1.62124634	0.06012613
1.63316727	0.02207376
1.64508820	0.00292147
1.65700912	0.00321455
1.66893005	0.00278381
1.68085098	0.00189987
1.69277191	0.00145326
1.70469284	0.00154500
1.71661377	0.00155460
1.72853470	0.00170523
1.74045563	0.00171509
1.75237656	0.00122991
1.76429749	0.01647416
1.77621841	0.05306448
1.78813934	0.07802692
1.80006027	0.08053508
1.81198120	0.07761588
1.82390213	0.05207082
1.83582306	0.01513343
1.84774399	0.00232754
1.85966492	0.00277929
1.87158585	0.00245532
1.88350677	0.00192851
1.89542770	0.00149283
1.90734863	0.00093566
1.91926956	0.00019097
1.93119049	0.00035354
1.94311142	0.00058903
1.95503235	0.00239846
1.96695328	0.02280750
1.97887421	0.05922944
1.99079514	0.07723022
2.00271606	0.07821123
2.01463699	0.07290763
2.02655792	0.04283470
2.03847885	0.01006068
2.05039978	0.00124543
2.06232071	0.00169548
2.07424164	0.00183131
2.08616257	0.00186134
2.09808350	0.00165213
2.11000443	0.00131682
2.12192535	0.00101058
2.13384628	0.00044887
2.14576721	0.00051796
2.15768814	0.00473466
2.16960907	0.03023948
2.18153000	0.06488680
2.19345093	0.07684018
2.20537186	0.07693071
2.21729279	0.06696626
2.22921371	0.03256423
2.24113464	0.00452684
2.25305557	0.00293992
2.26497650	0.00284909
2.27689743	0.00226270
2.28881836	0.00194667
2.30073929	0.00219439
2.31266022	0.00207948
2.32458115	0.00155662
2.33650208	0.00082278
2.34842300	0.00035311
2.36034393	0.00881247
2.37226486	0.03849259
2.38418579	0.06946703
2.39610672	0.07672555
2.40802765	0.07649796
2.41994858	0.06149636
2.43186951	0.02550840
2.44379044	0.00369557
2.45571136	0.00336573
2.46763229	0.00312000
2.47955322	0.00236881
2.49147415	0.00172152
2.50339508	0.00121448
2.51531601	0.00097911
2.52723694	0.00094360
2.53915787	0.00092777
2.55107880	0.00028006
2.56299973	0.01201492
2.57492065	0.04485901
2.58684158	0.07101223
2.59876251	0.07503406
2.61068344	0.07382439
2.62260437	0.05323536
2.63452530	0.01788911
2.64644623	0.00280325
2.65836716	0.00297306
2.67028809	0.00260804
2.68220901	0.00193398
2.69412994	0.00156081
2.70605087	0.00129253
2.71797180	0.00125342
2.72989273	0.00123714
2.74181366	0.00089646
2.75373459	0.00285587
2.76565552	0.01952984
2.77757645	0.05308774
2.78949738	0.07250978
2.80141830	0.07400747
2.81333923	0.07033519
2.82526016	0.04425176
2.83718109	0.01177153
2.84910202	0.00247993
2.86102295	0.00283240
2.87294388	0.00266348
2.88486481	0.00238199
2.89678574	0.00225617
2.90870667	0.00186125
2.92062759	0.00139881
2.93254852	0.00097754
2.94446945	0.00069617
2.95639038	0.00298612
2.96831131	0.02418566
2.98023224	0.05740986
2.99215317	0.07160305
3.00407410	0.07236317
3.01599503	0.06543597
3.02791595	0.03519318
3.03983688	0.00717375
3.05175781	0.00355705
3.06367874	0.00321773
3.07559967	0.00248086
3.08752060	0.00193965
3.09944153	0.00175528
3.11136246	0.00109434
3.12328339	0.00048055
3.13520432	0.00072811
3.14712524	0.00104798
3.15904617	0.00714058
3.17096710	0.03201555
3.18288803	0.06154331
3.19480896	0.06986436
3.20672989	0.06973496
3.21865082	0.05828766
3.23057175	0.02599636
3.24249268	0.00367879
3.25441360	0.00295627
3.26633453	0.00269533
3.27825546	0.00200471
3.29017639	0.00141355
3.30209732	0.00108799
3.31401825	0.00112921
3.32593918	0.00151139
3.33786011	0.00135273
3.34978104	0.00149857
3.36170197	0.01024269
3.37362289	0.03838440
3.38554382	0.06405436
3.39746475	0.06888693
3.40938568	0.06837336
3.42130661	0.05209620
3.43322754	0.01944715
3.44514847	0.00295513
3.45706940	0.00289986
3.46899033	0.00273888
3.48091125	0.00228018
3.49283218	0.00191352
3.50475311	0.00147374
3.51667404	0.00162586
3.52859497	0.00221179
3.54051590	0.00196371
3.55243683	0.00276151
3.56435776	0.01520199
3.57627869	0.04465308
3.58819962	0.06462035
3.60012054	0.06685814
3.61204147	0.06495734
3.62396240	0.04382030
3.63588333	0.01312919
3.64780426	0.00259393
3.65972519	0.00233989
3.67164612	0.00179282
3.68356705	0.00085053
3.69548798	0.00040638
3.70740891	0.00029334
3.71932983	0.00032043
3.73125076	0.00079769
3.74317169	0.00099479
3.75509262	0.00307172
3.76701355	0.01943992
3.77893448	0.04891202
3.79085541	0.06353735
3.80277634	0.06457051
3.81469727	0.06032360
3.82661819	0.03520820
3.83853912	0.00818132
3.85046005	0.00318912
3.86238098	0.00305353
3.87430191	0.00247831
3.88622284	0.00160324
3.89814377	0.00106246
3.91006470	0.00056205
3.92198563	0.00095361
3.93390656	0.00120438
3.94582748	0.00147078
3.95774841	0.00541336
3.96966934	0.02568767
3.98159027	0.05347754
3.99351120	0.06307513
4.00543213	0.06325173
4.01735306	0.05518698
4.02927399	0.02694246
4.04119492	0.00409140
4.05311584	0.00243001
4.06503677	0.00268931
4.07695770	0.00240287
4.08887863	0.00151605
4.10079956	0.00112460
4.11272049	0.00112536
4.12464142	0.00108982
4.13656235	0.00060420
4.14848328	0.00100364
4.16040421	0.00742715
4.17232513	0.03106723
4.18424606	0.05577393
4.19616699	0.06155201
4.20808792	0.06111160
4.22000885	0.04848266
4.23192978	0.01931433
4.24385071	0.00297720
4.25577164	0.00306059
4.26769257	0.00260191
4.27961349	0.00200632
4.29153442	0.00168887
4.30345535	0.00116703
4.31537628	0.00057276
4.32729721	0.00097763
4.33921814	0.00160033
4.35113907	0.00244141
4.36306000	0.01097032
4.37498093	0.03625848
4.38690186	0.05637996
4.39882278	0.05925997
4.41074371	0.05806705
4.42266464	0.04140995
4.43458557	0.01328840
4.44650650	0.00217404
4.45842743	0.00287431
4.47034836	0.00279308
4.48226929	0.00189191
4.49419022	0.00090968
4.50611115	0.00032281
4.51803207	0.00077758
4.52995300	0.00142113
4.54187393	0.00174638
4.55379486	0.00294874
4.56571579	0.01526432
4.57763672	0.04128187
4.58955765	0.05662770
4.60147858	0.05808268
4.61339951	0.05543471
4.62532043	0.03495090
4.63724136	0.00926215
4.64916229	0.00228030
4.66108322	0.00260677
4.67300415	0.00243519
4.68492508	0.00165767
4.69684601	0.00086024
4.70876694	0.00051620
4.72068787	0.00141339
4.73260880	0.00199857
4.74452972	0.00229113
4.75645065	0.00430852
4.76837158	0.01961798
4.78029251	0.04436873
4.79221344	0.05469875
4.80413437	0.05509945
4.81605530	0.04981942
4.82797623	0.02660034
4.83989716	0.00468395
4.85181808	0.00159416
4.86373901	0.00154070
4.87565994	0.00105148
4.88758087	0.00030642
4.89950180	0.00038921
4.91142273	0.00010562
4.92334366	0.00095814
4.93526459	0.00177787
4.94718552	0.00219629
4.95910645	0.00609790
4.97102737	0.02428077
4.98294830	0.04643413
4.99486923	0.05279890
5.00679016	0.05269201
5.01871109	0.04401011
5.03063202	0.01946590
5.04255295	0.00199095
5.05447388	0.00170174
5.06639481	0.00184884
5.07831573	0.00121523
5.09023666	0.00029381
5.10215759	0.00017246
5.11407852	0.00060792
5.12599945	0.00129068
5.13792038	0.00159137
5.14984131	0.00212861
5.16176224	0.00885995
5.17368317	0.02954993
5.18560410	0.04820479
5.19752502	0.05159443
5.20944595	0.05102483
5.22136688	0.03880751
5.23328781	0.01470220
5.24520874	0.00302703
5.25712967	0.00230203
5.26905060	0.00161907
5.28097153	0.00054642
5.29289246	0.00041178
5.30481339	0.00091527
5.31673431	0.00146421
5.32865524	0.00216464
5.34057617	0.00231053
5.35249710	0.00315040
5.36441803	0.01204464
5.37633896	0.03344111
5.38825989	0.04798296
5.40018082	0.04962686
5.41210175	0.04791765
5.42402267	0.03198446
5.43594360	0.00932205
5.44786453	0.00263478
5.45978546	0.00286066
5.47170639	0.00239835
5.48362732	0.00126551
5.49554825	0.00067076
5.50746918	0.00080093
5.51939011	0.00074943
5.53131104	0.00171224
5.54323196	0.00234115
5.55515289	0.00414054
5.56707382	0.01547631
5.57899475	0.03603297
5.59091568	0.04616959
5.60283661	0.04671126
5.61475754	0.04344203
5.62667847	0.02540055
5.63859940	0.00578062
5.65052032	0.00109295
5.66244125	0.00150614
5.67436218	0.00126095
5.68628311	0.00055039
5.69820404	0.00067966
5.71012497	0.00055981
5.72204590	0.00077208
5.73396683	0.00173990
5.74588776	0.00267285
5.75780869	0.00552393
5.76972961	0.01950231
5.78165054	0.03869086
5.79357147	0.04504621
5.80549240	0.04464475
5.81741333	0.03832268
5.82933426	0.01813065
5.84125519	0.00192149
5.85317612	0.00210354
5.86509705	0.00213638
5.87701797	0.00162490
5.88893890	0.00093622
5.90085983	0.00103835
5.91278076	0.00141274
5.92470169	0.00177478
5.93662262	0.00196317
5.94854355	0.00236482
5.96046448	0.00674136
5.97238541	0.02249549
5.98430634	0.03885271
5.99622726	0.04250600
6.00814819	0.04213917
6.02006912	0.03365549
6.03199005	0.01395193
6.04391098	0.00182051
6.05583191	0.00087798
6.06775284	0.00122727
6.07967377	0.00130247
6.09159470	0.00108090
6.10351563	0.00111399
6.11543655	0.00166798
6.12735748	0.00242537
6.13927841	0.00281010
6.15119934	0.00350418
6.16312027	0.00920093
6.17504120	0.02543249
6.18696213	0.03837856
6.19888306	0.04035044
6.21080399	0.03962633
6.22272491	0.02843549
6.23464584	0.00966824
6.24656677	0.00190407
6.25848770	0.00173248
6.27040863	0.00150169
6.28232956	0.00091551
6.29425049	0.00089632
6.30617142	0.00126227
6.31809235	0.00189337
6.33001328	0.00255493
6.34193420	0.00300281
6.35385513	0.00403251
6.36577606	0.01175985
6.37769699	0.02837646
6.38961792	0.03812398
6.40153885	0.03876473
6.41345978	0.03653965
6.42538071	0.02260906
6.43730164	0.00547337
6.44922256	0.00117570
6.46114349	0.00145215
6.47306442	0.00111346
6.48498535	0.00033516
6.49690628	0.00093232
6.50882721	0.00150465
6.52074814	0.00227246
6.53266907	0.00283593
6.54459000	0.00283011
6.55651093	0.00414652
6.56843185	0.01375176
6.58035278	0.02914239
6.59227371	0.03577787
6.60419464	0.03627224
6.61611557	0.03289540
6.62803650	0.01812228
6.63995743	0.00415945
6.65187836	0.00054695
6.66379929	0.00082670
6.67572021	0.00090481
6.68764114	0.00095226
6.69956207	0.00130147
6.71148300	0.00182657
6.72340393	0.00267251
6.73532486	0.00314332
6.74724579	0.00317729
6.75916672	0.00540919
6.77108765	0.01618836
6.78300858	0.02937293
6.79492950	0.03319780
6.80685043	0.03321679
6.81877136	0.02790554
6.83069229	0.01294607
6.84261322	0.00216344
6.85453415	0.00011029
6.86645508	0.00054186
6.87837601	0.00086235
6.89029694	0.00135809
6.90221786	0.00182229
6.91413879	0.00203845
