Частота	Канал A
(MГц)	(В)

0.00000000	0.20807630
0.00076294	0.14455180
0.00152588	0.09855293
0.00228882	0.03125367
0.00305176	0.00328110
0.00381470	0.00133056
0.00457764	0.00133339
0.00534058	0.00168277
0.00610352	0.00176848
0.00686646	0.00165431
0.00762939	0.00137260
0.00839233	0.00110065
0.00915527	0.00077736
0.00991821	0.00053686
0.01068115	0.00029479
0.01144409	0.00026001
0.01220703	0.00071259
0.01296997	0.00108993
0.01373291	0.00131921
0.01449585	0.00126191
0.01525879	0.00109835
0.01602173	0.00091227
0.01678467	0.00068426
0.01754761	0.00031586
0.01831055	0.00018724
0.01907349	0.00013817
0.01983643	0.00006961
0.02059937	0.00023466
0.02136230	0.00046173
0.02212524	0.00058124
0.02288818	0.00044646
0.02365112	0.00041832
0.02441406	0.00035318
0.02517700	0.00039492
0.02593994	0.00055911
0.02670288	0.00061564
0.02746582	0.00055778
0.02822876	0.00038015
0.02899170	0.00013420
0.02975464	0.00034650
0.03051758	0.00039573
0.03128052	0.00049228
0.03204346	0.00065855
0.03280640	0.00067480
0.03356934	0.00070163
0.03433228	0.00069872
0.03509521	0.00057700
0.03585815	0.00040833
0.03662109	0.00035188
0.03738403	0.00049623
0.03814697	0.00050283
0.03890991	0.00034606
0.03967285	0.00026215
0.04043579	0.00018681
0.04119873	0.00034635
0.04196167	0.00062832
0.04272461	0.00090561
0.04348755	0.00103809
0.04425049	0.00096771
0.04501343	0.00065971
0.04577637	0.00022243
0.04653931	0.00005729
0.04730225	0.00014569
0.04806519	0.00048164
0.04882813	0.00083028
0.04959106	0.00102631
0.05035400	0.00098351
0.05111694	0.00090667
0.05187988	0.00086076
0.05264282	0.00079873
0.05340576	0.00067888
0.05416870	0.00046576
0.05493164	0.00023332
0.05569458	0.00016805
0.05645752	0.00041274
0.05722046	0.00065743
0.05798340	0.00077864
0.05874634	0.00086305
0.05950928	0.00098603
0.06027222	0.00111462
0.06103516	0.00115275
0.06179810	0.00101247
0.06256104	0.00181841
0.06332397	0.00254027
0.06408691	0.00258607
0.06484985	0.00255317
0.06561279	0.00179522
0.06637573	0.00097769
0.06713867	0.00080751
0.06790161	0.00076899
0.06866455	0.00063217
0.06942749	0.00058565
0.07019043	0.00041508
0.07095337	0.00027459
0.07171631	0.00025458
0.07247925	0.00030316
0.07324219	0.00035872
0.07400513	0.00027310
0.07476807	0.00041754
0.07553101	0.00070829
0.07629395	0.00097639
0.07705688	0.00097359
0.07781982	0.00086979
0.07858276	0.00069717
0.07934570	0.00045724
0.08010864	0.00034884
0.08087158	0.00040212
