Частота	Канал A
(kГц)	(В)

0.00000000	0.21382730
0.01192093	0.14851800
0.02384186	0.10119820
0.03576279	0.03218784
0.04768372	0.00321860
0.05960464	0.00057677
0.07152557	0.00066195
0.08344650	0.00054898
0.09536743	0.00052764
0.10728836	0.00104077
0.11920929	0.00135598
0.13113022	0.00146846
0.14305115	0.00104619
0.15497208	0.00045683
0.16689301	0.00071242
0.17881393	0.00165331
0.19073486	0.00209374
0.20265579	0.00183706
0.21457672	0.00145920
0.22649765	0.00082935
0.23841858	0.00036522
0.25033951	0.00029175
0.26226044	0.00042389
0.27418137	0.00050075
0.28610229	0.00062965
0.29802322	0.00076058
0.30994415	0.00080872
0.32186508	0.00068041
0.33378601	0.00045268
0.34570694	0.00043114
0.35762787	0.00055537
0.36954880	0.00052991
0.38146973	0.00083587
0.39339066	0.00106537
0.40531158	0.00114793
0.41723251	0.00102322
0.42915344	0.00057681
0.44107437	0.00031672
0.45299530	0.00064600
0.46491623	0.00085349
0.47683716	0.00075969
0.48875809	0.00073144
0.50067902	0.00071628
0.51259995	0.00055660
0.52452087	0.00061097
0.53644180	0.00070747
0.54836273	0.00068925
0.56028366	0.00045365
0.57220459	0.00016322
0.58412552	0.00028328
0.59604645	0.00039210
0.60796738	0.00045967
0.61988831	0.00033480
0.63180923	0.00012380
0.64373016	0.00012505
0.65565109	0.00021253
0.66757202	0.00024863
0.67949295	0.00021887
0.69141388	0.00022165
0.70333481	0.00017402
0.71525574	0.00012587
0.72717667	0.00040198
0.73909760	0.00059859
0.75101852	0.00041766
0.76293945	0.00020745
0.77486038	0.00010970
0.78678131	0.00043039
0.79870224	0.00062329
0.81062317	0.00049980
0.82254410	0.00039589
0.83446503	0.00026763
0.84638596	0.00021152
0.85830688	0.00041440
0.87022781	0.00060206
0.88214874	0.00054577
0.89406967	0.00025955
0.90599060	0.00003387
0.91791153	0.00017239
0.92983246	0.00019068
0.94175339	0.00010656
0.95367432	0.00008573
0.96559525	0.00009322
0.97751617	0.00031751
0.98943710	0.00049048
1.00135803	0.00077250
1.01327896	0.00085453
1.02519989	0.00050227
1.03712082	0.00012828
1.04904175	0.00033234
1.06096268	0.00073252
1.07288361	0.00084044
1.08480453	0.00066858
1.09672546	0.00063907
1.10864639	0.00061919
1.12056732	0.00066103
1.13248825	0.00073135
1.14440918	0.00071227
1.15633011	0.00058899
1.16825104	0.00048137
1.18017197	0.00160034
1.19209290	0.01234618
1.20401382	0.03196951
1.21593475	0.04183902
1.22785568	0.04292592
1.23977661	0.04001347
1.25169754	0.02403972
1.26361847	0.00672809
1.27553940	0.00048837
1.28746033	0.00027956
1.29938126	0.00018345
1.31130219	0.00003636
1.32322311	0.00037583
1.33514404	0.00037713
1.34706497	0.00020002
1.35898590	0.00017123
1.37090683	0.00020570
1.38282776	0.00083690
1.39474869	0.00152308
1.40666962	0.00232765
1.41859055	0.00251391
1.43051147	0.00224196
1.44243240	0.00178479
1.45435333	0.00074555
1.46627426	0.00038272
1.47819519	0.00052328
1.49011612	0.00047796
1.50203705	0.00062495
1.51395798	0.00060850
1.52587891	0.00044639
1.53779984	0.00037206
1.54972076	0.00033267
1.56164169	0.00013295
1.57356262	0.00024145
1.58548355	0.00043902
1.59740448	0.00090427
1.60932541	0.00124622
1.62124634	0.00116235
1.63316727	0.00095906
1.64508820	0.00074485
1.65700912	0.00037305
1.66893005	0.00038901
1.68085098	0.00051773
1.69277191	0.00041950
1.70469284	0.00050335
1.71661377	0.00041059
1.72853470	0.00033207
1.74045563	0.00034382
1.75237656	0.00029739
1.76429749	0.00027321
1.77621841	0.00025017
1.78813934	0.00028142
1.80006027	0.00027143
1.81198120	0.00023037
1.82390213	0.00031154
1.83582306	0.00047311
1.84774399	0.00052795
1.85966492	0.00055937
1.87158585	0.00043270
1.88350677	0.00037610
1.89542770	0.00049484
1.90734863	0.00039464
1.91926956	0.00026700
1.93119049	0.00019504
1.94311142	0.00026103
1.95503235	0.00057614
1.96695328	0.00077161
1.97887421	0.00084672
1.99079514	0.00066892
2.00271606	0.00020704
2.01463699	0.00021475
2.02655792	0.00027446
2.03847885	0.00028156
2.05039978	0.00030690
2.06232071	0.00032390
2.07424164	0.00044234
2.08616257	0.00057892
2.09808350	0.00061853
2.11000443	0.00055232
2.12192535	0.00044883
2.13384628	0.00019053
2.14576721	0.00025840
2.15768814	0.00052228
2.16960907	0.00068019
2.18153000	0.00087360
2.19345093	0.00089628
2.20537186	0.00074806
2.21729279	0.00096300
2.22921371	0.00154180
2.24113464	0.00174906
2.25305557	0.00177269
2.26497650	0.00176156
2.27689743	0.00121352
2.28881836	0.00041141
2.30073929	0.00015081
2.31266022	0.00008661
2.32458115	0.00030020
2.33650208	0.00054151
2.34842300	0.00088524
2.36034393	0.00107805
2.37226486	0.00090707
2.38418579	0.00057294
2.39610672	0.00037776
2.40802765	0.00034319
2.41994858	0.00057989
2.43186951	0.00078094
2.44379044	0.00091246
2.45571136	0.00104602
2.46763229	0.00112118
2.47955322	0.00074639
2.49147415	0.00036760
2.50339508	0.00022854
2.51531601	0.00009260
2.52723694	0.00013650
2.53915787	0.00018250
2.55107880	0.00025169
2.56299973	0.00026426
2.57492065	0.00051777
2.58684158	0.00048497
2.59876251	0.00050579
2.61068344	0.00013844
2.62260437	0.00203511
2.63452530	0.00390733
2.64644623	0.00430367
2.65836716	0.00444412
2.67028809	0.00371923
2.68220901	0.00172827
2.69412994	0.00066816
2.70605087	0.00066936
2.71797180	0.00055015
2.72989273	0.00064363
2.74181366	0.00077110
2.75373459	0.00093161
2.76565552	0.00088765
2.77757645	0.00065163
2.78949738	0.00053749
2.80141830	0.00028428
2.81333923	0.00011718
2.82526016	0.00069270
2.83718109	0.00128488
2.84910202	0.00140814
2.86102295	0.00145322
2.87294388	0.00132978
2.88486481	0.00101423
2.89678574	0.00097342
2.90870667	0.00098352
2.92062759	0.00078334
2.93254852	0.00058670
2.94446945	0.00048288
2.95639038	0.00067235
2.96831131	0.00083350
2.98023224	0.00067729
2.99215317	0.00037164
3.00407410	0.00002297
3.01599503	0.00037571
3.02791595	0.00063241
3.03983688	0.00058975
3.05175781	0.00033405
3.06367874	0.00025381
3.07559967	0.00024265
3.08752060	0.00045743
3.09944153	0.00068784
3.11136246	0.00059292
3.12328339	0.00049620
3.13520432	0.00049481
3.14712524	0.00036564
3.15904617	0.00030502
3.17096710	0.00048899
3.18288803	0.00049929
3.19480896	0.00028518
3.20672989	0.00006419
3.21865082	0.00044993
3.23057175	0.00054806
3.24249268	0.00036152
3.25441360	0.00027538
3.26633453	0.00014147
3.27825546	0.00083422
3.29017639	0.00148101
3.30209732	0.00194229
3.31401825	0.00222052
3.32593918	0.00181390
3.33786011	0.00171786
3.34978104	0.00214579
3.36170197	0.00209283
3.37362289	0.00199530
3.38554382	0.00236239
3.39746475	0.00196745
3.40938568	0.00156764
3.42130661	0.00196240
3.43322754	0.00190591
3.44514847	0.00147615
3.45706940	0.00175462
3.46899033	0.00183981
3.48091125	0.00150480
3.49283218	0.00131757
3.50475311	0.00054553
3.51667404	0.00046826
3.52859497	0.00098017
3.54051590	0.00118427
3.55243683	0.00145520
3.56435776	0.00142920
3.57627869	0.00076373
3.58819962	0.00019554
3.60012054	0.00022718
3.61204147	0.00074311
3.62396240	0.00087894
3.63588333	0.00037800
3.64780426	0.00047837
3.65972519	0.00112616
3.67164612	0.00172895
3.68356705	0.00161503
3.69548798	0.00127944
3.70740891	0.00121349
3.71932983	0.00067505
3.73125076	0.00066802
3.74317169	0.00170465
3.75509262	0.00182808
3.76701355	0.00227656
3.77893448	0.00251684
3.79085541	0.00149489
3.80277634	0.00072578
3.81469727	0.00098540
3.82661819	0.00643834
3.83853912	0.07905988
3.85046005	0.25733110
3.86238098	0.38075300
3.87430191	0.39648180
3.88622284	0.38570700
3.89814377	0.26541360
3.91006470	0.08738402
3.92198563	0.00891611
3.93390656	0.00112107
3.94582748	0.00077857
3.95774841	0.00052199
3.96966934	0.00151439
3.98159027	0.00167019
3.99351120	0.00098308
4.00543213	0.00053999
4.01735306	0.00044915
4.02927399	0.00060723
4.04119492	0.00034166
4.05311584	0.00029838
4.06503677	0.00070416
4.07695770	0.00053972
4.08887863	0.00013947
4.10079956	0.00036136
4.11272049	0.00025041
4.12464142	0.00017501
4.13656235	0.00030911
4.14848328	0.00065205
4.16040421	0.00073382
4.17232513	0.00053742
4.18424606	0.00050309
4.19616699	0.00022385
4.20808792	0.00069885
4.22000885	0.00083608
4.23192978	0.00060464
4.24385071	0.00052096
4.25577164	0.00108806
4.26769257	0.00123096
4.27961349	0.00095121
4.29153442	0.00101054
4.30345535	0.00075095
4.31537628	0.00082016
4.32729721	0.00091117
4.33921814	0.00046077
4.35113907	0.00018741
4.36306000	0.00039241
4.37498093	0.00057602
4.38690186	0.00071740
4.39882278	0.00044553
4.41074371	0.00024582
4.42266464	0.00037695
4.43458557	0.00012920
4.44650650	0.00036372
4.45842743	0.00051366
4.47034836	0.00057132
4.48226929	0.00085017
4.49419022	0.00092440
4.50611115	0.00080670
4.51803207	0.00085351
4.52995300	0.00083140
4.54187393	0.00033765
4.55379486	0.00025831
4.56571579	0.00052205
4.57763672	0.00072641
4.58955765	0.00072903
4.60147858	0.00043534
4.61339951	0.00030829
4.62532043	0.00038029
4.63724136	0.00046048
4.64916229	0.00047690
4.66108322	0.00046433
4.67300415	0.00065956
4.68492508	0.00047507
4.69684601	0.00033816
4.70876694	0.00046040
4.72068787	0.00020647
4.73260880	0.00038606
4.74452972	0.00043693
4.75645065	0.00030697
4.76837158	0.00030847
4.78029251	0.00019194
4.79221344	0.00043427
4.80413437	0.00046102
4.81605530	0.00003778
4.82797623	0.00028360
4.83989716	0.00048272
4.85181808	0.00075298
4.86373901	0.00047940
4.87565994	0.00081848
4.88758087	0.00171850
4.89950180	0.00194421
4.91142273	0.00191565
4.92334366	0.00139167
4.93526459	0.00062583
4.94718552	0.00046622
4.95910645	0.00072184
4.97102737	0.00082846
4.98294830	0.00093600
4.99486923	0.00082265
5.00679016	0.00045667
5.01871109	0.00010197
5.03063202	0.00012783
5.04255295	0.00020700
5.05447388	0.00027524
5.06639481	0.00011106
5.07831573	0.00035598
5.09023666	0.00051526
5.10215759	0.00056628
5.11407852	0.00087639
5.12599945	0.00092540
5.13792038	0.00062180
5.14984131	0.00053974
5.16176224	0.00057481
5.17368317	0.00045385
5.18560410	0.00045019
5.19752502	0.00031131
5.20944595	0.00046268
5.22136688	0.00083479
5.23328781	0.00070204
5.24520874	0.00073556
5.25712967	0.00393344
5.26905060	0.01473505
5.28097153	0.02747768
5.29289246	0.03111094
5.30481339	0.03033019
5.31673431	0.02523513
5.32865524	0.01150014
5.34057617	0.00150626
5.35249710	0.00018502
5.36441803	0.00036042
5.37633896	0.00061879
5.38825989	0.00070780
5.40018082	0.00071059
5.41210175	0.00076065
5.42402267	0.00064546
5.43594360	0.00043033
5.44786453	0.00039240
5.45978546	0.00057311
5.47170639	0.00108148
5.48362732	0.00175854
5.49554825	0.00182505
5.50746918	0.00141974
5.51939011	0.00094843
5.53131104	0.00079423
5.54323196	0.00069242
5.55515289	0.00052733
5.56707382	0.00071600
5.57899475	0.00051706
5.59091568	0.00024178
5.60283661	0.00023613
5.61475754	0.00002864
5.62667847	0.00028682
5.63859940	0.00028640
5.65052032	0.00043823
5.66244125	0.00075026
5.67436218	0.00100595
5.68628311	0.00129555
5.69820404	0.00123229
5.71012497	0.00086229
5.72204590	0.00053273
5.73396683	0.00041263
5.74588776	0.00049325
5.75780869	0.00054767
5.76972961	0.00050835
5.78165054	0.00063756
5.79357147	0.00073765
5.80549240	0.00082881
5.81741333	0.00102759
5.82933426	0.00099307
5.84125519	0.00084192
5.85317612	0.00062208
5.86509705	0.00021974
5.87701797	0.00029630
5.88893890	0.00033943
5.90085983	0.00045450
5.91278076	0.00059834
5.92470169	0.00044349
5.93662262	0.00027497
5.94854355	0.00023947
5.96046448	0.00030553
5.97238541	0.00045886
5.98430634	0.00030989
5.99622726	0.00020495
6.00814819	0.00046261
6.02006912	0.00065825
6.03199005	0.00071285
6.04391098	0.00082022
6.05583191	0.00067283
6.06775284	0.00027535
6.07967377	0.00025724
6.09159470	0.00053671
6.10351563	0.00098075
6.11543655	0.00119621
6.12735748	0.00121978
6.13927841	0.00118863
6.15119934	0.00098095
6.16312027	0.00065558
6.17504120	0.00037864
6.18696213	0.00015429
6.19888306	0.00022683
6.21080399	0.00016227
6.22272491	0.00038873
6.23464584	0.00058393
6.24656677	0.00048780
6.25848770	0.00043645
6.27040863	0.00043028
6.28232956	0.00041070
6.29425049	0.00022446
6.30617142	0.00061815
6.31809235	0.00092192
6.33001328	0.00093580
6.34193420	0.00101391
6.35385513	0.00102260
6.36577606	0.00075558
6.37769699	0.00044582
6.38961792	0.00028293
6.40153885	0.00036060
6.41345978	0.00045483
6.42538071	0.00033445
6.43730164	0.00035293
6.44922256	0.00057690
6.46114349	0.00090667
6.47306442	0.00138379
6.48498535	0.02847627
6.49690628	0.11330840
6.50882721	0.19303580
6.52074814	0.20837370
6.53266907	0.20542930
6.54459000	0.15862570
6.55651093	0.06200381
6.56843185	0.00709718
6.58035278	0.00052571
6.59227371	0.00038999
6.60419464	0.00050390
6.61611557	0.00127227
6.62803650	0.00126033
6.63995743	0.00081693
6.65187836	0.00065797
6.66379929	0.00054373
6.67572021	0.00048317
6.68764114	0.00098801
6.69956207	0.00161983
6.71148300	0.00195498
6.72340393	0.00261518
6.73532486	0.00274777
6.74724579	0.00241127
6.75916672	0.00293842
6.77108765	0.00323682
6.78300858	0.00278171
6.79492950	0.00244739
6.80685043	0.00182774
6.81877136	0.00070636
6.83069229	0.00058097
6.84261322	0.00105516
6.85453415	0.00134333
6.86645508	0.00113508
6.87837601	0.00081176
6.89029694	0.00075234
6.90221786	0.00091816
6.91413879	0.00101956
