Частота	Канал A
(kГц)	(В)

0.00000000	0.55292300
0.01192093	0.38450310
0.02384186	0.26345640
0.03576279	0.08556858
0.04768372	0.01045579
0.05960464	0.00364792
0.07152557	0.00244576
0.08344650	0.00218784
0.09536743	0.00179708
0.10728836	0.00145568
0.11920929	0.00135007
0.13113022	0.00136894
0.14305115	0.00164515
0.15497208	0.00221100
0.16689301	0.00253836
0.17881393	0.00291507
0.19073486	0.00292225
0.20265579	0.00208115
0.21457672	0.00134679
0.22649765	0.00092261
0.23841858	0.00078654
0.25033951	0.00130605
0.26226044	0.00191205
0.27418137	0.00255666
0.28610229	0.00487058
0.29802322	0.00634872
0.30994415	0.00564148
0.32186508	0.00626060
0.33378601	0.00757714
0.34570694	0.00822954
0.35762787	0.00793788
0.36954880	0.00487824
0.38146973	0.00169918
0.39339066	0.00189890
0.40531158	0.00218160
0.41723251	0.00250139
0.42915344	0.00276693
0.44107437	0.00216718
0.45299530	0.00151755
0.46491623	0.00136012
0.47683716	0.00078906
0.48875809	0.00037588
0.50067902	0.00041795
0.51259995	0.00100641
0.52452087	0.00173918
0.53644180	0.00230817
0.54836273	0.00217224
0.56028366	0.00229402
0.57220459	0.00235710
0.58412552	0.00194217
0.59604645	0.00184575
0.60796738	0.00182478
0.61988831	0.00254580
0.63180923	0.00717475
0.64373016	0.01020742
0.65565109	0.00991747
0.66757202	0.00914064
0.67949295	0.00714812
0.69141388	0.00652169
0.70333481	0.00718577
0.71525574	0.00523700
0.72717667	0.00240372
0.73909760	0.00119132
0.75101852	0.00066370
0.76293945	0.00096366
0.77486038	0.00153492
0.78678131	0.00172782
0.79870224	0.00200578
0.81062317	0.00239985
0.82254410	0.00171772
0.83446503	0.00116803
0.84638596	0.00084707
0.85830688	0.00095010
0.87022781	0.00121335
0.88214874	0.00183037
0.89406967	0.00217350
0.90599060	0.00314184
0.91791153	0.00358602
0.92983246	0.00355541
0.94175339	0.00376981
0.95367432	0.01222034
0.96559525	0.10511680
0.97751617	0.29579000
0.98943710	0.40667140
1.00135803	0.41506010
1.01327896	0.39539520
1.02519989	0.25326980
1.03712082	0.07327692
1.04904175	0.00831335
1.06096268	0.00411858
1.07288361	0.00281392
1.08480453	0.00234619
1.09672546	0.00145809
1.10864639	0.00081671
1.12056732	0.00108043
1.13248825	0.00144680
1.14440918	0.00209488
1.15633011	0.00250158
1.16825104	0.00215693
1.18017197	0.00203776
1.19209290	0.00198312
1.20401382	0.00136442
1.21593475	0.00091939
1.22785568	0.00067225
1.23977661	0.00065567
1.25169754	0.00127755
1.26361847	0.00190417
1.27553940	0.00310562
1.28746033	0.00589953
1.29938126	0.00712344
1.31130219	0.00614802
1.32322311	0.00516449
1.33514404	0.00388026
1.34706497	0.00349791
1.35898590	0.00365709
1.37090683	0.00265166
1.38282776	0.00266440
1.39474869	0.00339206
1.40666962	0.00310701
1.41859055	0.00300781
1.43051147	0.00299710
1.44243240	0.00209011
1.45435333	0.00116618
1.46627426	0.00078701
1.47819519	0.00058526
1.49011612	0.00055200
1.50203705	0.00058295
1.51395798	0.00099341
1.52587891	0.00185774
1.53779984	0.00259645
1.54972076	0.00265887
1.56164169	0.00270807
1.57356262	0.00242371
1.58548355	0.00191322
1.59740448	0.00167098
1.60932541	0.00211136
1.62124634	0.00509873
1.63316727	0.01112141
1.64508820	0.01403490
1.65700912	0.01329621
1.66893005	0.01142844
1.68085098	0.00713702
1.69277191	0.00497801
1.70469284	0.00499700
1.71661377	0.00298738
1.72853470	0.00108273
1.74045563	0.00142477
1.75237656	0.00185278
1.76429749	0.00213319
1.77621841	0.00203855
1.78813934	0.00156367
1.80006027	0.00152676
1.81198120	0.00157131
1.82390213	0.00102708
1.83582306	0.00042384
1.84774399	0.00026520
1.85966492	0.00093381
1.87158585	0.00172067
1.88350677	0.00218468
1.89542770	0.00180473
1.90734863	0.00208907
1.91926956	0.00168489
1.93119049	0.00159970
1.94311142	0.00239568
1.95503235	0.01607773
1.96695328	0.11761710
1.97887421	0.29917590
1.99079514	0.38927580
2.00271606	0.39456000
2.01463699	0.36786340
2.02655792	0.21974200
2.03847885	0.05761234
2.05039978	0.00655238
2.06232071	0.00257243
2.07424164	0.00111697
2.08616257	0.00063455
2.09808350	0.00006555
2.11000443	0.00044627
2.12192535	0.00072329
2.13384628	0.00069502
2.14576721	0.00108231
2.15768814	0.00154727
2.16960907	0.00130456
2.18153000	0.00114878
2.19345093	0.00093278
2.20537186	0.00034791
2.21729279	0.00022408
2.22921371	0.00070459
2.24113464	0.00131011
2.25305557	0.00224564
2.26497650	0.00279825
2.27689743	0.00379162
2.28881836	0.00622865
2.30073929	0.00691211
2.31266022	0.00590024
2.32458115	0.00480686
2.33650208	0.00244400
2.34842300	0.00076792
2.36034393	0.00213919
2.37226486	0.00245775
2.38418579	0.00296925
2.39610672	0.00347455
2.40802765	0.00261938
2.41994858	0.00180474
2.43186951	0.00167709
2.44379044	0.00104737
2.45571136	0.00068680
2.46763229	0.00069667
2.47955322	0.00083912
2.49147415	0.00147127
2.50339508	0.00197429
2.51531601	0.00206396
2.52723694	0.00195287
2.53915787	0.00134190
2.55107880	0.00086004
2.56299973	0.00125352
2.57492065	0.00113850
2.58684158	0.00053404
2.59876251	0.00135149
2.61068344	0.00282670
2.62260437	0.00624683
2.63452530	0.01246306
2.64644623	0.01482360
2.65836716	0.01375511
2.67028809	0.01166042
2.68220901	0.00640305
2.69412994	0.00320327
2.70605087	0.00342812
2.71797180	0.00212637
2.72989273	0.00129003
2.74181366	0.00208182
2.75373459	0.00253006
2.76565552	0.00305241
2.77757645	0.00327840
2.78949738	0.00273851
2.80141830	0.00207576
2.81333923	0.00178942
2.82526016	0.00100880
2.83718109	0.00068142
2.84910202	0.00087553
2.86102295	0.00147484
2.87294388	0.00195563
2.88486481	0.00246899
2.89678574	0.00258915
2.90870667	0.00344863
2.92062759	0.00330936
2.93254852	0.00264321
2.94446945	0.00148410
2.95639038	0.01815376
2.96831131	0.12414140
2.98023224	0.28947230
2.99215317	0.35866130
3.00407410	0.36170770
3.01599503	0.32820450
3.02791595	0.18167170
3.03983688	0.04241947
3.05175781	0.00584315
3.06367874	0.00345924
3.07559967	0.00206729
3.08752060	0.00139088
3.09944153	0.00103402
3.11136246	0.00149684
3.12328339	0.00215235
3.13520432	0.00223090
3.14712524	0.00248271
3.15904617	0.00233506
3.17096710	0.00176994
3.18288803	0.00158043
3.19480896	0.00133302
3.20672989	0.00085242
3.21865082	0.00088843
3.23057175	0.00135177
3.24249268	0.00208766
3.25441360	0.00343306
3.26633453	0.00402820
3.27825546	0.00436442
3.29017639	0.00520010
3.30209732	0.00480801
3.31401825	0.00482943
3.32593918	0.00588926
3.33786011	0.00551369
3.34978104	0.00548625
3.36170197	0.00602872
3.37362289	0.00497639
3.38554382	0.00404968
3.39746475	0.00379801
3.40938568	0.00261722
3.42130661	0.00169031
3.43322754	0.00120692
3.44514847	0.00039038
3.45706940	0.00012896
3.46899033	0.00029064
3.48091125	0.00042794
3.49283218	0.00082604
3.50475311	0.00100039
3.51667404	0.00111297
3.52859497	0.00159393
3.54051590	0.00170552
3.55243683	0.00129220
3.56435776	0.00088935
3.57627869	0.00077292
3.58819962	0.00135517
3.60012054	0.00239255
3.61204147	0.00289408
3.62396240	0.00587497
3.63588333	0.01128674
3.64780426	0.01267148
3.65972519	0.01185026
3.67164612	0.01012285
3.68356705	0.00509128
3.69548798	0.00112903
3.70740891	0.00088392
3.71932983	0.00087744
3.73125076	0.00167440
3.74317169	0.00213238
3.75509262	0.00228604
3.76701355	0.00296739
3.77893448	0.00322670
3.79085541	0.00267527
3.80277634	0.00207347
3.81469727	0.00157377
3.82661819	0.00106393
3.83853912	0.00112654
3.85046005	0.00117393
3.86238098	0.00148807
3.87430191	0.00203751
3.88622284	0.00250531
3.89814377	0.00231262
3.91006470	0.00254321
3.92198563	0.00195282
3.93390656	0.00145218
3.94582748	0.00030959
3.95774841	0.02136137
3.96966934	0.12580110
3.98159027	0.26787880
3.99351120	0.31742320
4.00543213	0.31861980
4.01735306	0.27909450
4.02927399	0.14216340
4.04119492	0.02941400
4.05311584	0.00459308
4.06503677	0.00249409
4.07695770	0.00154066
4.08887863	0.00138386
4.10079956	0.00161387
4.11272049	0.00204017
4.12464142	0.00249804
4.13656235	0.00214067
4.14848328	0.00205528
4.16040421	0.00169418
4.17232513	0.00093608
4.18424606	0.00045084
4.19616699	0.00050298
4.20808792	0.00081187
4.22000885	0.00149315
4.23192978	0.00179567
4.24385071	0.00235676
4.25577164	0.00322291
4.26769257	0.00296853
4.27961349	0.00246575
4.29153442	0.00263450
4.30345535	0.00249959
4.31537628	0.00467489
4.32729721	0.00756140
4.33921814	0.00789745
4.35113907	0.00797168
4.36306000	0.00750697
4.37498093	0.00475345
4.38690186	0.00353369
4.39882278	0.00341541
4.41074371	0.00241108
4.42266464	0.00189568
4.43458557	0.00152786
4.44650650	0.00086838
4.45842743	0.00099349
4.47034836	0.00130604
4.48226929	0.00149115
4.49419022	0.00178351
4.50611115	0.00145188
4.51803207	0.00103038
4.52995300	0.00115809
4.54187393	0.00087599
4.55379486	0.00040320
4.56571579	0.00070049
4.57763672	0.00119583
4.58955765	0.00219329
4.60147858	0.00382867
4.61339951	0.00472548
4.62532043	0.00748662
4.63724136	0.01186816
4.64916229	0.01238653
4.66108322	0.01135737
4.67300415	0.00925604
4.68492508	0.00395763
4.69684601	0.00166861
4.70876694	0.00315045
4.72068787	0.00335102
4.73260880	0.00355403
4.74452972	0.00341868
4.75645065	0.00232213
4.76837158	0.00163726
4.78029251	0.00111270
4.79221344	0.00041082
4.80413437	0.00021727
4.81605530	0.00065531
4.82797623	0.00131815
4.83989716	0.00220630
4.85181808	0.00261724
4.86373901	0.00292627
4.87565994	0.00311380
4.88758087	0.00257800
4.89950180	0.00169183
4.91142273	0.00148221
4.92334366	0.00077014
4.93526459	0.00102778
4.94718552	0.00172951
4.95910645	0.02265161
4.97102737	0.11892660
4.98294830	0.23341660
4.99486923	0.26678480
5.00679016	0.26758410
5.01871109	0.22570530
5.03063202	0.10609970
5.04255295	0.02019213
5.05447388	0.00274974
5.06639481	0.00107829
5.07831573	0.00119081
5.09023666	0.00117807
5.10215759	0.00134313
5.11407852	0.00166604
5.12599945	0.00166160
5.13792038	0.00110845
5.14984131	0.00110601
5.16176224	0.00088424
5.17368317	0.00049156
5.18560410	0.00067408
5.19752502	0.00125608
5.20944595	0.00161407
5.22136688	0.00206085
5.23328781	0.00194531
5.24520874	0.00195156
5.25712967	0.00252270
5.26905060	0.00227576
5.28097153	0.00180957
5.29289246	0.00142658
5.30481339	0.00112753
5.31673431	0.00515217
5.32865524	0.00935204
5.34057617	0.01049214
5.35249710	0.01091871
5.36441803	0.00956445
5.37633896	0.00535811
5.38825989	0.00341632
5.40018082	0.00320814
5.41210175	0.00225195
5.42402267	0.00159104
5.43594360	0.00114048
5.44786453	0.00091554
5.45978546	0.00131398
5.47170639	0.00146300
5.48362732	0.00173233
5.49554825	0.00249604
5.50746918	0.00249827
5.51939011	0.00207833
5.53131104	0.00169308
5.54323196	0.00111725
5.55515289	0.00080886
5.56707382	0.00123496
5.57899475	0.00177238
5.59091568	0.00269483
5.60283661	0.00372777
5.61475754	0.00394733
5.62667847	0.00618450
5.63859940	0.00899273
5.65052032	0.00875071
5.66244125	0.00831197
5.67436218	0.00717994
5.68628311	0.00358065
5.69820404	0.00257854
5.71012497	0.00330400
5.72204590	0.00324551
5.73396683	0.00352829
5.74588776	0.00312537
5.75780869	0.00202078
5.76972961	0.00178461
5.78165054	0.00148858
5.79357147	0.00101606
5.80549240	0.00116616
5.81741333	0.00152860
5.82933426	0.00177710
5.84125519	0.00219028
5.85317612	0.00197219
5.86509705	0.00160037
5.87701797	0.00168163
5.88893890	0.00152061
5.90085983	0.00118816
5.91278076	0.00108011
5.92470169	0.00048700
5.93662262	0.00089836
5.94854355	0.00238641
5.96046448	0.02352065
5.97238541	0.10602550
5.98430634	0.19177430
5.99622726	0.21236780
6.00814819	0.21176480
6.02006912	0.17005260
6.03199005	0.07245562
6.04391098	0.01136790
6.05583191	0.00113631
6.06775284	0.00168191
6.07967377	0.00254647
6.09159470	0.00270654
6.10351563	0.00244230
6.11543655	0.00224916
6.12735748	0.00204865
6.13927841	0.00146095
6.15119934	0.00129410
6.16312027	0.00078546
6.17504120	0.00042179
6.18696213	0.00053762
6.19888306	0.00068545
6.21080399	0.00107601
6.22272491	0.00203743
6.23464584	0.00236774
6.24656677	0.00261357
6.25848770	0.00268057
6.27040863	0.00212226
6.28232956	0.00127473
6.29425049	0.00087783
6.30617142	0.00114151
6.31809235	0.00531877
6.33001328	0.00970409
6.34193420	0.01120261
6.35385513	0.01233450
6.36577606	0.01083350
6.37769699	0.00619351
6.38961792	0.00390549
6.40153885	0.00297035
6.41345978	0.00165322
6.42538071	0.00110824
6.43730164	0.00099082
6.44922256	0.00115735
6.46114349	0.00171357
6.47306442	0.00188289
6.48498535	0.00191039
6.49690628	0.00218265
6.50882721	0.00170036
6.52074814	0.00084341
6.53266907	0.00060426
6.54459000	0.00052949
6.55651093	0.00093396
6.56843185	0.00198748
6.58035278	0.00285311
6.59227371	0.00369519
6.60419464	0.00434351
6.61611557	0.00395810
6.62803650	0.00456376
6.63995743	0.00560836
6.65187836	0.00534595
6.66379929	0.00588452
6.67572021	0.00585842
6.68764114	0.00423209
6.69956207	0.00384920
6.71148300	0.00361737
6.72340393	0.00252428
6.73532486	0.00231107
6.74724579	0.00184643
6.75916672	0.00085873
6.77108765	0.00057836
6.78300858	0.00060739
6.79492950	0.00068920
6.80685043	0.00101727
6.81877136	0.00127621
6.83069229	0.00163601
6.84261322	0.00208174
6.85453415	0.00198999
6.86645508	0.00196625
6.87837601	0.00205983
6.89029694	0.00158852
6.90221786	0.00086673
6.91413879	0.00040928
