Частота	Канал A
(kГц)	(В)

0.00000000	0.10586350
0.01192093	0.07388359
0.02384186	0.05115016
0.03576279	0.01734188
0.04768372	0.00356484
0.05960464	0.00221755
0.07152557	0.00093919
0.08344650	0.00080330
0.09536743	0.00188342
0.10728836	0.00217600
0.11920929	0.00150811
0.13113022	0.00123928
0.14305115	0.00216570
0.15497208	0.00227496
0.16689301	0.00149042
0.17881393	0.00066960
0.19073486	0.00150176
0.20265579	0.00430815
0.21457672	0.02524703
0.22649765	0.07267812
0.23841858	0.10352240
0.25033951	0.10628630
0.26226044	0.10245870
0.27418137	0.06937402
0.28610229	0.02277966
0.29802322	0.00405021
0.30994415	0.00170212
0.32186508	0.00069792
0.33378601	0.00160275
0.34570694	0.00245801
0.35762787	0.00215837
0.36954880	0.00080670
0.38146973	0.00143612
0.39339066	0.00261181
0.40531158	0.00250923
0.41723251	0.00143095
0.42915344	0.00038771
0.44107437	0.00178377
0.45299530	0.00412017
0.46491623	0.02511152
0.47683716	0.07259880
0.48875809	0.10239310
0.50067902	0.10502930
0.51259995	0.10131090
0.52452087	0.06780744
0.53644180	0.02186688
0.54836273	0.00393095
0.56028366	0.00169265
0.57220459	0.00047983
0.58412552	0.00129113
0.59604645	0.00226295
0.60796738	0.00238588
0.61988831	0.00161482
0.63180923	0.00181383
0.64373016	0.00259272
0.65565109	0.00228571
0.66757202	0.00129143
0.67949295	0.00053263
0.69141388	0.00187993
0.70333481	0.00427038
0.71525574	0.02595656
0.72717667	0.07349294
0.73909760	0.10238090
0.75101852	0.10508380
0.76293945	0.10122370
0.77486038	0.06694919
0.78678131	0.02157284
0.79870224	0.00449000
0.81062317	0.00249757
0.82254410	0.00122648
0.83446503	0.00022654
0.84638596	0.00097927
0.85830688	0.00094812
0.87022781	0.00058718
0.88214874	0.00211534
0.89406967	0.00306168
0.90599060	0.00299519
0.91791153	0.00214627
0.92983246	0.00070289
0.94175339	0.00106034
0.95367432	0.00414281
0.96559525	0.02708690
0.97751617	0.07465995
0.98943710	0.10238250
1.00135803	0.10458090
1.01327896	0.09991136
1.02519989	0.06488464
1.03712082	0.02033969
1.04904175	0.00428663
1.06096268	0.00277994
1.07288361	0.00187601
1.08480453	0.00062461
1.09672546	0.00035182
1.10864639	0.00029499
1.12056732	0.00055269
1.13248825	0.00198824
1.14440918	0.00244585
1.15633011	0.00194411
1.16825104	0.00105133
1.18017197	0.00045239
1.19209290	0.00124316
1.20401382	0.00387968
1.21593475	0.02726735
1.22785568	0.07452635
1.23977661	0.10115460
1.25169754	0.10323010
1.26361847	0.09822691
1.27553940	0.06260677
1.28746033	0.01879163
1.29938126	0.00302225
1.31130219	0.00106845
1.32322311	0.00026631
1.33514404	0.00083576
1.34706497	0.00095925
1.35898590	0.00030622
1.37090683	0.00106411
1.38282776	0.00278369
1.39474869	0.00355067
1.40666962	0.00327797
1.41859055	0.00237929
1.43051147	0.00125736
1.44243240	0.00168702
1.45435333	0.00512708
1.46627426	0.02908602
1.47819519	0.07541036
1.49011612	0.10037020
1.50203705	0.10202510
1.51395798	0.09651060
1.52587891	0.06051842
1.53779984	0.01795091
1.54972076	0.00365169
1.56164169	0.00218484
1.57356262	0.00120740
1.58548355	0.00027994
1.59740448	0.00088628
1.60932541	0.00091142
1.62124634	0.00047292
1.63316727	0.00204396
1.64508820	0.00290205
1.65700912	0.00288822
1.66893005	0.00222097
1.68085098	0.00158872
1.69277191	0.00219184
1.70469284	0.00549889
1.71661377	0.02984062
1.72853470	0.07566348
1.74045563	0.09930237
1.75237656	0.10049650
1.76429749	0.09436124
1.77621841	0.05803164
1.78813934	0.01655573
1.80006027	0.00311837
1.81198120	0.00211561
1.82390213	0.00158002
1.83582306	0.00086376
1.84774399	0.00057923
1.85966492	0.00007791
1.87158585	0.00136297
1.88350677	0.00331859
1.89542770	0.00391551
1.90734863	0.00346452
1.91926956	0.00241342
1.93119049	0.00099154
1.94311142	0.00190464
1.95503235	0.00580341
1.96695328	0.03060737
1.97887421	0.07541993
1.99079514	0.09752248
2.00271606	0.09865145
2.01463699	0.09209386
2.02655792	0.05551453
2.03847885	0.01537676
2.05039978	0.00262503
2.06232071	0.00134054
2.07424164	0.00087238
2.08616257	0.00041214
2.09808350	0.00052218
2.11000443	0.00104921
2.12192535	0.00196240
2.13384628	0.00332103
2.14576721	0.00372543
2.15768814	0.00308102
2.16960907	0.00189913
2.18153000	0.00063960
2.19345093	0.00147642
2.20537186	0.00504315
2.21729279	0.03019010
2.22921371	0.07461332
2.24113464	0.09570020
2.25305557	0.09675794
2.26497650	0.09000098
2.27689743	0.05343943
2.28881836	0.01478133
2.30073929	0.00335563
2.31266022	0.00233044
2.32458115	0.00177524
2.33650208	0.00095571
2.34842300	0.00051604
2.36034393	0.00030282
2.37226486	0.00102292
2.38418579	0.00253488
2.39610672	0.00322250
2.40802765	0.00310541
2.41994858	0.00229543
2.43186951	0.00086229
2.44379044	0.00064483
2.45571136	0.00482575
2.46763229	0.03045827
2.47955322	0.07395697
2.49147415	0.09412799
2.50339508	0.09553460
2.51531601	0.08859163
2.52723694	0.05215836
2.53915787	0.01458506
2.55107880	0.00319088
2.56299973	0.00178877
2.57492065	0.00123256
2.58684158	0.00051346
2.59876251	0.00023396
2.61068344	0.00050355
2.62260437	0.00166707
2.63452530	0.00330358
2.64644623	0.00387079
2.65836716	0.00356621
2.67028809	0.00258440
2.68220901	0.00096103
2.69412994	0.00035613
2.70605087	0.00396139
2.71797180	0.02986414
2.72989273	0.07243699
2.74181366	0.09147313
2.75373459	0.09289723
2.76565552	0.08544665
2.77757645	0.04905247
2.78949738	0.01305796
2.80141830	0.00297836
2.81333923	0.00234401
2.82526016	0.00223742
2.83718109	0.00176119
2.84910202	0.00161610
2.86102295	0.00210993
2.87294388	0.00321421
2.88486481	0.00461994
2.89678574	0.00489806
2.90870667	0.00434174
2.92062759	0.00316251
2.93254852	0.00133088
2.94446945	0.00053438
2.95639038	0.00512537
2.96831131	0.03138676
2.98023224	0.07270650
2.99215317	0.09009131
3.00407410	0.09085146
3.01599503	0.08245809
3.02791595	0.04571238
3.03983688	0.01089074
3.05175781	0.00202599
3.06367874	0.00136883
3.07559967	0.00133178
3.08752060	0.00105356
3.09944153	0.00087593
3.11136246	0.00122632
3.12328339	0.00228599
3.13520432	0.00369452
3.14712524	0.00392887
3.15904617	0.00353127
3.17096710	0.00270946
3.18288803	0.00123326
3.19480896	0.00038613
3.20672989	0.00486186
3.21865082	0.03085712
3.23057175	0.07081863
3.24249268	0.08704508
3.25441360	0.08780055
3.26633453	0.07951643
3.27825546	0.04399893
3.29017639	0.01119541
3.30209732	0.00265556
3.31401825	0.00212205
3.32593918	0.00204027
3.33786011	0.00161179
3.34978104	0.00179071
3.36170197	0.00255956
3.37362289	0.00352533
3.38554382	0.00454963
3.39746475	0.00463389
3.40938568	0.00417212
3.42130661	0.00319710
3.43322754	0.00167889
3.44514847	0.00064826
3.45706940	0.00521802
3.46899033	0.03143673
3.48091125	0.06988739
3.49283218	0.08466318
3.50475311	0.08500258
3.51667404	0.07588553
3.52859497	0.04066035
3.54051590	0.00949466
3.55243683	0.00227765
3.56435776	0.00244234
3.57627869	0.00292270
3.58819962	0.00274943
3.60012054	0.00271196
3.61204147	0.00298856
3.62396240	0.00339478
3.63588333	0.00419462
3.64780426	0.00425069
3.65972519	0.00372764
3.67164612	0.00271572
3.68356705	0.00112141
3.69548798	0.00004581
3.70740891	0.00486473
3.71932983	0.03085133
3.73125076	0.06822099
3.74317169	0.08228650
3.75509262	0.08288612
3.76701355	0.07366593
3.77893448	0.03907601
3.79085541	0.00920859
3.80277634	0.00185281
3.81469727	0.00163760
3.82661819	0.00205291
3.83853912	0.00185685
3.85046005	0.00169943
3.86238098	0.00185715
3.87430191	0.00241989
3.88622284	0.00341201
3.89814377	0.00312470
3.91006470	0.00245821
3.92198563	0.00161891
3.93390656	0.00024111
3.94582748	0.00084411
3.95774841	0.00611593
3.96966934	0.03182869
3.98159027	0.06735028
3.99351120	0.08004914
4.00543213	0.08055971
4.01735306	0.07104476
4.02927399	0.03703014
4.04119492	0.00854318
4.05311584	0.00156037
4.06503677	0.00131647
4.07695770	0.00203081
4.08887863	0.00230878
4.10079956	0.00243808
4.11272049	0.00279382
4.12464142	0.00343167
4.13656235	0.00414453
4.14848328	0.00397084
4.16040421	0.00354540
4.17232513	0.00250621
4.18424606	0.00075880
4.19616699	0.00028146
4.20808792	0.00535177
4.22000885	0.03059449
4.23192978	0.06431201
4.24385071	0.07569372
4.25577164	0.07609093
4.26769257	0.06639721
4.27961349	0.03333561
4.29153442	0.00678774
4.30345535	0.00072179
4.31537628	0.00054908
4.32729721	0.00141206
4.33921814	0.00193962
4.35113907	0.00233532
4.36306000	0.00264503
4.37498093	0.00292480
4.38690186	0.00347988
4.39882278	0.00341167
4.41074371	0.00309889
4.42266464	0.00244387
4.43458557	0.00127484
4.44650650	0.00066366
4.45842743	0.00557763
4.47034836	0.03015861
4.48226929	0.06208063
4.49419022	0.07260550
4.50611115	0.07323575
4.51803207	0.06354931
4.52995300	0.03163807
4.54187393	0.00670017
4.55379486	0.00111151
4.56571579	0.00120397
4.57763672	0.00216933
4.58955765	0.00274960
4.60147858	0.00324691
4.61339951	0.00369213
4.62532043	0.00408861
4.63724136	0.00458057
4.64916229	0.00431251
4.66108322	0.00379552
4.67300415	0.00310980
4.68492508	0.00180555
4.69684601	0.00085029
4.70876694	0.00583441
4.72068787	0.03051048
4.73260880	0.06128854
4.74452972	0.07093777
4.75645065	0.07124104
4.76837158	0.06100072
4.78029251	0.02984448
4.79221344	0.00642298
4.80413437	0.00156093
4.81605530	0.00163933
4.82797623	0.00245660
4.83989716	0.00278913
4.85181808	0.00310936
4.86373901	0.00324756
4.87565994	0.00285133
4.88758087	0.00299255
4.89950180	0.00295000
4.91142273	0.00285433
4.92334366	0.00235689
4.93526459	0.00129215
4.94718552	0.00059909
4.95910645	0.00522515
4.97102737	0.02927864
4.98294830	0.05827064
4.99486923	0.06697615
5.00679016	0.06730248
5.01871109	0.05706069
5.03063202	0.02721542
5.04255295	0.00538360
5.05447388	0.00117072
5.06639481	0.00189768
5.07831573	0.00289445
5.09023666	0.00327147
5.10215759	0.00359242
5.11407852	0.00373526
5.12599945	0.00365506
5.13792038	0.00364855
5.14984131	0.00302638
5.16176224	0.00236486
5.17368317	0.00162509
5.18560410	0.00072046
5.19752502	0.00021408
5.20944595	0.00559797
5.22136688	0.02882748
5.23328781	0.05576556
5.24520874	0.06337229
5.25712967	0.06347036
5.26905060	0.05313404
5.28097153	0.02467128
5.29289246	0.00476676
5.30481339	0.00097520
5.31673431	0.00120703
5.32865524	0.00213958
5.34057617	0.00278776
5.35249710	0.00334204
5.36441803	0.00347651
5.37633896	0.00303356
5.38825989	0.00287961
5.40018082	0.00270065
5.41210175	0.00259173
5.42402267	0.00218845
5.43594360	0.00129993
5.44786453	0.00062306
5.45978546	0.00565267
5.47170639	0.02810412
5.48362732	0.05334305
5.49554825	0.06028238
5.50746918	0.06047339
5.51939011	0.05029235
5.53131104	0.02329725
5.54323196	0.00481480
5.55515289	0.00122099
5.56707382	0.00149882
5.57899475	0.00249785
5.59091568	0.00299922
5.60283661	0.00338530
5.61475754	0.00339625
5.62667847	0.00312423
5.63859940	0.00310595
5.65052032	0.00278920
5.66244125	0.00280373
5.67436218	0.00281658
5.68628311	0.00237139
5.69820404	0.00210330
5.71012497	0.00555055
5.72204590	0.02676466
5.73396683	0.05019988
5.74588776	0.05629526
5.75780869	0.05621722
5.76972961	0.04572272
5.78165054	0.01983489
5.79357147	0.00299482
5.80549240	0.00081527
5.81741333	0.00156281
5.82933426	0.00275785
5.84125519	0.00337451
5.85317612	0.00362188
5.86509705	0.00365975
5.87701797	0.00350292
5.88893890	0.00345808
5.90085983	0.00306111
5.91278076	0.00280500
5.92470169	0.00240565
5.93662262	0.00163322
5.94854355	0.00097843
5.96046448	0.00515861
5.97238541	0.02624408
5.98430634	0.04822448
5.99622726	0.05358408
6.00814819	0.05332787
6.02006912	0.04310795
6.03199005	0.01876589
6.04391098	0.00315277
6.05583191	0.00052310
6.06775284	0.00134386
6.07967377	0.00264638
6.09159470	0.00317904
6.10351563	0.00357699
6.11543655	0.00359367
6.12735748	0.00303836
6.13927841	0.00267213
6.15119934	0.00215417
6.16312027	0.00209476
6.17504120	0.00196339
6.18696213	0.00149337
6.19888306	0.00127960
6.21080399	0.00444003
6.22272491	0.02358553
6.23464584	0.04336324
6.24656677	0.04824730
6.25848770	0.04841315
6.27040863	0.03863555
6.28232956	0.01583210
6.29425049	0.00157620
6.30617142	0.00086640
6.31809235	0.00124690
6.33001328	0.00299165
6.34193420	0.00400664
6.35385513	0.00459543
6.36577606	0.00444223
6.37769699	0.00328674
6.38961792	0.00245026
6.40153885	0.00190898
6.41345978	0.00172594
6.42538071	0.00150691
6.43730164	0.00110256
6.44922256	0.00071587
6.46114349	0.00523633
6.47306442	0.02383499
6.48498535	0.04219331
6.49690628	0.04634966
6.50882721	0.04613854
6.52074814	0.03634736
6.53266907	0.01499014
6.54459000	0.00225539
6.55651093	0.00053752
6.56843185	0.00057902
6.58035278	0.00204992
6.59227371	0.00285249
6.60419464	0.00316779
6.61611557	0.00297051
6.62803650	0.00239104
6.63995743	0.00208732
6.65187836	0.00203598
6.66379929	0.00258676
6.67572021	0.00279999
6.68764114	0.00256343
6.69956207	0.00242595
6.71148300	0.00491107
6.72340393	0.02223724
6.73532486	0.03889264
6.74724579	0.04238172
6.75916672	0.04192692
6.77108765	0.03224027
6.78300858	0.01225176
6.79492950	0.00081953
6.80685043	0.00065233
6.81877136	0.00083814
6.83069229	0.00213430
6.84261322	0.00270164
6.85453415	0.00300754
6.86645508	0.00285508
6.87837601	0.00207421
6.89029694	0.00175179
6.90221786	0.00160656
6.91413879	0.00183834
