v,U,I,div,tdiv
100,560.4,413.09,3.4,1
110,611.6,399.05,3.2,1
120,615.8,398.85,2.9,1
130,639.3,392.98,2.8,1
150,678.2,382.41,2.4,1
170,708.3,373.42,4.4,0.5
190,731.7,365.80,4.1,0.5
220,757.1,356.39,3.6,0.5
270,783.1,344.73,7.7,0.2
330,799.3,344.81,6.6,0.2
340,801.0,333.39,6.4,0.2
400,806.4,326.26,5.6,0.2
500,805.2,316.81,4.6,0.2
600,747.0,308.67,4.0,0.2
730,780.2,298.71,3.2,0.2
870,757.8,288.09,2.8,0.2
990,737.9,278.98,2.5,0.2
1200,698.3,263.02,8.6,0.05
1500,650.6,240.99,6.6,0.05
1800,585.5,220.48,5.5,0.05
2200,519.6,196.20,4.4,0.05
2600,462.9,175.54,3.7,0.05
3000,414.6,158.08,9.2,0.02
3400,373.3,143.36,8.2,0.02
4000,322.8,125.28,7.2,0.02
4600,282.3,110.92,6.4,0.02
6000,224.1,86.90,5.1,0.02
6900,182.9,75.98,4.6,0.02
8000,153.4,65.72,8.2,0.01
10000,115.3,52.20,6.9,0.01
14000,71.1,35.34,5.3,0.01
17000,53.0,27.43,9.3,0.005
20000,41.4,21.388,8.0,0.005
24000,31.3,15.000,7.1,0.005
30000,21.3,7.399,6.3,0.005
