грань,птичка,томас шелби
1,-4.8367e-31,-4.8367e-31
2,-4.8367e-31,-4.8367e-31
3,3e-05,-4.8367e-31
4,3e-05,2e-05
5,2e-05,4e-05
6,5e-05,6e-05
7,0.00015,9e-05
8,0.0001,6e-05
9,0.00013,0.00018
10,0.00019,0.00021
11,0.00021,0.00012
12,0.00026,0.00023
13,0.00025,0.00036
14,0.00034,0.00033
15,0.00035,0.00044
16,0.00052,0.00036
17,0.00049,0.00053
18,0.00063,0.00044
19,0.00058,0.00059
20,0.00069,0.00067
21,0.00071,0.00079
22,0.00085,0.0008
23,0.00091,0.00103
24,0.00107,0.00108
25,0.00107,0.0009
26,0.0013,0.00108
27,0.00141,0.00108
28,0.00129,0.00136
29,0.00147,0.00131
30,0.00134,0.00147
31,0.00164,0.00175
32,0.00178,0.00198
33,0.00203,0.00178
34,0.00203,0.00191
35,0.00218,0.00204
36,0.00196,0.00217
37,0.00217,0.00227
38,0.00281,0.00238
39,0.00271,0.00256
40,0.00264,0.00254
41,0.00295,0.00291
42,0.00281,0.00305
43,0.00283,0.00291
44,0.00315,0.00294
45,0.00322,0.00328
46,0.00363,0.00331
47,0.00365,0.00341
48,0.00386,0.00385
49,0.00362,0.00403
50,0.00404,0.00434
51,0.00394,0.00396
52,0.00427,0.00463
53,0.00466,0.00424
54,0.00484,0.00451
55,0.00482,0.00486
56,0.00494,0.00457
57,0.00455,0.00537
58,0.00524,0.00518
59,0.00554,0.00549
60,0.00597,0.00529
61,0.00598,0.00593
62,0.00608,0.00598
63,0.00635,0.00603
64,0.00635,0.00641
65,0.00644,0.00613
66,0.00648,0.00663
67,0.00653,0.00677
68,0.00672,0.00651
69,0.00726,0.00687
70,0.00741,0.00723
71,0.00716,0.00764
72,0.00768,0.00801
73,0.00823,0.0077
74,0.00801,0.00775
75,0.00849,0.00809
76,0.00825,0.00845
77,0.00915,0.00913
78,0.0091,0.00871
79,0.00922,0.00878
80,0.00927,0.00926
81,0.00935,0.00917
82,0.0095,0.0093
83,0.00937,0.00995
84,0.01015,0.01007
85,0.00963,0.01033
86,0.01058,0.01049
87,0.01022,0.01028
88,0.01046,0.01071
89,0.01097,0.01068
90,0.0112,0.01078
91,0.01155,0.01184
92,0.01148,0.01167
93,0.01164,0.01172
94,0.01201,0.01186
95,0.01247,0.0126
96,0.01232,0.01264
97,0.01229,0.01228
98,0.01312,0.01289
99,0.01233,0.0131
100,0.01252,0.01281
101,0.01315,0.01283
102,0.01309,0.0126
103,0.01278,0.01308
104,0.01296,0.01291
105,0.0125,0.01253
106,0.01216,0.01216
107,0.01227,0.01208
108,0.01203,0.01193
109,0.01152,0.01099
110,0.0121,0.01165
111,0.01138,0.01136
112,0.01106,0.01064
113,0.01029,0.01084
114,0.01044,0.01109
115,0.01038,0.01028
116,0.01039,0.01105
117,0.00961,0.00972
118,0.00966,0.01032
119,0.01029,0.00993
120,0.00967,0.00969
121,0.00917,0.00939
122,0.00904,0.00924
123,0.00903,0.00883
124,0.00875,0.00932
125,0.00843,0.00777
126,0.00852,0.00849
127,0.00809,0.00835
128,0.00809,0.00824
129,0.00807,0.00802
130,0.00775,0.00808
131,0.00782,0.00754
132,0.00718,0.00721
133,0.00712,0.00702
134,0.00742,0.00722
135,0.00692,0.0071
136,0.00666,0.00683
137,0.00639,0.00653
138,0.00616,0.00625
139,0.00595,0.00605
140,0.00644,0.00585
141,0.00581,0.00557
142,0.00527,0.00579
143,0.00518,0.00567
144,0.00534,0.00513
145,0.00487,0.00553
146,0.00516,0.00518
147,0.0048,0.00477
148,0.00464,0.00493
149,0.00437,0.00422
150,0.0046,0.00429
151,0.00411,0.00392
152,0.0039,0.00395
153,0.00392,0.00384
154,0.00384,0.00398
155,0.0037,0.00351
156,0.00335,0.0036
157,0.00298,0.0033
158,0.00322,0.00321
159,0.00312,0.00321
160,0.00287,0.00317
161,0.00267,0.00298
162,0.00274,0.0028
163,0.00228,0.00243
164,0.00219,0.00226
165,0.00238,0.00243
166,0.00228,0.00231
167,0.0021,0.00204
168,0.00194,0.0019
169,0.00199,0.00191
170,0.00166,0.00165
171,0.00161,0.00164
172,0.0016,0.00145
173,0.00146,0.00139
174,0.00144,0.00135
175,0.00131,0.00126
176,0.00101,0.00132
177,0.00092,0.00096
178,0.00089,0.00116
179,0.00087,0.0008
180,0.00087,0.00088
181,0.00087,0.00066
182,0.00075,0.00069
183,0.00074,0.00061
184,0.00056,0.00039
185,0.00033,0.00051
186,0.00045,0.00035
187,0.00037,0.00043
188,0.00035,0.00027
189,0.00027,0.00023
190,0.00026,0.00016
191,0.0002,0.00019
192,0.00013,0.00011
193,0.00014,0.00015
194,0.00015,4e-05
195,5e-05,4e-05
196,8e-05,9e-05
197,2e-05,3e-05
198,3e-05,3e-05
199,2e-05,-4.8367e-31
200,-4.8367e-31,-4.8367e-31
