lambda I
646.4744351871175 -38.05923344947723
646.5851984501794 1.940766550522767
646.6959541363373 33.94076655052277
646.8067022369478 37.94076655052277
646.9174427433675 41.94076655052277
647.0281756469528 16.940766550522767
647.1389009390605 5.440766550522767
647.2496186110469 -6.059233449477233
647.3603286542688 16.940766550522767
647.4710310600826 13.440766550522767
647.5817258198449 9.940766550522767
647.6924129249123 16.940766550522767
647.8030923666413 -6.059233449477233
647.9137641363885 1.940766550522767
648.0244282255105 -23.059233449477233
648.1350846253638 -86.05923344947723
648.2457333273048 -46.05923344947723
648.3563743226903 -126.05923344947723
648.4670076028768 -54.05923344947723
648.5776331592209 25.940766550522767
648.6882509830791 -62.05923344947723
648.7988610658078 -86.05923344947723
648.9094633987639 -82.05923344947723
649.0200579733038 -78.05923344947723
649.130644780784 -38.05923344947723
649.241223812561 1.940766550522767
649.3517950599914 17.940766550522767
649.462358514432 33.94076655052277
649.5729141672391 97.94076655052277
649.6834620097694 -150.05923344947723
649.7940020333793 -198.05923344947723
649.9045342294255 -182.05923344947723
650.0150585892645 -326.05923344947723
650.1255751042529 -302.05923344947723
650.2360837657473 -278.05923344947723
650.3465845651041 -438.05923344947723
650.4570774936799 -342.05923344947723
650.5675625428314 -246.05923344947723
650.6780397039149 -46.05923344947723
650.7885089682874 -194.05923344947723
650.898970327305 -42.05923344947723
651.0094237723245 -190.05923344947723
651.1198692947025 -298.05923344947723
651.2303068857952 -130.05923344947723
651.3407365369598 -206.05923344947723
651.4511582395522 -102.05923344947723
651.5615719849294 -174.05923344947723
651.6719777644478 -246.05923344947723
651.7823755694639 -198.05923344947723
651.8927653913343 -134.05923344947723
652.0031472214156 -70.05923344947723
652.1135210510644 -166.05923344947723
652.2238868716371 -134.05923344947723
652.3342446744904 -102.05923344947723
652.4445944509808 -238.05923344947723
652.554936192465 -366.05923344947723
652.6652698902993 -314.05923344947723
652.7755955358405 -262.05923344947723
652.885913120445 -310.05923344947723
652.9962226354694 -302.05923344947723
653.1065240722703 -294.05923344947723
653.2168174222044 -366.05923344947723
653.3271026766279 -342.05923344947723
653.4373798268975 -318.05923344947723
653.54764886437 -294.05923344947723
653.6579097804017 -318.05923344947723
653.7681625663492 -342.05923344947723
653.8784072135691 -142.05923344947723
653.988643713418 -70.05923344947723
654.0988720572524 -162.05923344947723
654.2090922364288 -254.05923344947723
654.3193042423038 -278.05923344947723
654.4295080662341 -166.05923344947723
654.5397036995762 -294.05923344947723
654.6498911336864 -214.05923344947723
654.7600703599217 -134.05923344947723
654.8702413696383 -286.05923344947723
654.9804041541929 -214.05923344947723
655.090558704942 -326.05923344947723
655.2007050132422 -322.05923344947723
655.3108430704502 -318.05923344947723
655.4209728679223 -318.05923344947723
655.5310943970153 -310.05923344947723
655.6412076490856 -302.05923344947723
655.7513126154897 -246.05923344947723
655.8614092875844 -46.05923344947723
655.971497656726 -302.05923344947723
656.0815777142712 -94.05923344947723
656.1916494515766 9.940766550522767
656.3017128599987 -54.05923344947723
656.411767930894 -118.05923344947723
