lambda I
646.4744351871175 -37.13937282229972
646.5851984501794 -37.13937282229972
646.6959541363373 -37.13937282229972
646.8067022369478 -14.13937282229972
646.9174427433675 -13.13937282229972
647.0281756469528 -5.13937282229972
647.1389009390605 2.8606271777002803
647.2496186110469 26.86062717770028
647.3603286542688 6.86062717770028
647.4710310600826 -13.13937282229972
647.5817258198449 2.8606271777002803
647.6924129249123 -14.13937282229972
647.8030923666413 34.86062717770028
647.9137641363885 -37.13937282229972
648.0244282255105 -94.13937282229972
648.1350846253638 -97.63937282229972
648.2457333273048 -101.13937282229972
648.3563743226903 -181.13937282229972
648.4670076028768 -141.13937282229972
648.5776331592209 -101.13937282229972
648.6882509830791 -77.13937282229972
648.7988610658078 -125.13937282229972
648.9094633987639 -73.13937282229972
649.0200579733038 -149.13937282229972
649.130644780784 -69.13937282229972
649.241223812561 -109.13937282229972
649.3517950599914 -117.13937282229972
649.462358514432 -125.13937282229972
649.5729141672391 -109.13937282229972
649.6834620097694 -97.13937282229972
649.7940020333793 -85.13937282229972
649.9045342294255 -157.13937282229972
650.0150585892645 -85.13937282229972
650.1255751042529 -113.13937282229972
650.2360837657473 -141.13937282229972
650.3465845651041 -189.13937282229972
650.4570774936799 -109.13937282229972
650.5675625428314 -13.13937282229972
650.6780397039149 82.86062717770028
650.7885089682874 106.86062717770028
650.898970327305 -5.13937282229972
651.0094237723245 -117.13937282229972
651.1198692947025 -37.13937282229972
651.2303068857952 -33.13937282229972
651.3407365369598 -29.13937282229972
651.4511582395522 -85.13937282229972
651.5615719849294 -53.13937282229972
651.6719777644478 -21.13937282229972
651.7823755694639 -45.13937282229972
651.8927653913343 34.86062717770028
652.0031472214156 -161.13937282229972
652.1135210510644 -93.13937282229972
652.2238868716371 -301.1393728222997
652.3342446744904 -29.13937282229972
652.4445944509808 -149.13937282229972
652.554936192465 -157.13937282229972
652.6652698902993 -149.13937282229972
652.7755955358405 -141.13937282229972
652.885913120445 -237.13937282229972
652.9962226354694 -205.13937282229972
653.1065240722703 -173.13937282229972
653.2168174222044 -93.13937282229972
653.3271026766279 -29.13937282229972
653.4373798268975 -37.13937282229972
653.54764886437 -45.13937282229972
653.6579097804017 34.86062717770028
653.7681625663492 -25.13937282229972
653.8784072135691 -85.13937282229972
653.988643713418 -61.13937282229972
654.0988720572524 -189.13937282229972
654.2090922364288 -189.13937282229972
654.3193042423038 -189.13937282229972
654.4295080662341 -213.13937282229972
654.5397036995762 -149.13937282229972
654.6498911336864 -85.13937282229972
654.7600703599217 -197.13937282229972
654.8702413696383 -181.13937282229972
654.9804041541929 -165.13937282229972
655.090558704942 -229.13937282229972
655.2007050132422 -253.13937282229972
655.3108430704502 -277.1393728222997
655.4209728679223 -221.13937282229972
655.5310943970153 -161.13937282229972
655.6412076490856 -101.13937282229972
655.7513126154897 -133.13937282229972
655.8614092875844 -61.13937282229972
655.971497656726 -33.13937282229972
656.0815777142712 -5.13937282229972
656.1916494515766 18.86062717770028
656.3017128599987 -41.13937282229972
656.411767930894 -101.13937282229972
656.5218146556192 -13.13937282229972
656.6318530255306 -157.13937282229972
656.7418830319851 -61.13937282229972
656.8519046663391 -189.13937282229972
656.9619179199492 -221.13937282229972
657.0719227841718 -177.13937282229972
657.1819192503635 -133.13937282229972
657.2919073098811 -197.13937282229972
657.401886954081 -173.13937282229972
657.5118581743196 -149.13937282229972
657.6218209619537 -101.13937282229972
657.7317753083398 -29.13937282229972
657.8417212048344 -149.13937282229972
657.9516586427941 -137.13937282229972
658.0615876135755 -125.13937282229972
658.171508108535 -133.13937282229972
658.2814201190292 -77.13937282229972
658.3913236364149 -177.13937282229972
658.5012186520485 -1.1393728222997197
658.6111051572864 -77.13937282229972
658.7209831434855 -45.13937282229972
658.830852602002 -25.13937282229972
658.9407135241926 -5.13937282229972
659.0505659014141 58.86062717770028
659.1604097250226 -45.13937282229972
659.270244986375 -149.13937282229972
659.3800716768277 -165.13937282229972
659.4898897877374 -181.13937282229972
659.5996993104607 -125.13937282229972
659.7095002363537 -173.13937282229972
659.8192925567736 -133.13937282229972
659.9290762630766 -5.13937282229972
660.0388513466193 -85.13937282229972
660.1486177987582 -97.13937282229972
660.25837561085 -109.13937282229972
660.3681247742512 -133.13937282229972
660.4778652803184 -181.13937282229972
660.587597120408 -193.13937282229972
660.6973202858768 -205.13937282229972
660.8070347680812 -173.13937282229972
660.9167405583777 -197.13937282229972
661.026437648123 -221.13937282229972
661.1361260286736 -229.13937282229972
661.2458056913862 -141.13937282229972
661.3554766276171 -325.1393728222997
661.465138828723 -181.13937282229972
661.5747922860604 -205.13937282229972
661.6844369909861 -229.13937282229972
661.7940729348563 -77.13937282229972
661.9037001090278 2.8606271777002803
662.013318504857 -25.13937282229972
662.1229281137007 -53.13937282229972
662.2325289269152 -109.13937282229972
662.3421209358572 -41.13937282229972
662.4517041318832 26.86062717770028
662.5612785063497 42.86062717770028
662.6708440506135 -69.13937282229972
662.780400756031 -181.13937282229972
662.8899486139587 -149.13937282229972
662.9994876157532 -229.13937282229972
663.109017752771 -213.13937282229972
663.2185390163689 -197.13937282229972
663.3280513979032 -213.13937282229972
663.4375548887307 -181.13937282229972
663.5470494802078 -149.13937282229972
663.6565351636909 -157.13937282229972
663.7660119305368 -217.13937282229972
