lambda I
646.4744351871175 29.452961672473975
646.5851984501794 -18.547038327526025
646.6959541363373 -74.54703832752602
646.8067022369478 -43.547038327526025
646.9174427433675 -26.547038327526025
647.0281756469528 -51.547038327526025
647.1389009390605 -74.54703832752602
647.2496186110469 -26.547038327526025
647.3603286542688 -67.54703832752602
647.4710310600826 -10.547038327526025
647.5817258198449 -50.547038327526025
647.6924129249123 -51.547038327526025
647.8030923666413 29.452961672473975
647.9137641363885 4.952961672473975
648.0244282255105 -19.547038327526025
648.1350846253638 -155.04703832752602
648.2457333273048 -290.547038327526
648.3563743226903 -258.547038327526
648.4670076028768 -250.54703832752602
648.5776331592209 -242.54703832752602
648.6882509830791 -154.54703832752602
648.7988610658078 -134.54703832752602
648.9094633987639 -114.54703832752602
649.0200579733038 -90.54703832752602
649.130644780784 -162.54703832752602
649.241223812561 -82.54703832752602
649.3517950599914 -86.54703832752602
649.462358514432 -90.54703832752602
649.5729141672391 -74.54703832752602
649.6834620097694 -202.54703832752602
649.7940020333793 -242.54703832752602
649.9045342294255 -226.54703832752602
650.0150585892645 -314.547038327526
650.1255751042529 -358.547038327526
650.2360837657473 -402.547038327526
650.3465845651041 -442.547038327526
650.4570774936799 -314.547038327526
650.5675625428314 -230.54703832752602
650.6780397039149 -146.54703832752602
650.7885089682874 -74.54703832752602
650.898970327305 -154.54703832752602
651.0094237723245 -234.54703832752602
651.1198692947025 -338.547038327526
651.2303068857952 -310.547038327526
651.3407365369598 -282.547038327526
651.4511582395522 -266.547038327526
651.5615719849294 -314.547038327526
651.6719777644478 -362.547038327526
651.7823755694639 -426.547038327526
651.8927653913343 -418.547038327526
652.0031472214156 -394.547038327526
652.1135210510644 -370.547038327526
652.2238868716371 -418.547038327526
652.3342446744904 -398.547038327526
652.4445944509808 -378.547038327526
652.554936192465 -410.547038327526
652.6652698902993 -442.547038327526
652.7755955358405 -474.547038327526
652.885913120445 -378.547038327526
652.9962226354694 -418.547038327526
653.1065240722703 -458.547038327526
653.2168174222044 -490.547038327526
653.3271026766279 -482.547038327526
653.4373798268975 -474.547038327526
653.54764886437 -386.547038327526
653.6579097804017 -330.547038327526
653.7681625663492 -322.547038327526
653.8784072135691 -314.547038327526
653.988643713418 -314.547038327526
654.0988720572524 -354.547038327526
654.2090922364288 -386.547038327526
654.3193042423038 -538.547038327526
654.4295080662341 -394.547038327526
654.5397036995762 -226.54703832752602
654.6498911336864 -394.547038327526
654.7600703599217 -426.547038327526
654.8702413696383 -430.547038327526
654.9804041541929 -434.547038327526
655.090558704942 -346.547038327526
655.2007050132422 -450.547038327526
655.3108430704502 -554.547038327526
655.4209728679223 -498.547038327526
655.5310943970153 -410.547038327526
655.6412076490856 -322.547038327526
655.7513126154897 -266.547038327526
655.8614092875844 -370.547038327526
655.971497656726 -326.547038327526
656.0815777142712 -282.547038327526
656.1916494515766 -346.547038327526
656.3017128599987 -358.547038327526
656.411767930894 -370.547038327526
656.5218146556192 -362.547038327526
656.6318530255306 -346.547038327526
656.7418830319851 -402.547038327526
656.8519046663391 -458.547038327526
656.9619179199492 -434.547038327526
657.0719227841718 -374.547038327526
657.1819192503635 -314.547038327526
657.2919073098811 -394.547038327526
657.401886954081 -306.547038327526
657.5118581743196 -302.547038327526
657.6218209619537 -298.547038327526
657.7317753083398 -354.547038327526
657.8417212048344 -378.547038327526
657.9516586427941 -394.547038327526
658.0615876135755 -338.547038327526
658.171508108535 -354.547038327526
658.2814201190292 -318.547038327526
658.3913236364149 -282.547038327526
658.5012186520485 -346.547038327526
658.6111051572864 -258.547038327526
658.7209831434855 -354.547038327526
658.830852602002 -310.547038327526
658.9407135241926 -266.547038327526
659.0505659014141 -314.547038327526
659.1604097250226 -346.547038327526
659.270244986375 -370.547038327526
659.3800716768277 -322.547038327526
659.4898897877374 -386.547038327526
659.5996993104607 -418.547038327526
659.7095002363537 -394.547038327526
659.8192925567736 -346.547038327526
659.9290762630766 -394.547038327526
660.0388513466193 -370.547038327526
660.1486177987582 -382.547038327526
660.25837561085 -394.547038327526
660.3681247742512 -482.547038327526
660.4778652803184 -410.547038327526
660.587597120408 -370.547038327526
660.6973202858768 -418.547038327526
660.8070347680812 -418.547038327526
660.9167405583777 -418.547038327526
661.026437648123 -434.547038327526
661.1361260286736 -458.547038327526
661.2458056913862 -378.547038327526
661.3554766276171 -386.547038327526
661.465138828723 -314.547038327526
661.5747922860604 -294.547038327526
661.6844369909861 -274.547038327526
661.7940729348563 -338.547038327526
661.9037001090278 -346.547038327526
662.013318504857 -354.547038327526
662.1229281137007 -290.547038327526
662.2325289269152 -290.547038327526
662.3421209358572 -290.547038327526
662.4517041318832 -386.547038327526
662.5612785063497 -418.547038327526
662.6708440506135 -454.547038327526
662.780400756031 -490.547038327526
662.8899486139587 -498.547038327526
662.9994876157532 -362.547038327526
663.109017752771 -378.547038327526
663.2185390163689 -330.547038327526
663.3280513979032 -378.547038327526
663.4375548887307 -402.547038327526
663.5470494802078 -306.547038327526
663.6565351636909 -298.547038327526
663.7660119305368 -326.547038327526
663.875479772102 -354.547038327526
663.9849386797432 -338.547038327526
664.0943886448167 -338.547038327526
664.2038296586792 -338.547038327526
664.3132617126872 -370.547038327526
664.4226847981973 -338.547038327526
664.532098906566 -306.547038327526
664.6415040291502 -266.547038327526
664.7509001573059 -290.547038327526
664.8602872823899 -314.547038327526
664.9696653957589 -458.547038327526
665.0790344887694 -450.547038327526
665.1883945527777 -354.547038327526
665.2977455791407 -310.547038327526
665.4070875592149 -266.547038327526
665.5164204843567 -330.547038327526
665.6257443459228 -358.547038327526
665.7350591352696 -386.547038327526
665.8443648437539 -386.547038327526
665.953661462732 -338.547038327526
666.0629489835608 -290.547038327526
666.1722273975963 -322.547038327526
666.2814966961957 -350.547038327526
666.3907568707152 -378.547038327526
666.5000079125114 -346.547038327526
666.6092498129408 -318.547038327526
666.7184825633601 -290.547038327526
666.8277061551258 -218.54703832752602
666.9369205795945 -234.54703832752602
667.0461258281226 -250.54703832752602
667.1553218920669 -354.547038327526
667.2645087627837 -426.547038327526
667.37368643163 -394.547038327526
667.4828548899617 -394.547038327526
667.5920141291359 -402.547038327526
667.701164140509 -386.547038327526
667.8103049154374 -370.547038327526
667.9194364452779 -402.547038327526
668.028558721387 -378.547038327526
668.1376717351211 -450.547038327526
668.246775477837 -402.547038327526
668.355869940891 -338.547038327526
668.4649551156398 -426.547038327526
668.57403099344 -370.547038327526
668.6830975656482 -346.547038327526
668.7921548236206 -322.547038327526
668.9012027587142 -298.547038327526
669.0102413622855 -338.547038327526
669.1192706256908 -358.547038327526
669.2282905402868 -378.547038327526
669.3373010974301 -378.547038327526
669.4463022884772 -442.547038327526
669.5552941047847 -446.547038327526
669.6642765377093 -450.547038327526
669.7732495786072 -418.547038327526
669.8822132188352 -346.547038327526
669.9911674497499 -386.547038327526
670.1001122627077 -394.547038327526
670.2090476490653 -430.547038327526
670.3179736001791 -466.547038327526
670.4268901074058 -394.547038327526
670.5357971621021 -362.547038327526
670.6446947556242 -330.547038327526
670.7535828793289 -314.547038327526
670.8624615245726 -334.547038327526
670.971330682712 -354.547038327526
671.0801903451037 -386.547038327526
671.1890405031041 -370.547038327526
671.2978811480699 -362.547038327526
671.4067122713575 -362.547038327526
671.5155338643236 -402.547038327526
671.6243459183248 -346.547038327526
671.7331484247175 -314.547038327526
671.8419413748583 -410.547038327526
671.9507247601039 -402.547038327526
672.0594985718105 -330.547038327526
672.1682628013351 -362.547038327526
672.2770174400341 -370.547038327526
672.3857624792639 -322.547038327526
672.4944979103814 -338.547038327526
672.6032237247427 -370.547038327526
672.7119399137048 -370.547038327526
672.8206464686239 -386.547038327526
672.9293433808568 -418.547038327526
673.0380306417601 -346.547038327526
673.14670824269 -394.547038327526
673.2553761750036 -370.547038327526
673.3640344300569 -322.547038327526
673.4726829992069 -362.547038327526
673.5813218738099 -354.547038327526
673.6899510452225 -322.547038327526
673.7985705048014 -402.547038327526
673.9071802439031 -338.547038327526
674.015780253884 -410.547038327526
674.1243705261008 -338.547038327526
674.23295105191 -402.547038327526
674.3415218226684 -386.547038327526
674.4500828297321 -386.547038327526
674.558634064458 -362.547038327526
674.6671755182026 -370.547038327526
674.7757071823225 -418.547038327526
674.8842290481741 -466.547038327526
674.9927411071142 -514.547038327526
675.1012433504991 -418.547038327526
675.2097357696855 -382.547038327526
675.3182183560299 -346.547038327526
675.4266911008889 -322.547038327526
675.535153995619 -330.547038327526
675.643607031577 -338.547038327526
675.7520502001191 -378.547038327526
675.860483492602 -466.547038327526
675.9689069003823 -554.547038327526
676.0773204148167 -442.547038327526
676.1857240272615 -434.547038327526
676.2941177290734 -426.547038327526
676.4025015116089 -290.547038327526
676.5108753662246 -362.547038327526
676.619239284277 -274.547038327526
676.7275932571227 -186.54703832752602
676.8359372761184 -242.54703832752602
676.9442713326205 -226.54703832752602
677.0525954179855 -210.54703832752602
677.16090952357 -314.547038327526
677.2692136407306 -466.547038327526
677.377507760824 -478.547038327526
677.4857918752066 -490.547038327526
677.5940659752348 -322.547038327526
677.7023300522654 -210.54703832752602
677.8105840976551 -386.547038327526
677.9188281027601 -482.547038327526
678.0270620589371 -426.547038327526
678.1352859575427 -370.547038327526
678.2434997899335 -410.547038327526
678.351703547466 -374.547038327526
678.4598972214966 -338.547038327526
678.5680808033821 -226.54703832752602
678.676254284479 -298.547038327526
678.7844176561439 -238.54703832752602
678.8925709097332 -330.547038327526
679.0007140366035 -322.547038327526
679.1088470281115 -258.547038327526
679.2169698756136 -194.54703832752602
679.3250825704665 -314.547038327526
679.4331851040267 -254.54703832752602
679.5412774676507 -194.54703832752602
679.6493596526951 -218.54703832752602
679.7574316505165 -226.54703832752602
679.8654934524714 -234.54703832752602
679.9735450499164 -354.547038327526
680.0815864342081 -418.547038327526
680.1896175967029 -390.547038327526
680.2976385287576 -362.547038327526
680.4056492217285 -354.547038327526
