T,V1,V2,V3
+4.60000E-03,+1.69235794E+00,+21.14930922E+00,-25.77402E-03
+4.61400E-03,+1.68948644E+00,+21.22741405E+00,-23.97934E-03
+4.62800E-03,+1.68823016E+00,+21.28024961E+00,-23.97934E-03
+4.64200E-03,+1.68512894E+00,+21.35031425E+00,-23.97934E-03
+4.65600E-03,+1.68194875E+00,+21.40429850E+00,-23.97934E-03
+4.67000E-03,+1.67943619E+00,+21.45081676E+00,-26.27654E-03
+4.68400E-03,+1.67692363E+00,+21.50106802E+00,-23.97934E-03
+4.69800E-03,+1.67366447E+00,+21.57170685E+00,-23.97934E-03
+4.71200E-03,+1.67064222E+00,+21.59496627E+00,-21.46677E-03
+4.72600E-03,+1.66687338E+00,+21.65182179E+00,-22.15594E-03
+4.74000E-03,+1.66561709E+00,+21.75232430E+00,-23.97934E-03
+4.75400E-03,+1.66184825E+00,+21.80027848E+00,-23.97934E-03
+4.76800E-03,+1.65682312E+00,+21.84248955E+00,-23.97934E-03
+4.78200E-03,+1.65351372E+00,+21.88470062E+00,-23.97934E-03
+4.79600E-03,+1.64868960E+00,+21.97716294E+00,-25.30022E-03
+4.81000E-03,+1.64512176E+00,+22.01937401E+00,-23.97934E-03
+4.82400E-03,+1.64049147E+00,+22.06158507E+00,-23.97934E-03
+4.83800E-03,+1.63673697E+00,+22.15404740E+00,-26.47755E-03
+4.85200E-03,+1.63169750E+00,+22.19625846E+00,-26.07554E-03
+4.86600E-03,+1.62708155E+00,+22.25483687E+00,-26.49190E-03
+4.88000E-03,+1.62225743E+00,+22.32949565E+00,-23.97934E-03
+4.89400E-03,+1.61617703E+00,+22.35533938E+00,-23.97934E-03
+4.90800E-03,+1.61260919E+00,+22.41535399E+00,-23.97934E-03
+4.92200E-03,+1.60778507E+00,+22.50609315E+00,-23.97934E-03
+4.93600E-03,+1.60296095E+00,+22.55002738E+00,-24.29519E-03
+4.95000E-03,+1.59939311E+00,+22.57070163E+00,-25.77404E-03
+4.96400E-03,+1.59261636E+00,+22.63444951E+00,-23.97934E-03
+4.97800E-03,+1.58471974E+00,+22.70709818E+00,-23.97934E-03
+4.99200E-03,+1.57989562E+00,+22.74557597E+00,-23.97934E-03
+5.00600E-03,+1.57246561E+00,+22.80760069E+00,-23.97934E-03
+5.02000E-03,+1.56762715E+00,+22.90379629E+00,-23.97934E-03
+5.03400E-03,+1.56070681E+00,+22.95835446E+00,-23.97934E-03
+5.04800E-03,+1.55506433E+00,+22.98821842E+00,-23.97934E-03
+5.06200E-03,+1.54698105E+00,+23.03042949E+00,-23.97934E-03
+5.07600E-03,+1.54090065E+00,+23.12289181E+00,-26.49190E-03
+5.09000E-03,+1.53216410E+00,+23.15935949E+00,-23.97934E-03
+5.10400E-03,+1.52257327E+00,+23.20731395E+00,-26.37706E-03
+5.11800E-03,+1.51412389E+00,+23.25986200E+00,-26.49190E-03
+5.13200E-03,+1.50652879E+00,+23.31011326E+00,-24.89820E-03
+5.14600E-03,+1.49919210E+00,+23.41061577E+00,-23.97934E-03
+5.16000E-03,+1.49185542E+00,+23.41061577E+00,-28.21478E-03
+5.17400E-03,+1.48306862E+00,+23.46862054E+00,-24.36701E-03
+5.18800E-03,+1.47092215E+00,+23.51083160E+00,-26.47757E-03
+5.20200E-03,+1.45811524E+00,+23.56136954E+00,-24.39568E-03
+5.21600E-03,+1.44532992E+00,+23.62798786E+00,-26.49190E-03
+5.23000E-03,+1.43126674E+00,+23.68627931E+00,-25.19970E-03
+5.24400E-03,+1.41922793E+00,+23.71212331E+00,-23.97934E-03
+5.25800E-03,+1.40609086E+00,+23.80286220E+00,-26.49190E-03
+5.27200E-03,+1.39291786E+00,+23.86460052E+00,-26.49190E-03
+5.28600E-03,+1.37840241E+00,+23.91312834E+00,-24.29517E-03
+5.30000E-03,+1.36393005E+00,+23.99927391E+00,-26.49190E-03
+5.31400E-03,+1.34820141E+00,+24.04148497E+00,-25.37204E-03
+5.32800E-03,+1.32820857E+00,+24.11413337E+00,-23.97934E-03
+5.34200E-03,+1.30950077E+00,+24.16438462E+00,-26.49190E-03
+5.35600E-03,+1.29464073E+00,+24.21463588E+00,-23.97934E-03
+5.37000E-03,+1.27408796E+00,+24.26488714E+00,-26.49190E-03
+5.38400E-03,+1.25353520E+00,+24.35304282E+00,-24.59668E-03
+5.39800E-03,+1.23223583E+00,+24.38577667E+00,-24.99869E-03
+5.41200E-03,+1.20685894E+00,+24.44406812E+00,-26.49190E-03
+5.42600E-03,+1.18204915E+00,+24.47967602E+00,-23.97934E-03
+5.44000E-03,+1.15456171E+00,+24.61090227E+00,-24.26652E-03
+5.45400E-03,+1.12204914E+00,+24.56639468E+00,-26.49190E-03
+5.46800E-03,+1.10006786E+00,+24.65656048E+00,-26.49190E-03
+5.48200E-03,+1.07620567E+00,+24.71714845E+00,-25.57305E-03
+5.49600E-03,+1.05466220E+00,+24.79123387E+00,-25.30019E-03
+5.51000E-03,+1.02756961E+00,+24.79898765E+00,-23.97934E-03
+5.52400E-03,+999.01258E-03,+24.86790222E+00,-26.49190E-03
+5.53800E-03,+973.44185E-03,+24.91815347E+00,-26.47758E-03
+5.55200E-03,+941.99172E-03,+25.01032939E+00,-26.49190E-03
+5.56600E-03,+911.79071E-03,+25.06890724E+00,-26.49190E-03
+5.58000E-03,+888.51722E-03,+25.14356548E+00,-23.97934E-03
+5.59400E-03,+868.61056E-03,+25.15160567E+00,-24.86954E-03
+5.60800E-03,+848.54599E-03,+25.21966101E+00,-24.46753E-03
+5.62200E-03,+820.96507E-03,+25.27163598E+00,-23.97934E-03
+5.63600E-03,+774.76269E-03,+25.32016353E+00,-26.49190E-03
+5.65000E-03,+730.04623E-03,+25.37041478E+00,-26.49190E-03
+5.66400E-03,+688.94070E-03,+25.42066604E+00,-25.09918E-03
+5.67800E-03,+651.10866E-03,+25.52116855E+00,-23.97934E-03
+5.69200E-03,+619.58680E-03,+25.58319383E+00,-24.56804E-03
+5.70600E-03,+589.86684E-03,+25.67192232E+00,-24.16603E-03
+5.72000E-03,+565.54523E-03,+25.72217358E+00,-23.97934E-03
+5.73400E-03,+539.32839E-03,+25.76007828E+00,-23.97934E-03
+5.74800E-03,+514.66217E-03,+25.80228935E+00,-23.97934E-03
+5.76200E-03,+487.00967E-03,+25.84450042E+00,-23.97934E-03
+5.77600E-03,+468.25879E-03,+25.88671148E+00,-23.97934E-03
+5.79000E-03,+455.38732E-03,+25.97342986E+00,-23.97934E-03
+5.80400E-03,+444.56899E-03,+26.02368112E+00,-24.09415E-03
+5.81800E-03,+424.96367E-03,+26.07393238E+00,-23.97934E-03
+5.83200E-03,+396.55740E-03,+26.15605826E+00,-23.97934E-03
