T,V1,V2,V3
-13.72400E-03,-24.62312E-03,+2.98115536E+00,-28.18517333E+00
-13.71100E-03,-84.92462E-03,+3.98618049E+00,-29.19019848E+00
-13.69800E-03,-59.79900E-03,+4.58919557E+00,-27.93391705E+00
-13.68500E-03,-125.12563E-03,+4.99120563E+00,-27.93391705E+00
-13.67200E-03,-100.00000E-03,+5.39321568E+00,-27.93391705E+00
-13.65900E-03,-140.20101E-03,+6.39824081E+00,-29.19019848E+00
-13.64600E-03,-140.20101E-03,+6.90075338E+00,-29.94396734E+00
-13.63300E-03,-180.40201E-03,+6.69974835E+00,-27.93391705E+00
-13.62000E-03,-180.40201E-03,+8.30778857E+00,-29.94396734E+00
-13.60700E-03,-195.47739E-03,+10.11683381E+00,-29.94396734E+00
-13.59400E-03,-255.77889E-03,+12.52889413E+00,-29.94396734E+00
-13.58100E-03,-235.67839E-03,+17.65452231E+00,-28.68768591E+00
-13.56800E-03,-260.80402E-03,+27.10175856E+00,-29.94396734E+00
-13.55500E-03,-341.20603E-03,+41.97613054E+00,-29.19019848E+00
-13.54200E-03,-301.00502E-03,+66.69974882E+00,-29.69271106E+00
-13.52900E-03,-301.00502E-03,+72.12688454E+00,-28.68768591E+00
-13.51600E-03,-341.20603E-03,+19.66457257E+00,-30.19522363E+00
-13.50300E-03,-366.33166E-03,+2.57914530E+00,-29.19019848E+00
-13.49000E-03,-381.40703E-03,+468.59252E-03,-29.94396734E+00
-13.47700E-03,-381.40703E-03,-33.92004E-03,-29.94396734E+00
-13.46400E-03,-421.60804E-03,+1.17211012E+00,-29.94396734E+00
-13.45100E-03,-421.60804E-03,+468.59252E-03,-29.94396734E+00
-13.43800E-03,-421.60804E-03,-335.42758E-03,-29.94396734E+00
-13.42500E-03,-476.88442E-03,+468.59252E-03,-29.94396734E+00
-13.41200E-03,-466.83417E-03,-335.42758E-03,-29.69271106E+00
-13.39900E-03,-502.01005E-03,+167.08498E-03,-29.94396734E+00
-13.38600E-03,-502.01005E-03,-234.92507E-03,-31.70276135E+00
-13.37300E-03,-527.13568E-03,-33.92004E-03,-29.19019848E+00
-13.36000E-03,-577.38693E-03,-234.92507E-03,-29.94396734E+00
-13.34700E-03,-567.33668E-03,+167.08498E-03,-30.69773620E+00
-13.33400E-03,-582.41206E-03,-234.92507E-03,-30.19522363E+00
-13.32100E-03,-622.61306E-03,-335.42758E-03,-31.95401764E+00
-13.30800E-03,-627.63819E-03,-335.42758E-03,-29.69271106E+00
-13.29500E-03,-662.81407E-03,+468.59252E-03,-29.94396734E+00
-13.28200E-03,-617.58794E-03,+6.39824081E+00,-31.70276135E+00
-13.26900E-03,-476.88442E-03,+41.97613054E+00,-30.69773620E+00
-13.25600E-03,-381.40703E-03,+44.89070342E+00,-30.19522363E+00
-13.24300E-03,-301.00502E-03,+54.63944722E+00,-29.94396734E+00
-13.23000E-03,-215.57789E-03,+77.05150770E+00,-30.19522363E+00
-13.21700E-03,-115.07538E-03,+111.72487480E+00,-31.20024878E+00
-13.20400E-03,-19.59799E-03,+51.02135674E+00,-29.94396734E+00
-13.19100E-03,+45.72864E-03,+11.72487402E+00,-29.94396734E+00
-13.17800E-03,+101.00502E-03,+2.27763776E+00,-30.19522363E+00
-13.16500E-03,+141.20603E-03,+1.27261263E+00,-29.94396734E+00
-13.15200E-03,+221.60804E-03,+569.09504E-03,-31.95401764E+00
-13.13900E-03,+261.80904E-03,-33.92004E-03,-31.95401764E+00
-13.12600E-03,+302.01004E-03,+569.09504E-03,-31.70276135E+00
-13.11300E-03,+342.21105E-03,-335.42758E-03,-29.94396734E+00
-13.10000E-03,+387.43718E-03,+368.09001E-03,-31.95401764E+00
-13.08700E-03,+422.61306E-03,+468.59252E-03,-31.95401764E+00
-13.07400E-03,+462.81406E-03,-234.92507E-03,-31.95401764E+00
-13.06100E-03,+477.88944E-03,+167.08498E-03,-31.20024878E+00
-13.04800E-03,+503.01507E-03,-335.42758E-03,-29.94396734E+00
-13.03500E-03,+518.09044E-03,-335.42758E-03,-31.20024878E+00
-13.02200E-03,+578.39195E-03,-335.42758E-03,-29.94396734E+00
-13.00900E-03,+558.29145E-03,-335.42758E-03,-31.95401764E+00
-12.99600E-03,+618.59296E-03,-1.03894518E+00,-30.19522363E+00
-12.98300E-03,+623.61808E-03,+167.08498E-03,-31.20024878E+00
-12.97000E-03,+658.79396E-03,-234.92507E-03,-31.95401764E+00
-12.95700E-03,+648.74371E-03,-335.42758E-03,-32.70778650E+00
-12.94400E-03,+663.81909E-03,-335.42758E-03,-31.95401764E+00
-12.93100E-03,+663.81909E-03,-33.92004E-03,-31.20024878E+00
-12.91800E-03,+663.81909E-03,+1.17211012E+00,-31.95401764E+00
-12.90500E-03,+688.94471E-03,-335.42758E-03,-32.70778650E+00
-12.89200E-03,+668.84421E-03,+368.09001E-03,-31.95401764E+00
-12.87900E-03,+714.07034E-03,-33.92004E-03,-31.95401764E+00
-12.86600E-03,+704.02009E-03,-335.42758E-03,-31.95401764E+00
-12.85300E-03,+704.02009E-03,+167.08498E-03,-31.95401764E+00
-12.84000E-03,+704.02009E-03,-234.92507E-03,-32.20527393E+00
-12.82700E-03,+719.09547E-03,-33.92004E-03,-31.95401764E+00
-12.81400E-03,+663.81909E-03,+468.59252E-03,-31.95401764E+00
-12.80100E-03,+704.02009E-03,+468.59252E-03,-31.95401764E+00
-12.78800E-03,+704.02009E-03,+1.17211012E+00,-32.20527393E+00
-12.77500E-03,+704.02009E-03,+167.08498E-03,-31.95401764E+00
-12.76200E-03,+704.02009E-03,+368.09001E-03,-32.20527393E+00
-12.74900E-03,+704.02009E-03,+468.59252E-03,-31.95401764E+00
-12.73600E-03,+704.02009E-03,+468.59252E-03,-31.95401764E+00
-12.72300E-03,+704.02009E-03,+770.10006E-03,-32.70778650E+00
-12.71000E-03,+698.99496E-03,+569.09504E-03,-32.20527393E+00
-12.69700E-03,+688.94471E-03,+1.27261263E+00,-31.95401764E+00
-12.68400E-03,+663.81909E-03,+468.59252E-03,-31.95401764E+00
-12.67100E-03,+663.81909E-03,+1.27261263E+00,-33.96406794E+00
-12.65800E-03,+663.81909E-03,+1.37311514E+00,-31.95401764E+00
-12.64500E-03,+663.81909E-03,+2.07663274E+00,-33.96406794E+00
-12.63200E-03,+658.79396E-03,+2.78015033E+00,-33.96406794E+00
-12.61900E-03,+638.69346E-03,+2.07663274E+00,-33.21029908E+00
-12.60600E-03,+663.81909E-03,+1.97613022E+00,-33.71281165E+00
-12.59300E-03,+648.74371E-03,+2.37814028E+00,-33.21029908E+00
-12.58000E-03,+628.64321E-03,+2.88065284E+00,-32.20527393E+00
-12.56700E-03,+623.61808E-03,+3.68467295E+00,-33.21029908E+00
-12.55400E-03,+618.59296E-03,+3.68467295E+00,-31.95401764E+00
-12.54100E-03,+598.49245E-03,+4.99120563E+00,-32.70778650E+00
-12.52800E-03,+618.59296E-03,+5.99623076E+00,-33.96406794E+00
-12.51500E-03,+608.54270E-03,+6.39824081E+00,-33.21029908E+00
-12.50200E-03,+618.59296E-03,+6.80025087E+00,-33.96406794E+00
-12.48900E-03,+583.41708E-03,+6.39824081E+00,-32.70778650E+00
-12.47600E-03,+583.41708E-03,+7.70477349E+00,-33.96406794E+00
-12.46300E-03,+543.21607E-03,+6.90075338E+00,-35.22034937E+00
-12.45000E-03,+508.04019E-03,+8.50879359E+00,-32.20527393E+00
-12.43700E-03,+528.14070E-03,+10.61934637E+00,-31.95401764E+00
-12.42400E-03,+538.19095E-03,+14.13693434E+00,-33.96406794E+00
-12.41100E-03,+503.01507E-03,+18.65954744E+00,-33.96406794E+00
-12.39800E-03,+538.19095E-03,+27.80527616E+00,-33.96406794E+00
-12.38500E-03,+503.01507E-03,+44.68969840E+00,-33.96406794E+00
-12.37200E-03,+497.98994E-03,+67.50376893E+00,-33.96406794E+00
-12.35900E-03,+477.88944E-03,+106.39824159E+00,-33.96406794E+00
-12.34600E-03,+427.63818E-03,+32.52889428E+00,-34.21532422E+00
-12.33300E-03,+462.81406E-03,+3.68467295E+00,-32.70778650E+00
-12.32000E-03,+427.63818E-03,+1.97613022E+00,-33.96406794E+00
-12.30700E-03,+462.81406E-03,+770.10006E-03,-35.22034937E+00
-12.29400E-03,+457.78894E-03,+468.59252E-03,-33.96406794E+00
-12.28100E-03,+422.61306E-03,+167.08498E-03,-33.96406794E+00
-12.26800E-03,+422.61306E-03,-335.42758E-03,-35.72286195E+00
-12.25500E-03,+407.53768E-03,-335.42758E-03,-33.96406794E+00
-12.24200E-03,+422.61306E-03,-234.92507E-03,-35.72286195E+00
-12.22900E-03,+382.41205E-03,-335.42758E-03,-33.96406794E+00
-12.21600E-03,+347.23617E-03,-335.42758E-03,-33.96406794E+00
-12.20300E-03,+382.41205E-03,-33.92004E-03,-33.96406794E+00
-12.19000E-03,+342.21105E-03,-234.92507E-03,-33.96406794E+00
-12.17700E-03,+342.21105E-03,+468.59252E-03,-33.96406794E+00
-12.16400E-03,+337.18592E-03,-335.42758E-03,-35.72286195E+00
-12.15100E-03,+302.01004E-03,-335.42758E-03,-34.71783680E+00
-12.13800E-03,+302.01004E-03,-335.42758E-03,-35.97411823E+00
-12.12500E-03,+302.01004E-03,-335.42758E-03,-34.71783680E+00
-12.11200E-03,+302.01004E-03,-234.92507E-03,-35.97411823E+00
-12.09900E-03,+261.80904E-03,-837.94015E-03,-35.97411823E+00
-12.08600E-03,+256.78391E-03,-234.92507E-03,-35.97411823E+00
-12.07300E-03,+221.60804E-03,-33.92004E-03,-34.71783680E+00
-12.06000E-03,+251.75879E-03,-335.42758E-03,-35.97411823E+00
-12.04700E-03,+206.53266E-03,-335.42758E-03,-33.96406794E+00
-12.03400E-03,+221.60804E-03,-335.42758E-03,-35.97411823E+00
-12.02100E-03,+181.40703E-03,-33.92004E-03,-34.71783680E+00
-12.00800E-03,+141.20603E-03,+368.09001E-03,-35.97411823E+00
-11.99500E-03,+141.20603E-03,+167.08498E-03,-35.97411823E+00
-11.98200E-03,+141.20603E-03,+468.59252E-03,-35.72286195E+00
-11.96900E-03,+141.20603E-03,-335.42758E-03,-35.97411823E+00
-11.95600E-03,+101.00502E-03,+368.09001E-03,-35.97411823E+00
-11.94300E-03,+101.00502E-03,+167.08498E-03,-37.98416853E+00
-11.93000E-03,+60.80402E-03,+368.09001E-03,-35.72286195E+00
-11.91700E-03,+60.80402E-03,+468.59252E-03,-35.22034937E+00
-11.90400E-03,+60.80402E-03,-335.42758E-03,-35.97411823E+00
-11.89100E-03,+60.80402E-03,+1.27261263E+00,-35.97411823E+00
-11.87800E-03,-19.59799E-03,+468.59252E-03,-35.97411823E+00
-11.86500E-03,+45.72864E-03,+1.27261263E+00,-35.97411823E+00
-11.85200E-03,+20.60301E-03,+1.27261263E+00,-34.21532422E+00
-11.83900E-03,-34.67337E-03,+1.57412017E+00,-36.72788709E+00
-11.82600E-03,-24.62312E-03,+1.37311514E+00,-34.21532422E+00
-11.81300E-03,-44.72362E-03,+1.77512520E+00,-35.97411823E+00
-11.80000E-03,-59.79900E-03,+2.07663274E+00,-35.97411823E+00
-11.78700E-03,-59.79900E-03,+3.38316541E+00,-37.23039967E+00
-11.77400E-03,-100.00000E-03,+2.88065284E+00,-37.73291224E+00
-11.76100E-03,-115.07538E-03,+3.38316541E+00,-35.97411823E+00
-11.74800E-03,-100.00000E-03,+3.78517547E+00,-35.97411823E+00
-11.73500E-03,-140.20101E-03,+4.48869306E+00,-36.72788709E+00
-11.72200E-03,-175.37689E-03,+4.58919557E+00,-36.22537452E+00
-11.70900E-03,-180.40201E-03,+6.59924584E+00,-37.98416853E+00
-11.69600E-03,-180.40201E-03,+5.99623076E+00,-37.73291224E+00
-11.68300E-03,-220.60302E-03,+6.39824081E+00,-35.97411823E+00
-11.67000E-03,-220.60302E-03,+6.19723579E+00,-37.73291224E+00
-11.65700E-03,-220.60302E-03,+8.50879359E+00,-37.98416853E+00
-11.64400E-03,-265.82915E-03,+10.71984889E+00,-36.47663081E+00
-11.63100E-03,-260.80402E-03,+13.63442177E+00,-37.98416853E+00
-11.61800E-03,-265.82915E-03,+19.06155749E+00,-37.73291224E+00
-11.60500E-03,-301.00502E-03,+28.60929626E+00,-37.98416853E+00
-11.59200E-03,-341.20603E-03,+47.20226123E+00,-37.98416853E+00
-11.57900E-03,-356.28141E-03,+76.54899513E+00,-37.23039967E+00
-11.56600E-03,-346.23115E-03,+51.72487433E+00,-35.97411823E+00
-11.55300E-03,-381.40703E-03,+7.70477349E+00,-37.98416853E+00
-11.54000E-03,-421.60804E-03,+2.07663274E+00,-37.98416853E+00
-11.52700E-03,-396.48241E-03,+468.59252E-03,-36.72788709E+00
-11.51400E-03,-426.63316E-03,+468.59252E-03,-37.98416853E+00
-11.50100E-03,-461.80904E-03,+167.08498E-03,-37.98416853E+00
-11.48800E-03,-461.80904E-03,+368.09001E-03,-37.73291224E+00
-11.47500E-03,-502.01005E-03,-335.42758E-03,-37.98416853E+00
-11.46200E-03,-537.18593E-03,-335.42758E-03,-37.98416853E+00
-11.44900E-03,-542.21105E-03,+167.08498E-03,-37.98416853E+00
-11.43600E-03,-542.21105E-03,-335.42758E-03,-39.74296254E+00
-11.42300E-03,-542.21105E-03,-33.92004E-03,-38.73793739E+00
-11.41000E-03,-587.43718E-03,-335.42758E-03,-37.98416853E+00
-11.39700E-03,-582.41206E-03,-335.42758E-03,-37.98416853E+00
-11.38400E-03,-627.63819E-03,-234.92507E-03,-38.23542482E+00
-11.37100E-03,-622.61306E-03,-33.92004E-03,-37.98416853E+00
-11.35800E-03,-662.81407E-03,+368.09001E-03,-37.98416853E+00
-11.34500E-03,-662.81407E-03,-335.42758E-03,-38.73793739E+00
-11.33200E-03,-667.83919E-03,+368.09001E-03,-37.98416853E+00
-11.31900E-03,-703.01507E-03,+167.08498E-03,-37.98416853E+00
-11.30600E-03,-743.21608E-03,-335.42758E-03,-37.98416853E+00
-11.29300E-03,-743.21608E-03,+468.59252E-03,-37.98416853E+00
-11.28000E-03,-748.24120E-03,-234.92507E-03,-39.99421883E+00
-11.26700E-03,-758.29145E-03,+468.59252E-03,-37.98416853E+00
-11.25400E-03,-783.41708E-03,+468.59252E-03,-39.74296254E+00
-11.24100E-03,-823.61808E-03,+468.59252E-03,-38.73793739E+00
-11.22800E-03,-858.79396E-03,+468.59252E-03,-37.98416853E+00
-11.21500E-03,-863.81909E-03,-335.42758E-03,-37.98416853E+00
-11.20200E-03,-898.99497E-03,+468.59252E-03,-37.98416853E+00
-11.18900E-03,-888.94472E-03,+167.08498E-03,-39.99421883E+00
-11.17600E-03,-909.04522E-03,-335.42758E-03,-38.23542482E+00
-11.16300E-03,-929.14572E-03,+669.59755E-03,-38.73793739E+00
-11.15000E-03,-949.24622E-03,+468.59252E-03,-39.99421883E+00
-11.13700E-03,-984.42210E-03,+971.10509E-03,-39.99421883E+00
-11.12400E-03,-984.42210E-03,+468.59252E-03,-39.99421883E+00
-11.11100E-03,-999.49748E-03,+971.10509E-03,-38.73793739E+00
-11.09800E-03,-1.02462311E+00,+569.09504E-03,-37.98416853E+00
-11.08500E-03,-1.03969848E+00,+1.07160760E+00,-39.99421883E+00
-11.07200E-03,-1.06482411E+00,+1.27261263E+00,-39.74296254E+00
-11.05900E-03,-1.06482411E+00,+1.27261263E+00,-39.99421883E+00
-11.04600E-03,-1.02462311E+00,+2.17713525E+00,-39.99421883E+00
