x-axis,1,2,3
second,Volt,Volt,Volt
+4.60000E-03,+241.34309E-03,+20.74729917E+00,-18.95421E-03
+4.61400E-03,+241.30289E-03,+20.79755043E+00,-18.95421E-03
+4.62800E-03,+241.16362E-03,+20.89805294E+00,-20.47610E-03
+4.64200E-03,+240.71998E-03,+20.96007738E+00,-21.46677E-03
+4.65600E-03,+241.14496E-03,+20.95577019E+00,-18.95421E-03
+4.67000E-03,+240.93390E-03,+21.09044358E+00,-21.25141E-03
+4.68400E-03,+240.72285E-03,+21.13696184E+00,-18.95421E-03
+4.69800E-03,+240.81043E-03,+21.19956048E+00,-18.95421E-03
+4.71200E-03,+240.40985E-03,+21.22138397E+00,-18.95421E-03
+4.72600E-03,+240.77453E-03,+21.30006299E+00,-18.95421E-03
+4.74000E-03,+240.40985E-03,+21.35031425E+00,-18.95421E-03
+4.75400E-03,+240.15860E-03,+21.44851969E+00,-18.95421E-03
+4.76800E-03,+240.66111E-03,+21.45081676E+00,-18.95421E-03
+4.78200E-03,+240.56922E-03,+21.55131928E+00,-18.95421E-03
+4.79600E-03,+240.52902E-03,+21.57515289E+00,-18.95421E-03
+4.81000E-03,+240.58214E-03,+21.66761521E+00,-18.95421E-03
+4.82400E-03,+240.40985E-03,+21.70207305E+00,-18.95421E-03
+4.83800E-03,+240.41129E-03,+21.75261126E+00,-18.96856E-03
+4.85200E-03,+240.70275E-03,+21.85282682E+00,-21.46677E-03
+4.86600E-03,+240.07102E-03,+21.85282682E+00,-20.64841E-03
+4.88000E-03,+240.40985E-03,+21.95332933E+00,-18.95421E-03
+4.89400E-03,+239.99636E-03,+22.00358059E+00,-18.95421E-03
+4.90800E-03,+240.36104E-03,+22.02310728E+00,-18.95421E-03
+4.92200E-03,+240.39262E-03,+22.10580626E+00,-18.95421E-03
+4.93600E-03,+239.93893E-03,+22.19826858E+00,-21.15092E-03
+4.95000E-03,+239.79966E-03,+22.20458561E+00,-18.95421E-03
+4.96400E-03,+239.76807E-03,+22.25483687E+00,-18.95421E-03
+4.97800E-03,+239.55702E-03,+22.35533938E+00,-18.95421E-03
+4.99200E-03,+239.15357E-03,+22.40559064E+00,-18.95421E-03
+5.00600E-03,+239.42350E-03,+22.45957517E+00,-18.95421E-03
